element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ti	2	"240.211648"	"0.000012"	"240.211647"	"0.000011"	"47"	""		"4.00876907"	"9.16865518"	"3d3"	"d 2D1"	"5/2"	"3d2.(3F).5p"	"2D*"	"3/2"	6	4		""	"u37"	
Ti	1	"240.3987"	"0.0005"	"240.39870"	"0.00004"	"00"	""		"0.00000000"	"5.1558715"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"v 1F*"	"3"	5	7		""	"L16762"	
Ti	1	"240.43831"	"0.00006"	"240.438309"	"0.000014"	"10"	""		"0.82585949"	"5.98088172"	"3d3.(4F).4s"	"a 5F"	"3"	"3d2.4s.(4F<7/2>).4f"	"2[7/2]*"	"3"	7	7		""	"L12119"	
Ti	1	"240.4543"	"0.0002"	"240.454349"	"0.000018"	"1"	""		"0.82585949"	"5.98053789"	"3d3.(4F).4s"	"a 5F"	"3"	"3d2.4s.(4F<7/2>).4f"	"2[9/2]*"	"4"	7	9		""	"L10989"	
Ti	1	"240.48327"	"0.00006"	"240.483296"	"0.000013"	"6"	""		"0.82585949"	"5.97991746"	"3d3.(4F).4s"	"a 5F"	"3"	"3d2.4s.(4F<7/2>).4f"	"2[7/2]*"	"4"	7	9		""	"L12119"	
Ti	1	"240.48508"	"0.00006"	"240.485031"	"0.000018"	"6"	""		"0.8484192"	"6.00243996"	"3d3.(4F).4s"	"a 5F"	"5"	"3d2.4s.(4F<9/2>).4f"	"2[7/2]*"	"4"	11	9		""	"L12119"	
Ti	1	"240.53443"	"0.00002"	"240.534447"	"0.000018"	"15"	""		"0.8484192"	"6.00138118"	"3d3.(4F).4s"	"a 5F"	"5"	"3d2.4s.(4F<9/2>).4f"	"2[11/2]*"	"5"	11	11		""	"L12119"	
Ti	1	"240.55396"	"0.00006"	"240.553974"	"0.000023"	"5"	""		"0.8129437"	"5.96548743"	"3d3.(4F).4s"	"a 5F"	"1"	"3d2.4s.(4F<5/2>).4f"	"2[1/2]*"	"1"	3	3		""	"L12119"	
Ti	1	"240.65424"	"0.00006"	"240.654227"	"0.000018"	"5"	""		"0.8129437"	"5.96334113"	"3d3.(4F).4s"	"a 5F"	"1"	"3d2.4s.(4F<5/2>).4f"	"2[5/2]*"	"2"	3	5		""	"L12119"	
Ti	2	"240.72683"	"0.00003"	"240.726849"	"0.000010"	"22"	""		"3.97066729"	"9.11951110"	"3d2.(3F).4p"	"z 2D*"	"5/2"	"3d2.(3P).5s"	"2P"	"3/2"	6	4		""	"u37"	
Ti	3	""	""	"240.778"	""	""	"9.2e-02"	E	"0.02292"	"5.170670"	"3p6.3d2"	"3F"	"3"	"3p6.3d.4s"	"1D"	"2"	7	5	E2	"T1610"	""	
