wavenumber_cm_inv,intensity
9180.473310,-1.01570000
9180.482790,-1.80958000
9180.492260,-1.65877000
9180.501740,-1.55716000
9180.511220,-1.87348000
9180.520690,-0.98986400
9180.530170,0.14797700
9180.539650,0.08083920
9180.549120,-0.11136000
9180.558600,-0.16690200
9180.568080,-0.49558700
9180.577560,-0.57635900
9180.587030,-0.49010500
9180.596510,-0.39911400
9180.605990,-0.38938400
9180.615460,-0.64843400
9180.624940,-0.26237000
9180.634420,0.65761000
9180.643900,0.66530300
9180.653370,0.19970100
9180.662850,0.09108640
9180.672330,-0.03618550
9180.681800,-0.15249300
9180.691280,-0.26874200
9180.700760,-0.33754500
9180.710240,-0.04393550
9180.719710,-0.06273640
9180.729190,-0.41556200
9180.738670,-0.17511100
9180.748140,0.11999100
9180.757620,-0.10191700
9180.767100,-0.28128600
9180.776570,-0.44679100
9180.786050,-0.71333300
9180.795530,-0.78916800
9180.805010,-0.85510100
9180.814480,-0.93122300
9180.823960,-0.80739500
9180.833440,-0.85113900
9180.842910,-1.13114000
9180.852390,-0.96153400
9180.861870,-0.41788700
9180.871350,-0.31128100
9180.880820,-0.40261600
9180.890300,-0.04126610
9180.899780,0.55054600
9180.909250,0.97487200
9180.918730,0.56082200
9180.928210,-0.69384300
9180.937690,-0.89009000
9180.947160,0.04889210
9180.956640,-0.06953920
9180.966120,-0.56617000
9180.975590,-0.01551890
9180.985070,0.15495200
9180.994550,-0.46295100
9181.004020,-0.76715300
9181.013500,-0.85369400
9181.022980,-0.77134300
9181.032460,-0.60256600
9181.041930,-0.79691800
9181.051410,-0.72739800
9181.060890,-0.26291600
9181.070360,-0.21231100
9181.079840,-0.37580700
9181.089320,-0.45190000
9181.098800,-0.44366200
9181.108270,-0.20843600
9181.117750,-0.48763600
9181.127230,-1.26510000
9181.136700,-1.12845000
9181.146180,-0.60176200
9181.155660,-1.05011000
9181.165140,-1.46227000
9181.174610,-0.89999300
9181.184090,-0.39673200
9181.193570,-0.54360900
9181.203040,-0.83543800
9181.212520,-1.16846000
9181.222000,-1.64382000
9181.231470,-1.79707000
9181.240950,-1.48787000
9181.250430,-1.29415000
9181.259910,-1.30609000
9181.269380,-1.31654000
9181.278860,-1.49427000
9181.288340,-1.59284000
9181.297810,-1.50415000
9181.307290,-1.69973000
9181.316770,-1.75235000
9181.326250,-1.28474000
9181.335720,-1.05605000
9181.345200,-0.85188600
9181.354680,-0.02602440
9181.364150,0.45157600
9181.373630,0.09889380
9181.383110,-0.01018000
9181.392590,0.18824800
9181.402060,-0.17677600
9181.411540,-0.64306700
9181.421020,-0.43410400
9181.430490,-0.17264300
9181.439970,-0.19586400
9181.449450,0.02845510
9181.458920,0.18095800
9181.468400,0.01470600
9181.477880,-0.08122150
9181.487360,-0.43533800
9181.496830,-0.87496300
9181.506310,-0.83012800
9181.515790,-0.86187500
9181.525260,-0.74034300
9181.534740,0.00577921
9181.544220,0.45335500
9181.553700,0.81378700
9181.563170,1.48723000
9181.572650,1.65360000
9181.582130,1.92571000
9181.591600,2.37202000
9181.601080,1.86391000
9181.610560,1.52905000
9181.620040,1.51550000
9181.629510,0.43297600
9181.638990,-0.23837400
9181.648470,0.01275420
9181.657940,-0.48559900
9181.667420,-0.71364900
9181.676900,0.09214850
9181.686380,0.47916000
9181.695850,0.45700100
9181.705330,0.46035900
9181.714810,0.24889900
9181.724280,0.14286800
9181.733760,0.38082100
9181.743240,1.09092000
9181.752710,1.66695000
9181.762190,1.22597000
9181.771670,0.90661400
9181.781150,1.12577000
9181.790620,0.47209900
9181.800100,-0.22585900
9181.809580,0.07013280
9181.819050,0.14565200
9181.828530,-0.05280490
9181.838010,0.11373400
9181.847490,0.15437800
9181.856960,-0.09502800
9181.866440,-0.63442700
9181.875920,-1.12807000
9181.885390,-0.99993900
9181.894870,-1.08080000
9181.904350,-1.55834000
9181.913830,-1.36247000
9181.923300,-1.08390000
9181.932780,-1.07092000
9181.942260,-0.19551900
9181.951730,0.91290000
9181.961210,1.11724000
9181.970690,1.03300000
9181.980160,1.05917000
9181.989640,0.93405500
9181.999120,0.54753200
9182.008600,0.01255330
9182.018070,-0.04023270
9182.027550,0.17880500
9182.037030,-0.14577600
9182.046500,-0.12025800
9182.055980,0.69351900
9182.065460,0.78875700
9182.074940,0.23058600
9182.084410,0.05446060
9182.093890,-0.33349800
9182.103370,-0.76741100
9182.112840,-0.37787400
9182.122320,-0.15200500
9182.131800,-0.52871100
9182.141280,-0.32663800
9182.150750,0.18471800
9182.160230,-0.04769570
9182.169710,-0.63178600
9182.179180,-0.87220800
9182.188660,-0.78127500
9182.198140,-0.79755000
9182.207610,-1.20755000
9182.217090,-1.34582000
9182.226570,-0.70127800
9182.236050,-0.03340130
9182.245520,0.24367500
9182.255000,0.51943100
9182.264480,0.66817300
9182.273950,0.52689400
9182.283430,0.35013700
9182.292910,0.04395510
9182.302390,-0.47687300
9182.311860,-0.87895300
9182.321340,-0.99247600
9182.330820,-0.84582900
9182.340290,-0.54492900
9182.349770,-0.31242900
9182.359250,0.02478100
9182.368730,0.68195100
9182.378200,1.03067000
9182.387680,0.70012000
9182.397160,0.38303100
9182.406630,0.32048600
9182.416110,0.30845900
9182.425590,0.59394600
9182.435060,0.71846200
9182.444540,0.38905900
9182.454020,0.78514100
9182.463500,1.56086000
9182.472970,1.11400000
9182.482450,0.45906700
9182.491930,0.87314600
9182.501400,1.47678000
9182.510880,1.88834000
9182.520360,1.76784000
9182.529840,0.50034300
9182.539310,-0.34661500
9182.548790,0.29901600
9182.558270,0.92555900
9182.567740,0.95704700
9182.577220,0.89854900
9182.586700,0.54081500
9182.596180,0.16215700
9182.605650,0.25088000
9182.615130,0.54460400
9182.624610,0.65824200
9182.634080,0.33400500
9182.643560,-0.10975300
9182.653040,-0.27818600
9182.662520,-0.75937400
9182.671990,-1.54419000
9182.681470,-1.79684000
9182.690950,-1.90488000
9182.700420,-2.13746000
9182.709900,-1.53397000
9182.719380,-0.49538600
9182.728850,-0.42305300
9182.738330,-0.83477800
9182.747810,-0.69335600
9182.757290,-0.45382400
9182.766760,-0.26415000
9182.776240,0.38415100
9182.785720,0.72621200
9182.795190,0.27720100
9182.804670,0.11115000
9182.814150,0.23090200
9182.823630,-0.04103640
9182.833100,0.08698180
9182.842580,0.79157000
9182.852060,1.05866000
9182.861530,0.96614600
9182.871010,0.99938500
