shard,spectrum,current_mA,resolution_cm_inv,sigma_min,sigma_max,rows,bytes,sha256
th112805-002_20mA_part000.csv,th112805.002,20.0,0.005,7400.001850,7533.933590,37451,879978,1b17ae7fb8498cfebeb25399233510c8b340addeefe7ce9b5dbdd17815d791f3
th112805-002_20mA_part001.csv,th112805.002,20.0,0.005,7533.937160,7667.890360,37457,879979,cc767ab1df55c9c887555ccdbccdaf9e6efbc59483f8fe0972a6f0056f1aaa33
th112805-002_20mA_part002.csv,th112805.002,20.0,0.005,7667.893930,7801.847120,37457,879979,c026091ae67a991331729849bdc46ea038a756b4a9c604e97e4c161c2d089b2a
th112805-002_20mA_part003.csv,th112805.002,20.0,0.005,7801.850700,7935.893300,37482,879987,85a3c29758cfbb611c6ca4b1f613b35c0d4d98b3a100838e57f21a1494cf52ae
th112805-002_20mA_part004.csv,th112805.002,20.0,0.005,7935.896870,8069.885830,37467,879987,26247980f83b7cb32fd2ba0ceae97aaaea5a9e9a7f52804461017d3be9b244e4
th112805-002_20mA_part005.csv,th112805.002,20.0,0.005,8069.889400,8203.906970,37475,879997,821d7b2a70db1b047c90e7a94de521652d06403059f78b5efcbeb370196b20dc
th112805-002_20mA_part006.csv,th112805.002,20.0,0.005,8203.910540,8337.913800,37471,879982,41a4e2c45e40297f86dfa5881b8751f4e23f95f5f353107f54df789156d25cb1
th112805-002_20mA_part007.csv,th112805.002,20.0,0.005,8337.917380,8471.881300,37460,879987,ca79eb0d2e2d623efd0e0fa636fbe12a8bdc0624c902eb0f08273b868e4cf1b9
th112805-002_20mA_part008.csv,th112805.002,20.0,0.005,8471.884880,8605.888130,37471,879980,3de55df6241a7e207c9c556eb82f86bf9d4d23caf4ee907e5a0ef964b0930360
th112805-002_20mA_part009.csv,th112805.002,20.0,0.005,8605.891710,8739.952190,37487,879981,340c83b244d31352f0953600390a35a1d41d4e6b0425d6a99da7198f968b0fac
th112805-002_20mA_part010.csv,th112805.002,20.0,0.005,8739.955770,8873.937570,37465,879999,83e193aa704bacfff1262a1ff00c6e65a1598990f02e53cb91d84cde1b783214
th112805-002_20mA_part011.csv,th112805.002,20.0,0.005,8873.941140,9007.901490,37459,879986,35af0119ee6cd843ff002a3ca0005b72707592a0fc2eb02a8cb1589913b6d00c
th112805-002_20mA_part012.csv,th112805.002,20.0,0.005,9007.905060,9141.894020,37467,879999,8c4767425ea79d461eebcbd34d006d99e6093a2a0853f0f67e34e22106231f67
th112805-002_20mA_part013.csv,th112805.002,20.0,0.005,9141.897590,9275.904430,37472,879993,72c280062a76543e5c0ea95232511e01f3bd7daee477ccc443a750f4c6071fc5
th112805-002_20mA_part014.csv,th112805.002,20.0,0.005,9275.908010,9409.921990,37474,879989,26b9d59f1e1dee217d9fd31a1d9e702fb9acfba1ccda9fa75249098b4a589ad7
th112805-002_20mA_part015.csv,th112805.002,20.0,0.005,9409.925570,9509.997070,27983,657327,3ab6e956cd2a93e43beab53dac1ced23fbc4bbe16bb496170c3f8d3e6e2f6eff
790222-008_75mA_part000.csv,790222.008,75.0,0.0145,7400.002440,7839.234180,38054,879998,4bb5b74e9dbc7b752e1e04de9301678e72457af2afdaeccb04c9b8deacb7d790
790222-008_75mA_part001.csv,790222.008,75.0,0.0145,7839.245720,8275.787900,37821,879998,01438e6b98904b2b98299d5518912b5c0b2274cada4368ee31e1cb9a9c1c294c
790222-008_75mA_part002.csv,790222.008,75.0,0.0145,8275.799440,8710.356200,37649,879987,6e0e152a9deb90b22e2c4266776f4ba883a14872fc53f678d08b312793c361ed
790222-008_75mA_part003.csv,790222.008,75.0,0.0145,8710.367740,9143.550790,37530,879984,f00063b956ce9817298650e9eb0f038d716b0e7bc559fbd9fd5da9ec04e6df27
790222-008_75mA_part004.csv,790222.008,75.0,0.0145,9143.562330,9509.994310,31747,744311,3182f132534d5a189d1b2c8145a52767b2c2b760ab20fcbeb3733b521b5e416a
820519-001_320mA_part000.csv,820519.001,320.0,0.0127,7400.003460,7755.650110,37528,879983,ea7b11661948b739640dcd57b4d2b4661648f20f5d774923b34d4a217d3b9348
820519-001_320mA_part001.csv,820519.001,320.0,0.0127,7755.659590,8111.893820,37590,879980,cc294fbd0c737f94910f6535952708f5fb11ae6aacfe2b39c3c29347a5e4625b
820519-001_320mA_part002.csv,820519.001,320.0,0.0127,8111.903300,8468.630340,37642,879988,c603af01e17ab7c205f53075fecb150dbfd062f6f84104c589c5d11f6c6e1f4c
820519-001_320mA_part003.csv,820519.001,320.0,0.0127,8468.639810,8825.006720,37604,879979,b05fa41144a8daf44b0557df5fabd7363ebbc8eaf790dbc34fe6405477153900
820519-001_320mA_part004.csv,820519.001,320.0,0.0127,8825.016200,9180.463830,37507,880000,dfad67af8f7100364a5981d64dd85054bef1a1c562981f735ec388c1df3ad182
820519-001_320mA_part005.csv,820519.001,320.0,0.0127,9180.473310,9509.991630,34771,816808,bf727a4be62905bf7101e58eed0fe88bcad7990f2bd20967be496a96c84419d0
linelist_7400_9510.csv,SRD161 line list,,,7400.51830,9504.73964,1398,99138,21991ec20d2ee7c7c4141211454674334dc898f9fe7c46b6393e417def43d38c
