ritz_wavenumber_cm_inv,ritz_unc_cm_inv,measured_wavenumber_cm_inv,measured_unc_cm_inv,relative_intensity,species,lower_level_energy,lower_J,upper_level_energy,upper_J,reference
7400.51830,0.00019,7400.5170,0.0006,19,Th I,25336,6_odd,32737,5,EHW03
-,-,7403.0846,0.0003,218776,Ar I,105617,2,113020,3_odd,95WHA
7403.38136,0.00025,7403.380,0.003,0,Th I,25306,2_odd,32710,2,GBCZ74
7404.83249,0.00007,7404.83240,0.00020,240,Th I,13847,2,21252,2_odd,KNS08
-,-,7405.7076,0.0003,15136,Ar I,106238,2,113643,1_odd,95WHA
7406.3448,0.0003,7406.3437,0.0008,9,Th I,23355,3,30761,3_odd,EHW03
7408.12675,0.00020,7408.1271,0.0006,21,Th II,8378,7/2_odd,15786,5/2,EHW03
7408.88543,0.00005,7408.88551,0.00018,550,Th I,19588,5_odd,26997,6,PE83
7410.07731,0.00011,7410.0775,0.0005,45,Th I,23916,4_odd,31326,4,EHW03
7412.3390,0.0003,7412.3386,0.0008,9,Th I,28884,3_odd,36297,4,EHW03
7413.64552,0.00012,7413.6461,0.0006,35,Th I,18699,2,26113,2_odd,EHW03
7414.00157,0.00005,7414.0018,0.0004,190,Th I,15618,3_odd,23032,4,PE83
7414.06205,0.00008,7414.0620,0.0004,200,Th I,20566,4_odd,27980,3,PE83
7416.52010,0.00020,7416.5201,0.0003,66,Ar II,190507,3/2_odd,183091,3/2,95WHA
7417.40376,0.00009,7417.4054,0.0008,7,Th I,22338,3_odd,29756,4,EHW03
7420.37480,0.00020,7420.3748,0.0003,437,Ar II,190511,5/2_odd,183091,3/2,95WHA
7422.83425,0.00025,7422.832,0.003,0,Th I,26036,3_odd,33459,4,GBCZ74
7424.26160,0.00013,7424.2624,0.0006,21,Th I,24202,4_odd,31626,5,EHW03
7426.3258,0.0003,7426.317,0.003,0,Th I,27447,2_odd,34874,3,GBCZ74
7426.4855,0.0003,7426.4858,0.0004,170,Th III,2527,3_odd,9953,3,PE83
7426.96271,0.00016,7426.9625,0.0005,63,Th I,16783,4_odd,24210,4,EHW03
7427.30635,0.00019,7427.3069,0.0005,63,Th II,8605,5/2,16033,5/2_odd,EHW03
7427.6908,0.0004,7427.6917,0.0005,47,Th II,31924,11/2_odd,39352,11/2,EHW03
7432.72750,0.00020,7432.7275,0.0003,468,Ar II,189655,5/2_odd,182222,3/2,95WHA
7433.35057,0.00008,7433.35000,0.00020,180,Th I,10526,3_odd,17959,4,KNS08
7433.998,0.004,7433.9997,0.0006,21,Th II,51865,5/2,59299,5/2_odd,EHW03
7433.99925,0.00014,7433.9997,0.0006,21,Th I,24561,3_odd,31995,4,EHW03
7434.15334,0.00006,7434.15331,0.00020,290,Th I,13088,3,20522,2_odd,KNS08
7434.4903,0.0003,7434.4911,0.0006,23,Th I,27674,2_odd,35108,2,EHW03
7435.63787,0.00020,7435.644,0.004,0,Th II,13250,5/2,20686,5/2_odd,ZC74
7436.2064,0.0003,7436.2080,0.0006,21,Th I,26651,2_odd,34088,2,EHW03
7436.27311,0.00008,7436.27310,0.00020,210,Th I,20922,2_odd,28358,3,KNS08
7437.3384,0.0003,7437.3385,0.0006,31,Th III,63,2,7500,3_odd,EHW03
7438.12302,0.00005,7438.12298,0.00019,330,Th I,11601,1,19039,2_odd,KNS08
7438.94075,0.00011,7438.9422,0.0013,33,Th I,14206,4_odd,21645,4,KNS08
7440.42736,0.00005,7440.4280,0.0007,17,Th I,17224,2_odd,24664,3,EHW03
7441.4208,0.0003,7441.4203,0.0007,11,Th I,28140,4_odd,35582,5,EHW03
7441.8657,0.0003,7441.8649,0.0011,19,Ar II,195031,5/2_odd,187589,5/2,95WHA
7442.13662,0.00012,7442.1365,0.0005,77,Th I,14226,0,21668,1_odd,EHW03
7443.61608,0.00015,7443.6145,0.0008,9,Th I,24850,6_odd,32293,5,EHW03
7444.18554,0.00014,7444.1854,0.0005,53,Th I,24850,6_odd,32294,7,EHW03
7444.2576,0.0004,7444.2584,0.0007,11,Th I,31716,5_odd,39160,6,EHW03
7445.56326,0.00019,7445.5632,0.0004,160,Th II,10673,5/2_odd,18118,3/2,EHW03
7445.69578,0.00006,7445.6956,0.0003,280,Th I,18809,4_odd,26255,4,PE83
7445.81467,0.00010,7445.8142,0.0004,87,Th I,18431,3,25877,4_odd,KNS08
7446.28145,0.00023,7446.2812,0.0007,13,Th II,20080,7/2_odd,27526,9/2,EHW03
7446.79470,0.00020,7446.7947,0.0003,219,Ar II,189041,3/2_odd,181594,5/2,95WHA
7447.5551,0.0003,7447.5557,0.0006,21,Th I,27260,3_odd,34707,3,EHW03
7447.59348,0.00010,7447.5937,0.0005,61,Th I,17224,2_odd,24671,2,EHW03
-,-,7448.8044,0.0014,15,Ar I,113717,3_odd,121165,3,95WHA
7448.8245,0.0003,7448.8221,0.0006,19,Th I,26995,3_odd,34444,2,EHW03
7449.76589,0.00010,7449.76581,0.00017,620,Th I,22399,5_odd,29849,4,PE83
7450.58311,0.00013,7450.5809,0.0008,9,Th I,23093,2_odd,30544,2,EHW03
-,-,7456.9802,0.0003,24547,Ar I,112750,4_odd,120207,5,95WHA
7457.89299,0.00005,7457.89283,0.00017,470,Th I,11241,3_odd,18699,2,KNS08
7462.75707,0.00012,7462.7584,0.0008,9,Th I,22669,3_odd,30132,2,EHW03
7463.04204,0.00015,7463.0420,0.0004,130,Th II,4113,5/2,11576,3/2_odd,EHW03
7463.35743,0.00014,7463.3574,0.0010,40,Th I,19532,4,26995,3_odd,PE83
7465.10111,0.00021,7465.1019,0.0007,13,Th I,19039,2_odd,26504,2,EHW03
7466.6169,0.0022,7466.614,0.003,7,Ne I,163401,0,170868,1_odd,SBS
7466.84728,0.00014,7466.8473,0.0008,9,Th I,24307,2_odd,31774,3,EHW03
7467.38432,0.00006,7467.3846,0.0006,31,Th I,20566,4_odd,28034,5,EHW03
7468.1423,0.0005,7468.1434,0.0008,7,Th II,25381,3/2,32850,5/2_odd,EHW03
7468.31963,0.00005,7468.3195,0.0004,170,Th I,19503,3_odd,26971,4,PE83
7470.56302,0.00004,7470.56286,0.00018,370,Th I,15166,3_odd,22637,3,KNS08
7473.8120,0.0003,7473.8115,0.0008,7,Th II,20120,5/2_odd,27593,5/2,EHW03
7475.19922,0.00024,7475.1984,0.0006,41,Th II,16906,7/2_odd,24381,7/2,EHW03
7475.2331,0.0003,7475.2332,0.0004,150,Th II,17771,11/2_odd,25246,9/2,EHW03
-,-,7475.2486,0.0012,22,Ar I,113717,3_odd,121192,2,95WHA
7477.06936,0.00013,7477.0686,0.0006,25,Th I,24981,3_odd,32458,4,EHW03
7477.2791,0.0003,7477.2787,0.0005,81,Th II,19880,9/2,27357,9/2_odd,EHW03
7478.06266,0.00004,7478.06263,0.00010,1500,Th I,13088,3,20566,4_odd,PE83
-,-,7478.6014,0.0003,8710,Ar I,107496,1,114975,1_odd,95WHA
-,-,7479.0025,0.0003,169824,Ar I,106238,2,113717,3_odd,95WHA
7479.01748,0.00019,7479.0182,0.0008,53,Th I,26048,4_odd,33527,4,PE83
-,-,7479.5981,0.0003,138,Ar I,112750,4_odd,120230,3,95WHA
7482.79054,0.00009,7482.7907,0.0007,17,Th I,17959,4,25442,3_odd,EHW03
7485.51275,0.00007,7485.5144,0.0007,15,Th I,21077,5_odd,28562,4,EHW03
7486.65557,0.00014,7486.6545,0.0009,5,Th I,23655,4_odd,31141,3,EHW03
7486.94402,0.00013,7486.9413,0.0007,15,Th I,18549,2,26036,3_odd,EHW03
7488.5868,0.0003,7488.5866,0.0008,7,Th I,24671,2,32160,2_odd,EHW03
7489.36523,0.00019,7489.3649,0.0006,19,Th I,25306,2_odd,32796,3,EHW03
7492.85283,0.00008,7492.8525,0.0006,41,Th I,23015,5_odd,30508,5,EHW03
7494.3625,0.0014,7494.3634,0.0017,10,Ne I,163038,2,170533,2_odd,SBS
7496.05429,0.00010,7496.0544,0.0003,220,Th I,22338,3_odd,29835,3,PE83
7497.20075,0.00008,7497.2005,0.0005,47,Th I,18614,1_odd,26111,1,EHW03
-,-,7499.7599,0.0003,2570,Ar I,112750,4_odd,120250,4,95WHA
7501.5901,0.0003,7501.5899,0.0007,15,Th I,32023,5_odd,39525,5,EHW03
7503.79412,0.00008,7503.7929,0.0008,7,Th I,17411,3_odd,24915,3,EHW03
7505.63435,0.00021,7505.6339,0.0006,33,Th II,9400,5/2,16906,7/2_odd,EHW03
-,-,7506.8483,0.0003,129,Ar I,114148,1_odd,121655,2,95WHA
7507.98006,0.00005,7507.9801,0.0006,19,Th I,8111,4,15618,3_odd,EHW03
7508.44284,0.00017,7508.4431,0.0005,43,Th I,24421,3_odd,31929,3,EHW03
-,-,7509.2830,0.0003,104713,Ar I,107132,1,114641,2_odd,95WHA
7510.17455,0.00016,7510.1751,0.0005,61,Th II,12570,7/2,20080,7/2_odd,EHW03
7511.0692,0.0003,7511.0692,0.0006,25,Th II,20120,5/2_odd,27631,3/2,EHW03
