wavenumber_cm_inv,intensity
8873.941140,-0.05353610
8873.944720,-1.51547000
8873.948300,-0.32324400
8873.951870,1.78578000
8873.955450,0.74251400
8873.959030,-0.88563500
8873.962600,-0.76988700
8873.966180,0.10466700
8873.969750,0.67755800
8873.973330,0.74945400
8873.976910,0.49341600
8873.980480,-0.17257400
8873.984060,-0.02836280
8873.987640,1.02086000
8873.991210,0.31161900
8873.994790,-0.84906400
8873.998360,-0.06926250
8874.001940,0.21045200
8874.005520,0.14065400
8874.009090,1.04159000
8874.012670,0.37296900
8874.016250,-0.54454600
8874.019820,0.16018500
8874.023400,-0.40528600
8874.026970,-1.13362000
8874.030550,-0.21667900
8874.034130,-0.42028300
8874.037700,-0.71049100
8874.041280,0.78945600
8874.044860,1.26602000
8874.048430,0.21377400
8874.052010,-0.14024900
8874.055580,0.49712300
8874.059160,0.58012200
8874.062740,-0.85950700
8874.066310,-1.35950000
8874.069890,0.02961300
8874.073470,0.11688500
8874.077040,-0.44422600
8874.080620,0.05727530
8874.084200,-0.34295500
8874.087770,-0.29850900
8874.091350,1.15043000
8874.094920,0.84829100
8874.098500,0.15358300
8874.102080,0.94121100
8874.105650,0.69692800
8874.109230,-0.23601600
8874.112810,-0.62970900
8874.116380,-0.60628400
8874.119960,0.97318200
8874.123530,1.56753000
8874.127110,-0.49632200
8874.130690,-0.35172700
8874.134260,1.27544000
8874.137840,-0.69225400
8874.141420,-2.20920000
8874.144990,0.91316700
8874.148570,3.43942000
8874.152140,1.85625000
8874.155720,-0.11134800
8874.159300,0.14979500
8874.162870,0.38685700
8874.166450,-0.85496200
8874.170030,-1.11437000
8874.173600,0.25602100
8874.177180,0.02855200
8874.180750,-1.66849000
8874.184330,-0.97403400
8874.187910,1.25119000
8874.191480,1.00514000
8874.195060,-0.33837600
8874.198640,0.05124600
8874.202210,0.12544200
8874.205790,-0.81099700
8874.209360,-0.36328100
8874.212940,0.44168900
8874.216520,-0.02345130
8874.220090,-0.33031400
8874.223670,-0.01657570
8874.227250,0.01992880
8874.230820,-0.68135700
8874.234400,-1.59413000
8874.237980,-1.19886000
8874.241550,-0.19127100
8874.245130,-0.02433000
8874.248700,0.19587000
8874.252280,-0.07620250
8874.255860,-1.27047000
8874.259430,-1.18477000
8874.263010,-0.06250480
8874.266590,0.98192200
8874.270160,1.64502000
8874.273740,0.55015300
8874.277310,0.15109800
8874.280890,1.76537000
8874.284470,1.02880000
8874.288040,-0.12259700
8874.291620,1.26554000
8874.295200,0.87484000
8874.298770,0.61514800
8874.302350,2.15781000
8874.305920,-0.69945300
8874.309500,-3.38505000
8874.313080,-0.28354800
8874.316650,0.32292600
8874.320230,-1.53703000
8874.323810,0.76866900
8874.327380,2.07603000
8874.330960,-0.07224270
8874.334530,-0.90020200
8874.338110,-0.41232900
8874.341690,0.75883100
8874.345260,1.91639000
8874.348840,1.14170000
8874.352420,0.70012800
8874.355990,1.18047000
8874.359570,0.31966300
8874.363150,-0.02555850
8874.366720,1.02800000
8874.370300,1.28490000
8874.373870,0.67655800
8874.377450,-0.26434000
8874.381030,-1.14225000
8874.384600,-1.00321000
8874.388180,-0.14454200
8874.391760,0.53396400
8874.395330,0.44868900
8874.398910,-0.00283002
8874.402480,0.01634620
8874.406060,-0.00838245
8874.409640,0.13055800
8874.413210,0.56299500
8874.416790,-0.15533800
8874.420370,-0.47635900
8874.423940,0.74102700
8874.427520,0.55839400
8874.431090,-0.23850000
8874.434670,0.62670900
8874.438250,0.90852900
8874.441820,0.22147600
8874.445400,0.20383700
8874.448980,0.64384800
8874.452550,1.25724000
8874.456130,0.35325400
8874.459700,-1.92778000
8874.463280,-1.71814000
8874.466860,-0.16053400
8874.470430,-0.37710100
8874.474010,-0.13261500
8874.477590,0.73890100
8874.481160,-0.30668400
8874.484740,-1.44897000
8874.488310,-0.34661000
8874.491890,1.34210000
8874.495470,1.45740000
8874.499040,0.89834400
8874.502620,0.82123600
8874.506200,0.02307270
8874.509770,-0.69190300
8874.513350,-0.39223200
8874.516930,-1.39504000
8874.520500,-1.78207000
8874.524080,0.29811500
8874.527650,0.33785000
8874.531230,-0.16454100
8874.534810,1.74942000
8874.538380,0.51870400
8874.541960,-2.07478000
8874.545540,-0.16366200
8874.549110,1.05107000
8874.552690,-0.10195700
8874.556260,0.51091700
8874.559840,0.16572300
8874.563420,-1.48126000
8874.566990,-1.18475000
8874.570570,-0.33684400
8874.574150,0.83896100
8874.577720,1.93202000
8874.581300,0.72170100
8874.584870,-0.03625990
8874.588450,0.81674800
8874.592030,0.02562950
8874.595600,-1.02455000
8874.599180,-0.00457789
8874.602760,0.70306300
8874.606330,-0.35534700
8874.609910,-0.63304800
8874.613480,1.10669000
8874.617060,1.20525000
8874.620640,-1.02291000
8874.624210,-1.24982000
8874.627790,-0.84826800
8874.631370,-1.98192000
8874.634940,-0.89322000
8874.638520,0.85086200
8874.642100,-0.09549510
8874.645670,-0.43781500
8874.649250,-0.11602500
8874.652820,-0.52286000
8874.656400,0.54839800
8874.659980,1.14310000
8874.663550,0.19419400
8874.667130,0.46686700
8874.670710,0.35772200
8874.674280,-0.51760400
8874.677860,-0.00460255
8874.681430,0.01964640
8874.685010,-0.30204300
8874.688590,0.37158500
8874.692160,-0.26466500
8874.695740,-1.21103000
8874.699320,-0.21834300
8874.702890,0.73613000
8874.706470,0.55230400
8874.710040,0.15302900
8874.713620,0.66997200
8874.717200,1.80931000
8874.720770,1.05285000
8874.724350,-0.35055100
8874.727930,0.25242700
8874.731500,0.57636400
8874.735080,0.08322400
8874.738650,0.20870800
8874.742230,-0.22024100
8874.745810,-0.09482300
8874.749380,0.58423400
8874.752960,-1.20088000
8874.756540,-2.73501000
8874.760110,-1.30801000
8874.763690,-0.25374900
8874.767260,-0.01430180
8874.770840,1.14667000
8874.774420,1.55609000
8874.777990,0.14728600
8874.781570,-1.17713000
8874.785150,-0.25448500
8874.788720,1.38417000
8874.792300,0.57002600
8874.795880,-0.68177800
8874.799450,0.42573800
8874.803030,1.69051000
8874.806600,1.10150000
8874.810180,-0.73779600
8874.813760,-1.60867000
8874.817330,-0.32759600
8874.820910,0.11377400
8874.824490,-0.51176300
8874.828060,0.33808200
8874.831640,0.05624330
8874.835210,-1.01228000
8874.838790,0.59885300
8874.842370,1.25457000
8874.845940,0.41774500
8874.849520,1.27008000
8874.853100,-0.12219400
8874.856670,-2.25433000
8874.860250,0.39882000
8874.863820,1.57685000
8874.867400,-1.34849000
8874.870980,-1.03384000
8874.874550,1.48144000
8874.878130,1.23995000
8874.881710,-0.48954600
8874.885280,-1.42311000
8874.888860,-0.47701100
8874.892430,0.41058700
8874.896010,-0.48522600
8874.899590,0.29183700
8874.903160,1.90886000
8874.906740,0.34426600
8874.910320,-0.85843800
8874.913890,0.16485800
8874.917470,-0.20033600
8874.921040,-0.86582100
8874.924620,0.18139400
8874.928200,1.51665000
8874.931770,1.87568000
8874.935350,0.56814800
8874.938930,-0.16561100
8874.942500,1.07758000
8874.946080,0.35914000
8874.949660,-1.67371000
8874.953230,-1.13558000
8874.956810,-0.58731800
8874.960380,-0.54785600
8874.963960,0.96532900
8874.967540,0.64096500
8874.971110,-0.70883600
8874.974690,0.55716800
8874.978270,1.07513000
8874.981840,0.19592200
8874.985420,0.71814300
8874.988990,0.46145600
8874.992570,0.03362510
8874.996150,1.40980000
8874.999720,1.29892000
8875.003300,0.35060900
8875.006880,0.69056400
8875.010450,-0.42299900
8875.014030,-1.09316000
8875.017600,0.98596200
8875.021180,1.13677000
8875.024760,-0.91800400
8875.028330,-1.51156000
8875.031910,-1.22071000
8875.035490,-0.22258900
8875.039060,0.95182000
8875.042640,0.26317000
8875.046210,-0.58713600
8875.049790,-0.27103200
8875.053370,0.32665300
8875.056940,0.95811400
8875.060520,-0.37985000
8875.064100,-2.30111000
8875.067670,-0.64945700
8875.071250,0.68009400
8875.074830,-0.94934600
8875.078400,-0.47965600
8875.081980,0.93851500
8875.085550,0.41332700
8875.089130,1.06123000
8875.092710,1.40062000
8875.096280,-0.24051000
8875.099860,0.02634930
8875.103440,0.70842800
8875.107010,-0.28471900
8875.110590,0.32873000
8875.114160,0.79489600
8875.117740,-0.79246600
8875.121320,-0.23053600
8875.124890,1.21729000
8875.128470,-0.32064200
8875.132050,-1.41018000
8875.135620,-0.01543260
8875.139200,0.88541200
8875.142770,0.81476700
8875.146350,0.29879100
8875.149930,-0.76017000
8875.153500,-0.30073600
8875.157080,1.34194000
8875.160660,0.64866600
8875.164230,-0.94458700
8875.167810,0.04794360
8875.171380,1.13426000
8875.174960,0.20482800
8875.178540,-0.03215070
8875.182110,0.63094200
8875.185690,0.35283000
8875.189270,-0.09872910
8875.192840,-0.32060700
8875.196420,-0.21616500
8875.199990,1.10724000
8875.203570,1.74308000
8875.207150,0.08092090
8875.210720,-1.12803000
8875.214300,-0.29321100
8875.217880,0.49103300
8875.221450,-0.15543600
8875.225030,-1.36882000
8875.228610,-1.36797000
8875.232180,0.24832800
8875.235760,1.05155000
8875.239330,-0.28086300
8875.242910,-1.17483000
8875.246490,-0.44729300
8875.250060,-0.40286900
8875.253640,-0.77720200
8875.257220,0.45654700
8875.260790,1.38563000
8875.264370,0.54662200
8875.267940,0.20443800
8875.271520,0.68073200
8875.275100,0.52991400
8875.278670,-0.11380300
8875.282250,-0.54653900
8875.285830,0.23664800
8875.289400,1.01803000
8875.292980,-0.43498400
8875.296550,-1.11315000
8875.300130,0.34150800
8875.303710,-0.07804090
8875.307280,-0.32951900
8875.310860,2.01697000
8875.314440,1.67249000
8875.318010,-0.38771600
8875.321590,0.75472500
8875.325160,1.05183000
8875.328740,-0.95381800
8875.332320,-0.79179200
8875.335890,-0.17276100
8875.339470,-1.13900000
8875.343050,-0.88677800
8875.346620,0.27535200
8875.350200,0.25716800
8875.353770,-0.36772500
8875.357350,-0.63598400
8875.360930,-0.12462000
8875.364500,0.85045500
8875.368080,1.27356000
8875.371660,1.15321000
8875.375230,1.22548000
8875.378810,1.05474000
8875.382390,-0.26811100
8875.385960,-0.94907800
8875.389540,0.93827400
8875.393110,2.09589000
8875.396690,0.21006400
8875.400270,-1.00780000
8875.403840,-0.24931400
8875.407420,0.24865700
8875.411000,0.56916900
8875.414570,0.60560800
8875.418150,0.01530570
8875.421720,0.06099610
8875.425300,0.00295128
8875.428880,-0.79439200
8875.432450,-0.48256100
8875.436030,0.61228000
8875.439610,0.73418900
8875.443180,0.39794300
8875.446760,0.50074200
8875.450330,0.47381100
8875.453910,-0.31209000
8875.457490,-0.74235300
8875.461060,-0.16271200
8875.464640,-0.34860800
8875.468220,-0.94284200
8875.471790,0.01675060
8875.475370,0.68233000
8875.478940,-0.18787600
8875.482520,-0.41199300
8875.486100,0.02563480
8875.489670,0.05603820
8875.493250,0.57986800
8875.496830,1.41572000
8875.500400,1.05866000
8875.503980,-0.15481000
8875.507560,-0.39142300
8875.511130,0.30820200
8875.514710,0.48732600
8875.518280,0.37705500
8875.521860,0.20059300
8875.525440,0.17293800
8875.529010,1.18548000
8875.532590,0.51869400
8875.536170,-1.63793000
8875.539740,0.63653400
