#area is 3755.8352square degrees
#effective area is 3464.9234532477117square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.405 0.4 0.41000000000000003 0.0005191659477613534 15728.808118815954 30296301.571084674
0.41500000000000004 0.41000000000000003 0.42000000000000004 0.0005296802119164096 16657.46687569341 31448157.776983704
0.42500000000000004 0.42000000000000004 0.43000000000000005 0.0005305602805563403 17299.043299549452 32605236.263464432
0.43500000000000005 0.43000000000000005 0.44 0.0005317216594439497 17954.560465661223 33766840.501546025
0.445 0.44 0.45 0.0005327893449357698 18611.531700564577 34932252.07573977
0.455 0.45 0.46 0.0005299292833662881 19130.86611897687 36100790.65163414
0.465 0.46 0.47000000000000003 0.0005120683097591807 19085.690914750754 37271767.3619102
0.47500000000000003 0.47000000000000003 0.48000000000000004 0.0005178069111808748 19906.89877351254 38444637.071595356
0.485 0.48000000000000004 0.49 0.0005161780372520418 20450.284296158825 39618664.1435371
0.495 0.49 0.5 0.0005229286076235578 21332.02145098661 40793372.441277795
0.505 0.5 0.51 0.0005371164919824785 22541.763525436378 41968109.08232496
0.515 0.51 0.52 0.0005155122333158035 22240.441372671834 43142412.41108882
0.525 0.52 0.53 0.0005321257775625159 23581.495712267915 44315642.47890148
0.535 0.53 0.54 0.0005405633171287696 24588.807985911528 45487378.08646778
0.545 0.54 0.55 0.0005446177363101065 25410.30728401535 46657142.41364088
0.555 0.55 0.56 0.0005417066869595833 25906.813767156298 47824430.43589234
0.5650000000000001 0.56 0.5700000000000001 0.0005556352190322105 27219.888747401063 48988775.03627629
0.5750000000000001 0.5700000000000001 0.5800000000000001 0.0005258460929418807 26371.082893179962 50149812.36362373
0.5850000000000001 0.5800000000000001 0.5900000000000001 0.0005286524676820422 27123.60642285508 51307064.8128868
0.5950000000000001 0.5900000000000001 0.6000000000000001 0.0005290149498151296 27752.225089682135 52460190.585125186
0.605 0.6000000000000001 0.61 0.0005423864642400885 29076.68274947891 53608791.27066131
0.615 0.61 0.62 0.0005473986287573828 29971.441572934644 54752496.62384255
0.625 0.62 0.63 0.0005280510934468855 29513.30207635301 55890996.993687
0.635 0.63 0.64 0.0005209244653108875 29705.16710108125 57023943.16103625
0.645 0.64 0.65 0.0005220862544301631 30359.843185714508 58151010.35144298
0.655 0.65 0.66 0.0005256393719457083 31155.67713524939 59271962.48622594
0.665 0.66 0.67 0.0005318070194720798 32113.91660988941 60386409.79535888
0.675 0.67 0.68 0.0005164665105540382 31759.725735565153 61494259.71781788
0.685 0.68 0.69 0.000525381398710389 32886.234248109606 62594972.58340849
0.695 0.69 0.7 0.000520154881066419 33127.96669650454 63688658.70985531
0.705 0.7 0.71 0.0005083226953065789 32926.56727331223 64774930.52607774
0.715 0.71 0.72 0.0004990951518081347 32867.094269453424 65853363.132023364
0.725 0.72 0.73 0.0005035417428457759 33699.10709961138 66924157.88442924
0.735 0.73 0.74 0.0005166214977467351 35123.4944066392 67986900.58356397
0.745 0.74 0.75 0.0005322229605633321 36745.361525819404 69041293.3085905
0.755 0.75 0.76 0.000531037986196745 37219.097446220905 70087448.3815769
0.765 0.76 0.77 0.0005455381351873285 38801.45398375797 71125099.20215608
0.775 0.77 0.78 0.000555973403949592 40115.6218108435 72153850.39260013
0.785 0.78 0.79 0.0005650694889213929 41348.40629116961 73174020.3671156
0.795 0.79 0.8 0.0005879982284832489 43620.757913373214 74185185.9416204
0.805 0.8 0.81 0.0005829460137093006 43830.170191053 75187357.2514211
0.8150000000000001 0.81 0.8200000000000001 0.0005599299438508332 42655.53670998208 76180131.42255814
0.8250000000000001 0.8200000000000001 0.8300000000000001 0.0005466043401332197 42178.094295460476 77163848.14138272
0.8350000000000001 0.8300000000000001 0.8400000000000001 0.0005330115669432972 41648.58017068783 78138229.55012622
0.8450000000000001 0.8400000000000001 0.8500000000000001 0.0005088894476141411 40254.667657392245 79102971.8657378
0.8550000000000001 0.8500000000000001 0.8600000000000001 0.00048233898248360116 38615.34379545584 80058517.3452546
0.8650000000000001 0.8600000000000001 0.8700000000000001 0.0004662319102490074 37766.709476044 81004128.30145705
0.875 0.8700000000000001 0.88 0.00044896738154790827 36788.52302626969 81940302.43229167
0.885 0.88 0.89 0.0004311756006535454 35730.06265370117 82866615.364005
0.895 0.89 0.9 0.0004029005696641322 33756.44899049686 83783572.25614513
0.905 0.9 0.91 0.0003890748344702921 32950.850977770446 84690265.36406948
0.915 0.91 0.92 0.0003577227609532783 30616.57567246385 85587440.9301639
0.925 0.92 0.93 0.0003329748683621825 28793.91288700929 86474733.14919868
0.935 0.93 0.9400000000000001 0.00031781986316225386 27762.17690687211 87351925.17749882
0.9450000000000001 0.9400000000000001 0.9500000000000001 0.0003010117543362295 26555.16212725375 88219684.92828918
0.9550000000000001 0.9500000000000001 0.9600000000000001 0.0002828321180905272 25193.887114813606 89077178.66310254
0.9650000000000001 0.9600000000000001 0.9700000000000001 0.00025566944910849386 22991.040005555322 89924862.30061467
0.9750000000000001 0.9700000000000001 0.98 0.00023143261224646525 21005.436283271538 90762646.10841319
0.985 0.98 0.99 0.0002026538571126859 18561.147354354725 91590397.63074324
0.995 0.99 1.0 0.00018640528503225382 17225.479188748883 92408748.9567066
1.005 1.0 1.01 0.000167774439929686 15639.336767198307 93216444.49388553
1.0150000000000001 1.01 1.02 0.00015968427393888782 15012.68891435552 94014824.02769962
1.025 1.02 1.03 0.00014112443314398667 13379.054969417204 94803250.37526847
1.0350000000000001 1.03 1.04 0.00012576206997484313 12020.577120294247 95581896.21639329
1.045 1.04 1.05 0.00011801766594910648 11371.056343591781 96350459.50235446
1.0550000000000002 1.05 1.06 0.00010283088401368321 9985.856238839746 97109504.93735886
1.065 1.06 1.07 9.220843104022929e-05 9023.391173537186 97858634.74458645
1.0750000000000002 1.07 1.08 8.250241982537491e-05 8134.595835886079 98598269.63989434
1.085 1.08 1.09 7.397756389646746e-05 7348.049063934612 99328075.66113289
1.0950000000000002 1.09 1.1 6.654541913993848e-05 6657.7521606504815 100048241.43717366
