index,spectrum,map_or_field_A,field_B,zbin,band,ell_lo,ell_hi,ell_eff,Cl
0,DR6_x_LRGz1,DR6,LRGz1,1,0,20.0,44.0,32.0,1.69584104003515455e-06
1,DR6_x_LRGz1,DR6,LRGz1,1,1,44.0,79.0,61.5,7.91029335128153577e-07
2,DR6_x_LRGz1,DR6,LRGz1,1,2,79.0,124.0,101.5,3.52971984725073557e-07
3,DR6_x_LRGz1,DR6,LRGz1,1,3,124.0,178.0,151.0,2.46126114473542908e-07
4,DR6_x_LRGz1,DR6,LRGz1,1,4,178.0,243.0,210.5,1.63633474814922477e-07
5,DR6_x_LRGz1,DR6,LRGz1,1,5,243.0,317.0,280.0,1.15789045640310027e-07
6,DR6_x_LRGz1,DR6,LRGz1,1,6,317.0,401.0,359.0,7.78295150833866386e-08
7,DR6_x_LRGz1,DR6,LRGz1,1,7,401.0,495.0,448.0,6.59279849606971600e-08
8,DR6_x_LRGz1,DR6,LRGz1,1,8,495.0,600.0,547.5,5.37609186142793191e-08
9,DR6_x_LRGz1,DR6,LRGz1,1,9,600.0,713.0,656.5,3.46596736415236354e-08
10,DR6_x_LRGz1,DR6,LRGz1,1,10,713.0,837.0,775.0,3.16656238278400172e-08
11,DR6_x_LRGz1,DR6,LRGz1,1,11,837.0,971.0,904.0,2.65469427821741133e-08
12,DR6_x_LRGz2,DR6,LRGz2,2,0,20.0,44.0,32.0,1.10965527851920570e-06
13,DR6_x_LRGz2,DR6,LRGz2,2,1,44.0,79.0,61.5,8.30271767923301686e-07
14,DR6_x_LRGz2,DR6,LRGz2,2,2,79.0,124.0,101.5,4.54544841908305488e-07
15,DR6_x_LRGz2,DR6,LRGz2,2,3,124.0,178.0,151.0,2.59585792882946343e-07
16,DR6_x_LRGz2,DR6,LRGz2,2,4,178.0,243.0,210.5,2.13371995979896042e-07
17,DR6_x_LRGz2,DR6,LRGz2,2,5,243.0,317.0,280.0,1.18163936574469118e-07
18,DR6_x_LRGz2,DR6,LRGz2,2,6,317.0,401.0,359.0,9.97337555731458591e-08
19,DR6_x_LRGz2,DR6,LRGz2,2,7,401.0,495.0,448.0,5.53488593220282346e-08
20,DR6_x_LRGz2,DR6,LRGz2,2,8,495.0,600.0,547.5,5.61101179125223568e-08
21,DR6_x_LRGz2,DR6,LRGz2,2,9,600.0,713.0,656.5,4.03942740616509611e-08
22,DR6_x_LRGz2,DR6,LRGz2,2,10,713.0,837.0,775.0,3.22880501750064438e-08
23,DR6_x_LRGz2,DR6,LRGz2,2,11,837.0,971.0,904.0,3.66468620328158625e-08
24,DR6_x_LRGz3,DR6,LRGz3,3,0,20.0,44.0,32.0,1.25932253463412228e-06
25,DR6_x_LRGz3,DR6,LRGz3,3,1,44.0,79.0,61.5,7.94884834786552830e-07
26,DR6_x_LRGz3,DR6,LRGz3,3,2,79.0,124.0,101.5,3.82199343318228128e-07
27,DR6_x_LRGz3,DR6,LRGz3,3,3,124.0,178.0,151.0,3.53570415436194630e-07
28,DR6_x_LRGz3,DR6,LRGz3,3,4,178.0,243.0,210.5,2.33987989885874706e-07
29,DR6_x_LRGz3,DR6,LRGz3,3,5,243.0,317.0,280.0,1.36518635834976789e-07
30,DR6_x_LRGz3,DR6,LRGz3,3,6,317.0,401.0,359.0,9.44592554571354339e-08
31,DR6_x_LRGz3,DR6,LRGz3,3,7,401.0,495.0,448.0,6.50422192831419993e-08
32,DR6_x_LRGz3,DR6,LRGz3,3,8,495.0,600.0,547.5,5.37765752301022632e-08
33,DR6_x_LRGz3,DR6,LRGz3,3,9,600.0,713.0,656.5,4.23712688648051564e-08
34,DR6_x_LRGz3,DR6,LRGz3,3,10,713.0,837.0,775.0,3.77798692615694645e-08
