window_row,tracer_window,lens_map,cov_band,ell_eff,Ckg_axis0_index,ppd_mean,ppd_sigma
0,BGS,PR4,1,61.0,0,7.52914635008666062e-07,6.48464338753402121e-08
0,BGS,PR4,1,61.0,1,7.86589416357927169e-07,4.68190481873515310e-08
0,BGS,PR4,1,61.0,2,7.34041617533387410e-07,4.03536813787447798e-08
0,BGS,PR4,1,61.0,3,6.99479128590922293e-07,3.90582078605373933e-08
1,BGS,PR4,2,101.0,0,3.98441844320535034e-07,4.65183279432838439e-08
1,BGS,PR4,2,101.0,1,4.97082210147263373e-07,3.43181738476617854e-08
1,BGS,PR4,2,101.0,2,4.69640447952629629e-07,2.90697005329582608e-08
1,BGS,PR4,2,101.0,3,4.52284528563273719e-07,2.76605741959259124e-08
2,BGS,PR4,3,150.5,0,2.38851981411386629e-07,4.16140148637710486e-08
2,BGS,PR4,3,150.5,1,2.95340041476123559e-07,2.60504304088117564e-08
2,BGS,PR4,3,150.5,2,3.01882207530656201e-07,2.19889236033554463e-08
2,BGS,PR4,3,150.5,3,3.19550218591325105e-07,2.06557322809066156e-08
3,LRG1,PR4,1,61.0,0,7.53071512239060476e-07,6.48508584139935905e-08
3,LRG1,PR4,1,61.0,1,7.86666663922598035e-07,4.68143719238999239e-08
3,LRG1,PR4,1,61.0,2,7.34013634061533443e-07,4.03483428798521006e-08
3,LRG1,PR4,1,61.0,3,6.99372507681535875e-07,3.90527077936584779e-08
4,LRG1,PR4,2,101.0,0,3.98577047424494527e-07,4.65242057957784040e-08
4,LRG1,PR4,2,101.0,1,4.97150576901439197e-07,3.43196450335880939e-08
4,LRG1,PR4,2,101.0,2,4.69702548021654035e-07,2.90706534794329281e-08
4,LRG1,PR4,2,101.0,3,4.52352667924999826e-07,2.76612746237713942e-08
5,LRG1,PR4,3,150.5,0,2.38917529649490684e-07,4.16172604214597700e-08
5,LRG1,PR4,3,150.5,1,2.95412431146881337e-07,2.60527059611860956e-08
5,LRG1,PR4,3,150.5,2,3.01924357220868575e-07,2.19899339102975292e-08
5,LRG1,PR4,3,150.5,3,3.19566435548671766e-07,2.06563618692999073e-08
6,LRG2,PR4,1,61.0,0,7.53071795210169738e-07,6.48508956881264486e-08
6,LRG2,PR4,1,61.0,1,7.86667382661024375e-07,4.68144234833428713e-08
6,LRG2,PR4,1,61.0,2,7.34014433819879221e-07,4.03483903312612022e-08
6,LRG2,PR4,1,61.0,3,6.99373295423889734e-07,3.90527513110300572e-08
7,LRG2,PR4,2,101.0,0,3.98575942818879541e-07,4.65241765162498558e-08
7,LRG2,PR4,2,101.0,1,4.97149888763372872e-07,3.43196338483889455e-08
7,LRG2,PR4,2,101.0,2,4.69702151472914321e-07,2.90706503295241759e-08
7,LRG2,PR4,2,101.0,3,4.52352240137569821e-07,2.76612670551063400e-08
8,LRG2,PR4,3,150.5,0,2.38916990330461551e-07,4.16172365189611822e-08
8,LRG2,PR4,3,150.5,1,2.95411925269728607e-07,2.60526904430181488e-08
8,LRG2,PR4,3,150.5,2,3.01923978079101360e-07,2.19899209627167579e-08
8,LRG2,PR4,3,150.5,3,3.19566237655210164e-07,2.06563555661193181e-08
9,BGS,DR6,1,61.0,0,7.51332691561050602e-07,6.47883828459360596e-08
9,BGS,DR6,1,61.0,1,7.85613165596024843e-07,4.68308267100672052e-08
9,BGS,DR6,1,61.0,2,7.33857643917738448e-07,4.03713744819227022e-08
9,BGS,DR6,1,61.0,3,6.99914252895161033e-07,3.90777546272399365e-08
10,BGS,DR6,2,101.0,0,3.97668988911112335e-07,4.64842728063340550e-08
10,BGS,DR6,2,101.0,1,4.96718781950408437e-07,3.43074984174249343e-08
10,BGS,DR6,2,101.0,2,4.69247832692945869e-07,2.90601278608929648e-08
10,BGS,DR6,2,101.0,3,4.51814812807656615e-07,2.76523997884149419e-08
11,BGS,DR6,3,150.5,0,2.38597562909040659e-07,4.16014288661069188e-08
11,BGS,DR6,3,150.5,1,2.95007559526694436e-07,2.60392540208509475e-08
11,BGS,DR6,3,150.5,2,3.01715212184340019e-07,2.19847247089307527e-08
11,BGS,DR6,3,150.5,3,3.19509515345787193e-07,2.06524176902679829e-08
12,LRG1,DR6,1,61.0,0,7.50900402288004605e-07,6.47718624812575135e-08
12,LRG1,DR6,1,61.0,1,7.85331437394116731e-07,4.68328049684821031e-08
12,LRG1,DR6,1,61.0,2,7.33795328432802561e-07,4.03753037101712726e-08
12,LRG1,DR6,1,61.0,3,7.00015135717113047e-07,3.90820436044106192e-08
13,LRG1,DR6,2,101.0,0,3.97522524966640854e-07,4.64771025343047164e-08
13,LRG1,DR6,2,101.0,1,4.96657271969021946e-07,3.43053646062394322e-08
13,LRG1,DR6,2,101.0,2,4.69166252186671313e-07,2.90581304041839157e-08
13,LRG1,DR6,2,101.0,3,4.51712485426171738e-07,2.76509878927953181e-08
14,LRG1,DR6,3,150.5,0,2.38530939760482774e-07,4.15982270084822831e-08
14,LRG1,DR6,3,150.5,1,2.94922649637216292e-07,2.60364177853919373e-08
14,LRG1,DR6,3,150.5,2,3.01671281638178037e-07,2.19836776288229959e-08
14,LRG1,DR6,3,150.5,3,3.19496392321296707e-07,2.06515166270655482e-08
15,LRG2,DR6,1,61.0,0,7.50919397843943540e-07,6.47726070753092866e-08
15,LRG2,DR6,1,61.0,1,7.85345712070188893e-07,4.68326177538997757e-08
15,LRG2,DR6,1,61.0,2,7.33797469729245284e-07,4.03749891334847054e-08
15,LRG2,DR6,1,61.0,3,7.00007985655788183e-07,3.90816943087355821e-08
16,LRG2,DR6,2,101.0,0,3.97534260852069546e-07,4.64776181378328325e-08
16,LRG2,DR6,2,101.0,1,4.96662492496413971e-07,3.43055078463945636e-08
16,LRG2,DR6,2,101.0,2,4.69171986164799646e-07,2.90582634240344730e-08
16,LRG2,DR6,2,101.0,3,4.51719386423489548e-07,2.76510968225867208e-08
17,LRG2,DR6,3,150.5,0,2.38535059397301321e-07,4.15984309725043656e-08
17,LRG2,DR6,3,150.5,1,2.94927917741998872e-07,2.60365930501991324e-08
