index,tracer,lens_map,cov_band,ell_lo,ell_hi,ell_eff,ppd_mean_Ckg,ppd_sigma
0,BGS,PR4,1,44,79,61.0,7.52914635008665956e-07,6.48464338753402121e-08
1,BGS,PR4,2,79,124,101.0,3.98441844320534769e-07,4.65183279432838306e-08
2,BGS,PR4,3,124,178,150.5,2.38851981411386629e-07,4.16140148637710486e-08
3,LRG1,PR4,1,44,79,61.0,7.86666663922596870e-07,4.68143719238999041e-08
4,LRG1,PR4,2,79,124,101.0,4.97150576901438985e-07,3.43196450335880674e-08
5,LRG1,PR4,3,124,178,150.5,2.95412431146881072e-07,2.60527059611860956e-08
6,LRG2,PR4,1,44,79,61.0,7.34014433819879116e-07,4.03483903312611625e-08
7,LRG2,PR4,2,79,124,101.0,4.69702151472914268e-07,2.90706503295241692e-08
8,LRG2,PR4,3,124,178,150.5,3.01923978079101042e-07,2.19899209627167645e-08
9,BGS,DR6,1,44,79,61.0,7.51332691561050285e-07,6.47883828459360332e-08
10,BGS,DR6,2,79,124,101.0,3.97668988911112282e-07,4.64842728063340351e-08
11,BGS,DR6,3,124,178,150.5,2.38597562909040341e-07,4.16014288661069188e-08
12,LRG1,DR6,1,44,79,61.0,7.85331437394116413e-07,4.68328049684820568e-08
13,LRG1,DR6,2,79,124,101.0,4.96657271969021734e-07,3.43053646062394322e-08
14,LRG1,DR6,3,124,178,150.5,2.94922649637216557e-07,2.60364177853919307e-08
15,LRG2,DR6,1,44,79,61.0,7.33797469729245284e-07,4.03749891334846987e-08
16,LRG2,DR6,2,79,124,101.0,4.69171986164799646e-07,2.90582634240344730e-08
17,LRG2,DR6,3,124,178,150.5,3.01674043091291016e-07,2.19837418662673089e-08
