file,tracer,region,z,dNdz
LRGz1_dNdz_des,LRGz1,des,0.01,0.0
LRGz1_dNdz_des,LRGz1,des,0.03,0.0
LRGz1_dNdz_des,LRGz1,des,0.05,6.0
LRGz1_dNdz_des,LRGz1,des,0.07,7.0
LRGz1_dNdz_des,LRGz1,des,0.09,7.0
LRGz1_dNdz_des,LRGz1,des,0.11,8.0
LRGz1_dNdz_des,LRGz1,des,0.13,7.0
LRGz1_dNdz_des,LRGz1,des,0.15000000000000002,16.0
LRGz1_dNdz_des,LRGz1,des,0.16999999999999998,7.0
LRGz1_dNdz_des,LRGz1,des,0.19,10.0
LRGz1_dNdz_des,LRGz1,des,0.21000000000000002,8.0
LRGz1_dNdz_des,LRGz1,des,0.22999999999999998,18.0
LRGz1_dNdz_des,LRGz1,des,0.25,30.0
LRGz1_dNdz_des,LRGz1,des,0.27,63.0
LRGz1_dNdz_des,LRGz1,des,0.29000000000000004,76.0
LRGz1_dNdz_des,LRGz1,des,0.31,116.0
LRGz1_dNdz_des,LRGz1,des,0.33,179.0
LRGz1_dNdz_des,LRGz1,des,0.35,426.0
LRGz1_dNdz_des,LRGz1,des,0.37,828.0
LRGz1_dNdz_des,LRGz1,des,0.39,1391.0
LRGz1_dNdz_des,LRGz1,des,0.41000000000000003,2348.0
LRGz1_dNdz_des,LRGz1,des,0.43,3058.0
LRGz1_dNdz_des,LRGz1,des,0.45,3523.0
LRGz1_dNdz_des,LRGz1,des,0.47,3522.0
LRGz1_dNdz_des,LRGz1,des,0.49,3588.0
LRGz1_dNdz_des,LRGz1,des,0.51,3562.0
LRGz1_dNdz_des,LRGz1,des,0.53,2950.0
LRGz1_dNdz_des,LRGz1,des,0.55,1377.0
LRGz1_dNdz_des,LRGz1,des,0.5700000000000001,553.0
LRGz1_dNdz_des,LRGz1,des,0.59,253.0
LRGz1_dNdz_des,LRGz1,des,0.61,119.0
LRGz1_dNdz_des,LRGz1,des,0.63,61.0
LRGz1_dNdz_des,LRGz1,des,0.65,38.0
LRGz1_dNdz_des,LRGz1,des,0.67,31.0
LRGz1_dNdz_des,LRGz1,des,0.69,14.0
LRGz1_dNdz_des,LRGz1,des,0.71,12.0
LRGz1_dNdz_des,LRGz1,des,0.73,3.0
LRGz1_dNdz_des,LRGz1,des,0.75,12.0
LRGz1_dNdz_des,LRGz1,des,0.77,4.0
LRGz1_dNdz_des,LRGz1,des,0.79,3.0
LRGz1_dNdz_des,LRGz1,des,0.81,2.0
LRGz1_dNdz_des,LRGz1,des,0.83,0.0
LRGz1_dNdz_des,LRGz1,des,0.85,2.0
LRGz1_dNdz_des,LRGz1,des,0.87,1.0
LRGz1_dNdz_des,LRGz1,des,0.89,4.0
LRGz1_dNdz_des,LRGz1,des,0.91,0.0
LRGz1_dNdz_des,LRGz1,des,0.9299999999999999,1.0
LRGz1_dNdz_des,LRGz1,des,0.95,0.0
LRGz1_dNdz_des,LRGz1,des,0.97,1.0
LRGz1_dNdz_des,LRGz1,des,0.99,2.0
LRGz1_dNdz_des,LRGz1,des,1.01,1.0
LRGz1_dNdz_des,LRGz1,des,1.03,0.0
LRGz1_dNdz_des,LRGz1,des,1.05,2.0
LRGz1_dNdz_des,LRGz1,des,1.07,0.0
LRGz1_dNdz_des,LRGz1,des,1.09,1.0
LRGz1_dNdz_des,LRGz1,des,1.11,2.0
LRGz1_dNdz_des,LRGz1,des,1.13,0.0
LRGz1_dNdz_des,LRGz1,des,1.15,0.0
LRGz1_dNdz_des,LRGz1,des,1.17,1.0
LRGz1_dNdz_des,LRGz1,des,1.19,0.0
LRGz1_dNdz_des,LRGz1,des,1.21,0.0
LRGz1_dNdz_des,LRGz1,des,1.23,0.0
LRGz1_dNdz_des,LRGz1,des,1.25,1.0
LRGz1_dNdz_des,LRGz1,des,1.27,0.0
LRGz1_dNdz_des,LRGz1,des,1.29,0.0
LRGz1_dNdz_des,LRGz1,des,1.31,2.0
LRGz1_dNdz_des,LRGz1,des,1.33,1.0
LRGz1_dNdz_des,LRGz1,des,1.35,0.0
LRGz1_dNdz_des,LRGz1,des,1.37,0.0
LRGz1_dNdz_des,LRGz1,des,1.39,0.0
LRGz1_dNdz_des,LRGz1,des,1.41,0.0
LRGz1_dNdz_des,LRGz1,des,1.43,2.0
LRGz1_dNdz_des,LRGz1,des,1.45,0.0
LRGz1_dNdz_des,LRGz1,des,1.47,0.0
