file,tracer,region,z,dNdz
LRGz1_dNdz_north,LRGz1,north,0.005,0.0
LRGz1_dNdz_north,LRGz1,north,0.015,0.0
LRGz1_dNdz_north,LRGz1,north,0.025,0.0
LRGz1_dNdz_north,LRGz1,north,0.035,0.006
LRGz1_dNdz_north,LRGz1,north,0.045,0.003
LRGz1_dNdz_north,LRGz1,north,0.055,0.003
LRGz1_dNdz_north,LRGz1,north,0.065,0.003
LRGz1_dNdz_north,LRGz1,north,0.07500000000000001,0.013
LRGz1_dNdz_north,LRGz1,north,0.08499999999999999,0.01
LRGz1_dNdz_north,LRGz1,north,0.095,0.004
LRGz1_dNdz_north,LRGz1,north,0.10500000000000001,0.02
LRGz1_dNdz_north,LRGz1,north,0.11499999999999999,0.035
LRGz1_dNdz_north,LRGz1,north,0.125,0.017
LRGz1_dNdz_north,LRGz1,north,0.135,0.018
LRGz1_dNdz_north,LRGz1,north,0.14500000000000002,0.011
LRGz1_dNdz_north,LRGz1,north,0.155,0.023
LRGz1_dNdz_north,LRGz1,north,0.165,0.016
LRGz1_dNdz_north,LRGz1,north,0.175,0.019
LRGz1_dNdz_north,LRGz1,north,0.185,0.01
LRGz1_dNdz_north,LRGz1,north,0.195,0.027
LRGz1_dNdz_north,LRGz1,north,0.20500000000000002,0.021
LRGz1_dNdz_north,LRGz1,north,0.215,0.028
LRGz1_dNdz_north,LRGz1,north,0.225,0.031
LRGz1_dNdz_north,LRGz1,north,0.235,0.052
LRGz1_dNdz_north,LRGz1,north,0.245,0.032
LRGz1_dNdz_north,LRGz1,north,0.255,0.051
LRGz1_dNdz_north,LRGz1,north,0.265,0.05
LRGz1_dNdz_north,LRGz1,north,0.275,0.082
LRGz1_dNdz_north,LRGz1,north,0.28500000000000003,0.126
LRGz1_dNdz_north,LRGz1,north,0.295,0.126
LRGz1_dNdz_north,LRGz1,north,0.305,0.168
LRGz1_dNdz_north,LRGz1,north,0.315,0.188
LRGz1_dNdz_north,LRGz1,north,0.325,0.234
LRGz1_dNdz_north,LRGz1,north,0.335,0.371
LRGz1_dNdz_north,LRGz1,north,0.345,0.498
LRGz1_dNdz_north,LRGz1,north,0.355,0.67
LRGz1_dNdz_north,LRGz1,north,0.365,1.064
LRGz1_dNdz_north,LRGz1,north,0.375,1.302
LRGz1_dNdz_north,LRGz1,north,0.385,1.77
LRGz1_dNdz_north,LRGz1,north,0.395,2.324
LRGz1_dNdz_north,LRGz1,north,0.405,2.906
LRGz1_dNdz_north,LRGz1,north,0.415,3.654
LRGz1_dNdz_north,LRGz1,north,0.425,4.423
LRGz1_dNdz_north,LRGz1,north,0.435,4.593
LRGz1_dNdz_north,LRGz1,north,0.445,4.819
LRGz1_dNdz_north,LRGz1,north,0.455,4.892
LRGz1_dNdz_north,LRGz1,north,0.46499999999999997,4.585
