file,tracer,region,z,dNdz
LRGz1_dNdz_south,LRGz1,south,0.005,0.001
LRGz1_dNdz_south,LRGz1,south,0.015,0.001
LRGz1_dNdz_south,LRGz1,south,0.025,0.003
LRGz1_dNdz_south,LRGz1,south,0.035,0.004
LRGz1_dNdz_south,LRGz1,south,0.045,0.006
LRGz1_dNdz_south,LRGz1,south,0.055,0.009
LRGz1_dNdz_south,LRGz1,south,0.065,0.008
LRGz1_dNdz_south,LRGz1,south,0.07500000000000001,0.015
LRGz1_dNdz_south,LRGz1,south,0.08499999999999999,0.019
LRGz1_dNdz_south,LRGz1,south,0.095,0.013
LRGz1_dNdz_south,LRGz1,south,0.10500000000000001,0.018
LRGz1_dNdz_south,LRGz1,south,0.11499999999999999,0.008
LRGz1_dNdz_south,LRGz1,south,0.125,0.013
LRGz1_dNdz_south,LRGz1,south,0.135,0.015
LRGz1_dNdz_south,LRGz1,south,0.14500000000000002,0.013
LRGz1_dNdz_south,LRGz1,south,0.155,0.015
LRGz1_dNdz_south,LRGz1,south,0.165,0.014
LRGz1_dNdz_south,LRGz1,south,0.175,0.013
LRGz1_dNdz_south,LRGz1,south,0.185,0.02
LRGz1_dNdz_south,LRGz1,south,0.195,0.019
LRGz1_dNdz_south,LRGz1,south,0.20500000000000002,0.019
LRGz1_dNdz_south,LRGz1,south,0.215,0.022
LRGz1_dNdz_south,LRGz1,south,0.225,0.028
LRGz1_dNdz_south,LRGz1,south,0.235,0.031
LRGz1_dNdz_south,LRGz1,south,0.245,0.04
LRGz1_dNdz_south,LRGz1,south,0.255,0.044
LRGz1_dNdz_south,LRGz1,south,0.265,0.055
LRGz1_dNdz_south,LRGz1,south,0.275,0.06
LRGz1_dNdz_south,LRGz1,south,0.28500000000000003,0.077
LRGz1_dNdz_south,LRGz1,south,0.295,0.096
LRGz1_dNdz_south,LRGz1,south,0.305,0.12
LRGz1_dNdz_south,LRGz1,south,0.315,0.168
LRGz1_dNdz_south,LRGz1,south,0.325,0.215
LRGz1_dNdz_south,LRGz1,south,0.335,0.307
LRGz1_dNdz_south,LRGz1,south,0.345,0.459
LRGz1_dNdz_south,LRGz1,south,0.355,0.639
LRGz1_dNdz_south,LRGz1,south,0.365,0.923
LRGz1_dNdz_south,LRGz1,south,0.375,1.295
LRGz1_dNdz_south,LRGz1,south,0.385,1.763
LRGz1_dNdz_south,LRGz1,south,0.395,2.421
LRGz1_dNdz_south,LRGz1,south,0.405,2.991
LRGz1_dNdz_south,LRGz1,south,0.415,3.595
LRGz1_dNdz_south,LRGz1,south,0.425,3.999
LRGz1_dNdz_south,LRGz1,south,0.435,4.472
LRGz1_dNdz_south,LRGz1,south,0.445,4.91
LRGz1_dNdz_south,LRGz1,south,0.455,5.101
LRGz1_dNdz_south,LRGz1,south,0.46499999999999997,5.092
LRGz1_dNdz_south,LRGz1,south,0.475,5.193
LRGz1_dNdz_south,LRGz1,south,0.485,5.331
LRGz1_dNdz_south,LRGz1,south,0.495,5.387
LRGz1_dNdz_south,LRGz1,south,0.505,5.362
LRGz1_dNdz_south,LRGz1,south,0.515,4.975
LRGz1_dNdz_south,LRGz1,south,0.525,4.789
LRGz1_dNdz_south,LRGz1,south,0.535,3.797
LRGz1_dNdz_south,LRGz1,south,0.545,2.653
LRGz1_dNdz_south,LRGz1,south,0.555,1.64
LRGz1_dNdz_south,LRGz1,south,0.565,1.031
LRGz1_dNdz_south,LRGz1,south,0.575,0.641
LRGz1_dNdz_south,LRGz1,south,0.585,0.393
LRGz1_dNdz_south,LRGz1,south,0.595,0.269
LRGz1_dNdz_south,LRGz1,south,0.605,0.173
LRGz1_dNdz_south,LRGz1,south,0.615,0.134
LRGz1_dNdz_south,LRGz1,south,0.625,0.1
LRGz1_dNdz_south,LRGz1,south,0.635,0.069
LRGz1_dNdz_south,LRGz1,south,0.645,0.063
LRGz1_dNdz_south,LRGz1,south,0.655,0.05
LRGz1_dNdz_south,LRGz1,south,0.665,0.04
LRGz1_dNdz_south,LRGz1,south,0.675,0.036
LRGz1_dNdz_south,LRGz1,south,0.685,0.02
LRGz1_dNdz_south,LRGz1,south,0.695,0.015
LRGz1_dNdz_south,LRGz1,south,0.705,0.011
LRGz1_dNdz_south,LRGz1,south,0.715,0.01
LRGz1_dNdz_south,LRGz1,south,0.725,0.006
LRGz1_dNdz_south,LRGz1,south,0.735,0.004
LRGz1_dNdz_south,LRGz1,south,0.745,0.008
LRGz1_dNdz_south,LRGz1,south,0.755,0.005
LRGz1_dNdz_south,LRGz1,south,0.765,0.004
LRGz1_dNdz_south,LRGz1,south,0.775,0.002
LRGz1_dNdz_south,LRGz1,south,0.785,0.003
LRGz1_dNdz_south,LRGz1,south,0.795,0.002
LRGz1_dNdz_south,LRGz1,south,0.805,0.003
LRGz1_dNdz_south,LRGz1,south,0.815,0.003
LRGz1_dNdz_south,LRGz1,south,0.825,0.002
LRGz1_dNdz_south,LRGz1,south,0.835,0.001
LRGz1_dNdz_south,LRGz1,south,0.845,0.002
LRGz1_dNdz_south,LRGz1,south,0.855,0.002
LRGz1_dNdz_south,LRGz1,south,0.865,0.001
LRGz1_dNdz_south,LRGz1,south,0.875,0.002
LRGz1_dNdz_south,LRGz1,south,0.885,0.002
LRGz1_dNdz_south,LRGz1,south,0.895,0.002
LRGz1_dNdz_south,LRGz1,south,0.905,0.001
LRGz1_dNdz_south,LRGz1,south,0.915,0.001
LRGz1_dNdz_south,LRGz1,south,0.925,0.001
LRGz1_dNdz_south,LRGz1,south,0.935,0.002
LRGz1_dNdz_south,LRGz1,south,0.945,0.001
LRGz1_dNdz_south,LRGz1,south,0.955,0.001
LRGz1_dNdz_south,LRGz1,south,0.965,0.001
LRGz1_dNdz_south,LRGz1,south,0.975,0.002
LRGz1_dNdz_south,LRGz1,south,0.985,0.001
LRGz1_dNdz_south,LRGz1,south,0.995,0.001
LRGz1_dNdz_south,LRGz1,south,1.005,0.002
LRGz1_dNdz_south,LRGz1,south,1.0150000000000001,0.001
LRGz1_dNdz_south,LRGz1,south,1.025,0.001
