file,tracer,region,z,dNdz
LRGz3_dNdz,LRGz3,all,0.005,0.0012568181818181819
LRGz3_dNdz,LRGz3,all,0.014999999999999998,0.0014863636363636364
LRGz3_dNdz,LRGz3,all,0.025,0.002
LRGz3_dNdz,LRGz3,all,0.035,0.0037704545454545456
LRGz3_dNdz,LRGz3,all,0.045,0.0027431818181818182
LRGz3_dNdz,LRGz3,all,0.05500000000000001,0.004513636363636364
LRGz3_dNdz,LRGz3,all,0.065,0.005
LRGz3_dNdz,LRGz3,all,0.07500000000000001,0.008513636363636366
LRGz3_dNdz,LRGz3,all,0.08499999999999998,0.010229545454545455
LRGz3_dNdz,LRGz3,all,0.095,0.009486363636363637
LRGz3_dNdz,LRGz3,all,0.10500000000000001,0.008027272727272727
LRGz3_dNdz,LRGz3,all,0.11499999999999999,0.009027272727272728
LRGz3_dNdz,LRGz3,all,0.125,0.009027272727272728
LRGz3_dNdz,LRGz3,all,0.135,0.007972727272727272
LRGz3_dNdz,LRGz3,all,0.14500000000000002,0.007513636363636365
LRGz3_dNdz,LRGz3,all,0.155,0.005256818181818182
LRGz3_dNdz,LRGz3,all,0.165,0.007256818181818182
LRGz3_dNdz,LRGz3,all,0.175,0.010688636363636364
LRGz3_dNdz,LRGz3,all,0.18500000000000003,0.012284090909090911
LRGz3_dNdz,LRGz3,all,0.195,0.015797727272727272
LRGz3_dNdz,LRGz3,all,0.20500000000000004,0.008945454545454545
LRGz3_dNdz,LRGz3,all,0.215,0.011000000000000001
LRGz3_dNdz,LRGz3,all,0.225,0.01454090909090909
LRGz3_dNdz,LRGz3,all,0.235,0.013459090909090907
LRGz3_dNdz,LRGz3,all,0.24500000000000002,0.010743181818181818
LRGz3_dNdz,LRGz3,all,0.255,0.016027272727272727
LRGz3_dNdz,LRGz3,all,0.265,0.017229545454545456
LRGz3_dNdz,LRGz3,all,0.275,0.013229545454545456
LRGz3_dNdz,LRGz3,all,0.2850000000000001,0.014202272727272728
LRGz3_dNdz,LRGz3,all,0.295,0.013486363636363638
LRGz3_dNdz,LRGz3,all,0.305,0.015202272727272727
LRGz3_dNdz,LRGz3,all,0.31500000000000006,0.03683636363636363
LRGz3_dNdz,LRGz3,all,0.325,0.021513636363636367
LRGz3_dNdz,LRGz3,all,0.3350000000000001,0.020431818181818183
LRGz3_dNdz,LRGz3,all,0.345,0.017972727272727272
LRGz3_dNdz,LRGz3,all,0.355,0.017256818181818182
LRGz3_dNdz,LRGz3,all,0.365,0.01825681818181818
LRGz3_dNdz,LRGz3,all,0.375,0.02020227272727273
LRGz3_dNdz,LRGz3,all,0.385,0.020540909090909092
LRGz3_dNdz,LRGz3,all,0.3950000000000001,0.02145909090909091
LRGz3_dNdz,LRGz3,all,0.405,0.01545909090909091
LRGz3_dNdz,LRGz3,all,0.4149999999999999,0.016147727272727272
LRGz3_dNdz,LRGz3,all,0.42500000000000004,0.014999999999999998
LRGz3_dNdz,LRGz3,all,0.435,0.01574318181818182
LRGz3_dNdz,LRGz3,all,0.445,0.02045909090909091
LRGz3_dNdz,LRGz3,all,0.455,0.01525681818181818
LRGz3_dNdz,LRGz3,all,0.465,0.023
LRGz3_dNdz,LRGz3,all,0.475,0.022000000000000002
LRGz3_dNdz,LRGz3,all,0.485,0.02305454545454546
LRGz3_dNdz,LRGz3,all,0.49500000000000005,0.019459090909090912
