file,tracer,region,z,dNdz
LRGz3_dNdz_decals,LRGz3,decals,0.01,8.0
LRGz3_dNdz_decals,LRGz3,decals,0.03,16.0
LRGz3_dNdz_decals,LRGz3,decals,0.05,20.0
LRGz3_dNdz_decals,LRGz3,decals,0.07,39.0
LRGz3_dNdz_decals,LRGz3,decals,0.09,56.0
LRGz3_dNdz_decals,LRGz3,decals,0.11,46.0
LRGz3_dNdz_decals,LRGz3,decals,0.13,47.0
LRGz3_dNdz_decals,LRGz3,decals,0.15000000000000002,33.0
LRGz3_dNdz_decals,LRGz3,decals,0.16999999999999998,59.0
LRGz3_dNdz_decals,LRGz3,decals,0.19,71.0
LRGz3_dNdz_decals,LRGz3,decals,0.21000000000000002,57.0
LRGz3_dNdz_decals,LRGz3,decals,0.22999999999999998,76.0
LRGz3_dNdz_decals,LRGz3,decals,0.25,75.0
LRGz3_dNdz_decals,LRGz3,decals,0.27,88.0
LRGz3_dNdz_decals,LRGz3,decals,0.29000000000000004,77.0
LRGz3_dNdz_decals,LRGz3,decals,0.31,160.0
LRGz3_dNdz_decals,LRGz3,decals,0.33,123.0
LRGz3_dNdz_decals,LRGz3,decals,0.35,101.0
LRGz3_dNdz_decals,LRGz3,decals,0.37,111.0
LRGz3_dNdz_decals,LRGz3,decals,0.39,123.0
LRGz3_dNdz_decals,LRGz3,decals,0.41000000000000003,106.0
LRGz3_dNdz_decals,LRGz3,decals,0.43,91.0
LRGz3_dNdz_decals,LRGz3,decals,0.45,112.0
LRGz3_dNdz_decals,LRGz3,decals,0.47,136.0
LRGz3_dNdz_decals,LRGz3,decals,0.49,139.0
LRGz3_dNdz_decals,LRGz3,decals,0.51,133.0
LRGz3_dNdz_decals,LRGz3,decals,0.53,211.0
LRGz3_dNdz_decals,LRGz3,decals,0.55,290.0
LRGz3_dNdz_decals,LRGz3,decals,0.5700000000000001,427.0
LRGz3_dNdz_decals,LRGz3,decals,0.59,750.0
LRGz3_dNdz_decals,LRGz3,decals,0.61,1330.0
LRGz3_dNdz_decals,LRGz3,decals,0.63,2592.0
LRGz3_dNdz_decals,LRGz3,decals,0.65,4541.0
LRGz3_dNdz_decals,LRGz3,decals,0.67,7747.0
LRGz3_dNdz_decals,LRGz3,decals,0.69,15603.0
LRGz3_dNdz_decals,LRGz3,decals,0.71,26817.0
LRGz3_dNdz_decals,LRGz3,decals,0.73,38151.0
LRGz3_dNdz_decals,LRGz3,decals,0.75,48101.0
LRGz3_dNdz_decals,LRGz3,decals,0.77,53717.0
LRGz3_dNdz_decals,LRGz3,decals,0.79,53843.0
LRGz3_dNdz_decals,LRGz3,decals,0.81,48685.0
LRGz3_dNdz_decals,LRGz3,decals,0.83,41526.0
LRGz3_dNdz_decals,LRGz3,decals,0.85,32456.0
LRGz3_dNdz_decals,LRGz3,decals,0.87,24785.0
LRGz3_dNdz_decals,LRGz3,decals,0.89,17389.0
LRGz3_dNdz_decals,LRGz3,decals,0.91,11077.0
LRGz3_dNdz_decals,LRGz3,decals,0.9299999999999999,6175.0
LRGz3_dNdz_decals,LRGz3,decals,0.95,3808.0
LRGz3_dNdz_decals,LRGz3,decals,0.97,2381.0
LRGz3_dNdz_decals,LRGz3,decals,0.99,1481.0
LRGz3_dNdz_decals,LRGz3,decals,1.01,1064.0
LRGz3_dNdz_decals,LRGz3,decals,1.03,623.0
LRGz3_dNdz_decals,LRGz3,decals,1.05,422.0
LRGz3_dNdz_decals,LRGz3,decals,1.07,287.0
LRGz3_dNdz_decals,LRGz3,decals,1.09,203.0
LRGz3_dNdz_decals,LRGz3,decals,1.11,139.0
LRGz3_dNdz_decals,LRGz3,decals,1.13,86.0
LRGz3_dNdz_decals,LRGz3,decals,1.15,100.0
LRGz3_dNdz_decals,LRGz3,decals,1.17,73.0
LRGz3_dNdz_decals,LRGz3,decals,1.19,55.0
LRGz3_dNdz_decals,LRGz3,decals,1.21,47.0
LRGz3_dNdz_decals,LRGz3,decals,1.23,31.0
LRGz3_dNdz_decals,LRGz3,decals,1.25,18.0
LRGz3_dNdz_decals,LRGz3,decals,1.27,24.0
LRGz3_dNdz_decals,LRGz3,decals,1.29,19.0
LRGz3_dNdz_decals,LRGz3,decals,1.31,30.0
LRGz3_dNdz_decals,LRGz3,decals,1.33,26.0
LRGz3_dNdz_decals,LRGz3,decals,1.35,15.0
LRGz3_dNdz_decals,LRGz3,decals,1.37,22.0
LRGz3_dNdz_decals,LRGz3,decals,1.39,10.0
LRGz3_dNdz_decals,LRGz3,decals,1.41,5.0
LRGz3_dNdz_decals,LRGz3,decals,1.43,7.0
LRGz3_dNdz_decals,LRGz3,decals,1.45,4.0
LRGz3_dNdz_decals,LRGz3,decals,1.47,0.0
