file,shard,rows,bytes,sha256
wl_DR6_LRGz1,wl_DR6_LRGz1.part01.csv,2915,879743,38511742383fb2513229acb49c4292b36fb49f5e7833fa57d2b2f9e3b7f92567
wl_DR6_LRGz1,wl_DR6_LRGz1.part02.csv,2810,849970,824461c6781455d5fa61aa1b6ea78b80911d0cdf0c16b8d81a952cd960ecaa47
wl_PR4_LRGz1,wl_PR4_LRGz1.part01.csv,2918,879925,279489f6dff031b0efd9e728208efc72dc7e40df051745c6d42ffb1020a9c7df
wl_PR4_LRGz1,wl_PR4_LRGz1.part02.csv,2807,849550,58e1ccad9ca20ad7c275ac33d1afcf9a7498c08def55f711864a6992b9825ad1
wl_DR6_LRGz2,wl_DR6_LRGz2.part01.csv,2915,879824,53a58097f31b5c43e9f0af95b6d5e7560ae958f1d8f696905c390a3b1fbb2b4e
wl_DR6_LRGz2,wl_DR6_LRGz2.part02.csv,2810,849570,13965185ebec57cb5fdf5f5ab83cf9950ebd81661a76ce18b483ca9919d61344
wl_PR4_LRGz2,wl_PR4_LRGz2.part01.csv,2918,879892,f6790bfe124112d2422bd03f2451d5b66c3d7ec68b7d62ac05e3e265a91a7e17
wl_PR4_LRGz2,wl_PR4_LRGz2.part02.csv,2807,849314,ae06e6b65cb7e488751d283d43943f76c3e5175119cb432506ad3d4c23dfb2c6
wl_DR6_LRGz3,wl_DR6_LRGz3.part01.csv,2915,879981,588fc598d7bc9e5e12aba5a3c20faf03f480effcad1e6e84bb8a4dccde63bbe6
wl_DR6_LRGz3,wl_DR6_LRGz3.part02.csv,2810,849529,2e1be29daec9501e2ad6fb8265e5004a0d8788c7e410cc4601182e7fa7aa9f88
wl_PR4_LRGz3,wl_PR4_LRGz3.part01.csv,2918,879936,23716bc66e48b2739f657441897e0d317643f123b6a242993430cea1839295be
wl_PR4_LRGz3,wl_PR4_LRGz3.part02.csv,2807,849526,cd10be2dd3ac19472ff7e7a7120909f92669023a54cfaeedb6d64b13fa5df935
wl_DR6_LRGz4,wl_DR6_LRGz4.part01.csv,2915,879814,a45332d0e6b5d5c07d56ae817a1170433a5b59c1e155d61e6972e119cc7971ce
wl_DR6_LRGz4,wl_DR6_LRGz4.part02.csv,2810,849851,21fbfdf38871d2ee89ef7cb12faf0f3d0f794afa26f0a3b04a1d383ac1335829
wl_PR4_LRGz4,wl_PR4_LRGz4.part01.csv,2918,879767,6a6395f1aa79402028278f90601081cca8358215618395d16a8f635a53843893
wl_PR4_LRGz4,wl_PR4_LRGz4.part02.csv,2807,849295,b96f2d8941ea7ef956d92918e3815674ce406cf4c50921c54e94477a39ebb0a7
wl_LRGz1_LRGz1,wl_LRGz1_LRGz1.part01.csv,2876,879868,24030c28550b78437e5cbf080f157e5ff9e824ed64b17adbb7511be5fdffac6d
wl_LRGz1_LRGz1,wl_LRGz1_LRGz1.part02.csv,2849,873966,098089bdae91fa49931f16057d09d7fecbe2ad9a6f662afad791c7ef85a48f1a
wl_LRGz2_LRGz2,wl_LRGz2_LRGz2.part01.csv,2876,879886,2e9b7b572ffa4001cc368aa3ebfd646c6d5fa369f167c5ad9f0d962d453e2549
wl_LRGz2_LRGz2,wl_LRGz2_LRGz2.part02.csv,2849,874045,b80377f1a9c515d79274cca282f9ed6a5e95858a78aab5a8cf7ae1131198df15
wl_LRGz3_LRGz3,wl_LRGz3_LRGz3.part01.csv,2875,879743,656b37963dcf2fa708347ea707f99155cf422d2b481803ba949b0972ccc2ae5f
wl_LRGz3_LRGz3,wl_LRGz3_LRGz3.part02.csv,2850,874228,0ffe7252e257aee01058f2eaba91e7be159b8f39cfa605ac92f2309982554423
wl_LRGz4_LRGz4,wl_LRGz4_LRGz4.part01.csv,2876,879842,f0844d0f04ab33ea3a9184bf8db2cd365a61506192e411a84ab339854e074276
wl_LRGz4_LRGz4,wl_LRGz4_LRGz4.part02.csv,2849,873999,29f94f60fb183f6c6ddb874c2c6285b53eb991bcc02b2fc5bde8741664fde178
LRGz1_dNdz,LRGz1_dNdz.csv,149,7476,3e19e276e18dfb21e87a3e55429af926df09bf08a46a48863b7acc6bcd228ac4
LRGz1_dNdz_act,LRGz1_dNdz_act.csv,74,4129,2ebdf4f086aa0ffb7dc3b702ffbfeca3ed05e57fca4950a4d7a1106d117fd2ef
LRGz1_dNdz_decals,LRGz1_dNdz_decals.csv,74,3196,757f0db1d358b591771c77f2df8974c8fd4a6464234d187004fe3ddd152db640
LRGz1_dNdz_des,LRGz1_dNdz_des.csv,74,2713,70cdae927c516fcb0a0fc029ab55d58a2e11290a61b0a87406230b80b7fc527f
LRGz1_dNdz_north,LRGz1_dNdz_north.csv,149,6453,68430e2758fdec110e2adfcbdaa01b34bc546f84647ca36fdd6a3fb820d19276
