window_id,map,tracer,ell_index,band_00,band_01,band_02,band_03,band_04,band_05,band_06,band_07,band_08,band_09,band_10,band_11
wl_PR4_LRGz2,PR4,LRGz2,2918,-1.2476553851434633e-10,6.479147199101156e-11,-2.8546671810436172e-11,3.6515624213320666e-11,1.3261419410854303e-11,2.5636410835440593e-11,-1.7151544967106436e-11,-4.949395835337955e-11,2.3502168100609113e-11,5.077623675932639e-11,-1.69658564063661e-11,-5.6826375996061755e-11
wl_PR4_LRGz2,PR4,LRGz2,2919,-1.1501270176563367e-10,5.5896317772503576e-11,-2.1001509654018e-11,3.4707614381742775e-11,1.4424481872094092e-11,2.436996721700179e-11,-1.7039430799518576e-11,-4.9018309965902836e-11,2.1460528403482564e-11,5.2322636808649036e-11,-1.5942529325875032e-11,-5.5319084162744397e-11
wl_PR4_LRGz2,PR4,LRGz2,2920,-1.3175729760278807e-10,6.471950440708506e-11,-2.3520824911268253e-11,3.4081083211391814e-11,1.483091597941485e-11,2.4245538630547005e-11,-1.7504633543320796e-11,-4.7498584199577286e-11,1.9409387707139014e-11,5.329224461931545e-11,-1.5701164605065992e-11,-5.48442028089462e-11
wl_PR4_LRGz2,PR4,LRGz2,2921,-1.1437882202848009e-10,4.7839459821088625e-11,-1.25053846716769e-11,3.0363868442305664e-11,1.531568355221739e-11,2.3877413559365798e-11,-1.696227184521024e-11,-4.738725951034762e-11,1.8166286818109852e-11,5.356571505311899e-11,-1.4006932773585178e-11,-5.3437034623047674e-11
wl_PR4_LRGz2,PR4,LRGz2,2922,-1.215443625395513e-10,5.496229289305761e-11,-1.5331995121932263e-11,2.965825106124712e-11,1.541098938387901e-11,2.4163340609248984e-11,-1.7707660505773526e-11,-4.654078205976778e-11,1.728013314904671e-11,5.337015890787952e-11,-1.2191861852817092e-11,-5.402518798988371e-11
wl_PR4_LRGz2,PR4,LRGz2,2923,-1.1716252334898727e-10,4.545907787645211e-11,-3.4012579106020886e-12,2.472732770172678e-11,1.6327061334117895e-11,2.265369365646213e-11,-1.68683959058797e-11,-4.6256518145302685e-11,1.6361932314698133e-11,5.3755045702045815e-11,-1.0700375732854998e-11,-5.334386802457189e-11
wl_PR4_LRGz2,PR4,LRGz2,2924,-1.1104714230394302e-10,4.524968698951141e-11,-4.7066645861228266e-12,2.149751552826706e-11,1.8463585826188602e-11,2.1311985984833286e-11,-1.6604177902475394e-11,-4.451150773414936e-11,1.4045442017819771e-11,5.383976886569098e-11,-9.243613772915296e-12,-5.38495397189603e-11
wl_PR4_LRGz2,PR4,LRGz2,2925,-1.0277696219280864e-10,2.837323801301398e-11,8.285976446851502e-12,1.6395772391959234e-11,1.9007067977076914e-11,2.0434046214233384e-11,-1.4631770546482862e-11,-4.501862766417252e-11,1.2624646770399561e-11,5.4043375634604796e-11,-7.36186101788376e-12,-5.3591636010534126e-11
wl_PR4_LRGz2,PR4,LRGz2,2926,-1.09358576241228e-10,1.744827482527569e-11,1.1511613538201844e-11,1.4421079132845119e-11,2.0315437696725496e-11,1.750238083884998e-11,-1.1685196405090402e-11,-4.45976855170194e-11,1.0252132501771564e-11,5.3856640721100994e-11,-5.395814778146315e-12,-5.378807723346885e-11
wl_PR4_LRGz2,PR4,LRGz2,2927,-9.521287886534889e-11,3.73029478358354e-12,2.431396274746523e-11,1.0342865509583401e-11,1.953834682913721e-11,1.7368823542783965e-11,-1.0857008201257395e-11,-4.488287617559609e-11,9.59959490746243e-12,5.304085893626179e-11,-2.770939254161259e-12,-5.324703576438438e-11
wl_PR4_LRGz2,PR4,LRGz2,2928,-9.340932426951795e-11,1.7961924720328737e-13,2.356839688481594e-11,8.77699720219606e-12,2.1626079578007897e-11,1.4454980777762576e-11,-8.8483728811701e-12,-4.5577401757449214e-11,8.483240782461046e-12,5.276223890581198e-11,-1.039414238516083e-12,-5.340488484686889e-11
wl_PR4_LRGz2,PR4,LRGz2,2929,-9.518366862430734e-11,-7.796663024808686e-12,3.355083156921312e-11,3.5220015782079428e-12,2.2156387627500188e-11,1.3824905573101623e-11,-7.666607949390245e-12,-4.532255636644802e-11,8.071705978201079e-12,5.1492588491468594e-11,4.897519620801689e-13,-5.2515696850611105e-11
wl_PR4_LRGz2,PR4,LRGz2,2930,-9.107797465554215e-11,-1.2131087301746232e-11,3.0491989047037995e-11,4.1444891172169e-12,2.37634127456387e-11,1.1345697452719978e-11,-6.342760924871767e-12,-4.460117932508887e-11,5.812113509166013e-12,5.0932388013327806e-11,4.115051972839547e-12,-5.391814126968692e-11
