sector,pa_lo,pa_hi,r_in_arcsec,r_out_arcsec,r_mid_kpc,npix,n_beams,mom0_mean,mom0_med,snr_mean,vfield_npix,vfield_med_kms
1,0,45,30.0,60.0,4.27,2,0.112,2.749,2.749,49.503,2,1716.48
1,0,45,60.0,90.0,7.116,2,0.112,4.08319,4.08319,73.528,2,1718.83
1,0,45,90.0,120.0,9.962,4,0.224,5.00641,5.00412,90.153,4,1723.4
1,0,45,120.0,150.0,12.809,3,0.168,5.65947,5.76686,101.913,3,1712.73
1,0,45,150.0,180.0,15.655,7,0.391,5.41316,5.55536,97.477,7,1721.16
1,0,45,180.0,210.0,18.501,7,0.391,4.99341,5.14722,89.919,7,1725.07
1,0,45,210.0,240.0,21.348,7,0.391,4.01541,3.95897,72.307,7,1720.57
1,0,45,240.0,270.0,24.194,9,0.503,3.25173,3.14128,58.555,9,1733.4
1,0,45,270.0,300.0,27.04,8,0.447,2.23279,2.01089,40.207,8,1739.9
1,0,45,300.0,330.0,29.887,12,0.671,1.37743,0.89059,24.804,12,1737.54
1,0,45,330.0,360.0,32.733,11,0.615,1.18515,0.91737,21.342,10,1752.41
1,0,45,360.0,390.0,35.579,14,0.783,0.56819,0.50152,10.232,12,1742.93
1,0,45,390.0,420.0,38.426,13,0.727,0.32167,0.15125,5.792,9,1755.06
1,0,45,420.0,450.0,41.272,15,0.839,0.1524,0.0,2.744,8,1762.03
1,0,45,450.0,480.0,44.118,16,0.894,0.05038,0.0,0.907,3,1773.45
1,0,45,480.0,510.0,46.965,16,0.894,0.02193,0.0,0.395,3,1787.59
1,0,45,510.0,540.0,49.811,19,1.062,0.00329,0.0,0.059,1,1792.31
1,0,45,540.0,570.0,52.657,17,0.95,0.0,0.0,0.0,0,
2,45,90,30.0,60.0,4.27,2,0.112,2.57314,2.57314,46.336,2,1696.03
2,45,90,60.0,90.0,7.116,2,0.112,3.33072,3.33072,59.978,2,1747.85
2,45,90,90.0,120.0,9.962,5,0.28,4.06481,4.05945,73.197,5,1764.74
2,45,90,120.0,150.0,12.809,4,0.224,4.7132,4.73998,84.873,4,1778.59
2,45,90,150.0,180.0,15.655,6,0.335,5.18386,4.9724,93.348,6,1783.21
2,45,90,180.0,210.0,18.501,6,0.335,5.58407,5.58427,100.555,6,1784.91
2,45,90,210.0,240.0,21.348,8,0.447,4.91614,4.60985,88.527,8,1780.49
2,45,90,240.0,270.0,24.194,9,0.503,4.4091,4.24997,79.397,9,1785.52
2,45,90,270.0,300.0,27.04,9,0.503,3.9836,3.97458,71.735,9,1780.71
2,45,90,300.0,330.0,29.887,12,0.671,3.6854,3.61039,66.365,12,1780.81
2,45,90,330.0,360.0,32.733,10,0.559,3.43898,3.45764,61.927,10,1782.16
