galaxy,weighting,level_Msun_pc2,theta_deg,R_kpc,filled
J0008-34,r05_t00,0.01,0.0,1.9862,1
J0008-34,r05_t00,0.01,5.0,2.0178,1
J0008-34,r05_t00,0.01,10.0,2.0215,1
J0008-34,r05_t00,0.01,15.0,1.8927,1
J0008-34,r05_t00,0.01,20.0,1.7838,1
J0008-34,r05_t00,0.01,25.0,2.0783,1
J0008-34,r05_t00,0.01,30.0,2.0604,1
J0008-34,r05_t00,0.01,35.0,1.7738,1
J0008-34,r05_t00,0.01,40.0,1.8952,1
J0008-34,r05_t00,0.01,45.0,2.0502,1
J0008-34,r05_t00,0.01,50.0,2.1049,1
J0008-34,r05_t00,0.01,55.0,2.0725,1
J0008-34,r05_t00,0.01,60.0,2.1458,1
J0008-34,r05_t00,0.01,65.0,2.1177,1
J0008-34,r05_t00,0.01,70.0,2.2494,1
J0008-34,r05_t00,0.01,75.0,2.2894,1
J0008-34,r05_t00,0.01,80.0,2.3465,1
J0008-34,r05_t00,0.01,85.0,2.4369,1
J0008-34,r05_t00,0.01,90.0,2.2408,1
J0008-34,r05_t00,0.01,95.0,2.1215,1
J0008-34,r05_t00,0.01,100.0,2.0606,1
J0008-34,r05_t00,0.01,105.0,2.1906,1
J0008-34,r05_t00,0.01,110.0,2.0805,1
J0008-34,r05_t00,0.01,115.0,2.1664,1
J0008-34,r05_t00,0.01,120.0,2.1275,1
J0008-34,r05_t00,0.01,125.0,2.0011,1
J0008-34,r05_t00,0.01,130.0,1.9662,1
J0008-34,r05_t00,0.01,135.0,1.9171,1
J0008-34,r05_t00,0.01,140.0,1.8298,1
J0008-34,r05_t00,0.01,145.0,2.1601,1
J0008-34,r05_t00,0.01,150.0,2.1576,1
J0008-34,r05_t00,0.01,155.0,1.5591,1
J0008-34,r05_t00,0.01,160.0,1.5392,1
J0008-34,r05_t00,0.01,165.0,1.5856,1
J0008-34,r05_t00,0.01,170.0,1.6253,1
J0008-34,r05_t00,0.01,175.0,1.6714,1
J0008-34,r05_t00,0.01,180.0,1.6173,1
J0008-34,r05_t00,0.01,185.0,1.6368,1
J0008-34,r05_t00,0.01,190.0,1.8764,1
J0008-34,r05_t00,0.01,195.0,1.8039,1
J0008-34,r05_t00,0.01,200.0,1.9756,1
J0008-34,r05_t00,0.01,205.0,2.0052,1
J0008-34,r05_t00,0.01,210.0,2.0528,1
J0008-34,r05_t00,0.01,215.0,2.0722,1
J0008-34,r05_t00,0.01,220.0,2.1685,1
J0008-34,r05_t00,0.01,225.0,2.2065,1
J0008-34,r05_t00,0.01,230.0,2.0942,1
