galaxy,weighting,dr,distance_mpc,inclination_deg,log_mhi,log_mstar_wise,common_name,pix_arcsec,bmaj_arcsec,bmin_arcsec,kpc_per_arcsec,mask_npix,sigma_rms_offmask_Msun_pc2,frac_nonzero_offmask,sigma_max_Msun_pc2,pa_pix_deg,pub_log_NHI_3sig_16kms,pub_Sigma_3sig_Msun_pc2,pub_noise_mJy_beam,nth_filled_R0p01,R0p01_kpc,nbeam_R0p01,A345_R0p01,A1_R0p01,A2_R0p01,A3_R0p01,A4_R0p01,A5_R0p01,A6_R0p01,A7_R0p01,A8_R0p01,nth_filled_R0p03,R0p03_kpc,nbeam_R0p03,A345_R0p03,A1_R0p03,A2_R0p03,A3_R0p03,A4_R0p03,A5_R0p03,A6_R0p03,A7_R0p03,A8_R0p03,nth_filled_R0p1,R0p1_kpc,nbeam_R0p1,A345_R0p1,A1_R0p1,A2_R0p1,A3_R0p1,A4_R0p1,A5_R0p1,A6_R0p1,A7_R0p1,A8_R0p1,nth_filled_R0p3,R0p3_kpc,nbeam_R0p3,A345_R0p3,A1_R0p3,A2_R0p3,A3_R0p3,A4_R0p3,A5_R0p3,A6_R0p3,A7_R0p3,A8_R0p3,nth_filled_R1,R1_kpc,nbeam_R1,A345_R1,A1_R1,A2_R1,A3_R1,A4_R1,A5_R1,A6_R1,A7_R1,A8_R1,nth_filled_R3,R3_kpc,nbeam_R3,A345_R3,A1_R3,A2_R3,A3_R3,A4_R3,A5_R3,A6_R3,A7_R3,A8_R3,R10_kpc,A345_R10,nbeam_R10,nth_filled_R10,A1_R10,A2_R10,A3_R10,A4_R10,A5_R10,A6_R10,A7_R10,A8_R10,eligible_L0p1,eligible_L0p3,eligible_L1
J0008-34,r05_t00,DR3,3.3,35.0,7.11,6.13,ESO349-G031,3.0,13.624,11.167,0.016,4331,0.0,0.0,8.407732731800374,34.25,19.29,0.12778,0.171,72,1.9663,9.021,0.063707,0.045207,0.081805,0.043536,0.015767,0.043757,0.01863,0.006125,0.011571,72,1.9425,8.912,0.069122,0.045706,0.083559,0.048292,0.004597,0.049239,0.013424,0.00847,0.01526,72,1.8524,8.498,0.067684,0.044687,0.091178,0.051391,0.022438,0.037903,0.010579,0.021756,0.015034,72,1.6082,7.378,0.075832,0.059518,0.109416,0.046708,0.034461,0.048798,0.029526,0.020547,0.02495,72,1.1213,5.144,0.120922,0.016473,0.126021,0.116715,0.028192,0.014314,0.027968,0.021639,0.016499,58,0.6139,2.817,0.124655,0.117723,0.069274,0.078903,0.081773,0.051248,0.044444,0.040897,0.048263,,,,,,,,,,,,,1,1,1
J0008-34,r10_t00,DR3,3.3,35.0,7.11,6.13,ESO349-G031,5.0,27.1,19.835,0.016,2245,0.0,0.0,6.6026772449625275,36.5,18.69,0.0321,0.150,72,2.2903,5.282,0.049029,0.043145,0.081979,0.023807,0.029048,0.031516,0.028873,0.039892,0.021557,72,2.1914,5.054,0.059877,0.042621,0.072905,0.029938,0.04005,0.03294,0.016061,0.02708,0.016549,72,1.9142,4.415,0.072974,0.044193,0.07445,0.051726,0.03718,0.035599,0.011164,0.014515,0.003288,72,1.5963,3.682,0.058057,0.062323,0.107065,0.045804,0.021843,0.028205,0.023844,0.010305,0.014167,72,1.1192,2.581,0.093398,0.019595,0.117648,0.089553,0.024702,0.009657,0.0269,0.01469,0.016594,56,0.5593,1.29,0.12725,0.11096,0.082581,0.044957,0.097959,0.067643,0.014591,0.025921,0.015179,,,,,,,,,,,,,1,1,1
J0008-34,r10_t90,DR3,3.3,35.0,7.11,6.13,ESO349-G031,30.0,101.355,96.383,0.016,260,0.0,0.0,2.240213713015542,18.7,17.77,0.00386,0.318,66,2.801,1.727,0.065735,0.018288,0.129508,0.0474,0.010704,0.044268,0.024863,0.031517,0.010495,58,2.3747,1.464,0.036163,0.01289,0.115264,0.0233,0.025537,0.010618,0.031681,0.01834,0.014473,43,,,,,,,,,,,,34,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0031-22,r05_t00,DR3,7.2,57.0,7.95,6.84,ESO473-G024,3.0,13.613,9.773,0.03491,4083,0.0,0.0,10.573592765143168,89.61,19.29,0.08496,0.171,72,5.0439,10.615,0.030852,0.050055,0.145295,0.020791,0.019402,0.011964,0.005439,0.017332,0.006865,72,4.9907,10.503,0.02771,0.051519,0.143312,0.021171,0.014698,0.01018,0.002231,0.023008,0.009797,72,4.8347,10.174,0.025092,0.047275,0.13117,0.020965,0.008962,0.010475,0.004738,0.025537,0.009879,72,4.2585,8.962,0.048951,0.038462,0.124282,0.039784,0.011738,0.025993,0.017881,0.01658,0.013111,72,2.6743,5.628,0.063702,0.030709,0.071478,0.04768,0.036474,0.021314,0.031429,0.046816,0.005669,71,1.5109,3.18,0.083425,0.117439,0.252918,0.051817,0.058072,0.030042,0.040243,0.021516,0.038544,,,,5,,,,,,,,,1,1,1
J0031-22,r10_t00,DR3,7.2,57.0,7.95,6.84,ESO473-G024,5.0,26.47,18.883,0.03491,1965,0.0,0.0,7.792768121751001,88.36,18.69,0.02134,0.150,72,5.6401,6.104,0.035455,0.048928,0.170686,0.023284,0.016408,0.021112,0.01174,0.007892,6e-05,72,5.375,5.817,0.036952,0.048686,0.152033,0.027955,0.016307,0.017835,0.012402,0.005034,0.006491,72,4.8492,5.248,0.033133,0.038933,0.129294,0.023103,0.00699,0.022697,0.003995,0.01432,0.009361,72,4.1044,4.442,0.034781,0.04093,0.107428,0.030132,0.009159,0.01476,0.011358,0.006872,0.003626,72,2.6078,2.822,0.061747,0.062808,0.121591,0.053144,0.029682,0.010365,0.037282,0.006649,0.007628,62,1.4179,1.535,0.068545,0.112569,0.270049,0.028936,0.047546,0.040006,0.020239,0.031884,0.016369,,,,,,,,,,,,,1,1,1
J0031-22,r10_t90,DR3,7.2,57.0,7.95,6.84,ESO473-G024,30.0,99.731,95.826,0.03491,198,0.0,0.0,2.1396270697652437,94.13,17.77,0.00257,0.318,61,6.9618,2.0,0.108783,0.028877,0.270738,0.068573,0.083587,0.012036,0.004123,0.087665,0.055864,56,5.9741,1.716,0.076607,0.021921,0.224174,0.026556,0.071282,0.009074,0.038083,0.088103,0.012601,48,,,,,,,,,,,,38,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0049-20,r05_t00,DR3,3.4,66.0,6.99,6.50,UGCA015,3.0,14.165,9.078,0.01648,94920,0.0,0.0,19.80554848870034,72.09,19.29,0.06345,0.171,72,16.114,69.012,0.424157,0.241376,0.228822,0.259436,0.258085,0.214462,0.223788,0.280868,0.226449,72,16.0502,68.739,0.428539,0.24268,0.225796,0.260757,0.264097,0.214253,0.226195,0.28063,0.223347,72,15.8633,67.939,0.434354,0.235349,0.224831,0.262371,0.26806,0.219018,0.230265,0.279919,0.218586,72,15.4703,66.255,0.435922,0.224682,0.220527,0.261815,0.270119,0.220265,0.242172,0.284104,0.21858,72,13.1606,56.364,0.545477,0.192106,0.147859,0.30733,0.336324,0.299966,0.289058,0.313794,0.259327,72,9.6663,41.398,0.398131,0.15413,0.090916,0.211601,0.252201,0.223894,0.199829,0.19974,0.217733,5.728,0.205312,24.531,66,0.164205,0.360719,0.107742,0.166825,0.052095,0.072465,0.084833,0.064212,1,1,1
J0049-20,r10_t00,DR3,3.4,66.0,6.99,6.50,UGCA015,5.0,26.312,18.106,0.01648,43923,0.0,0.0,16.92311974161651,72.15,18.69,0.01594,0.150,72,17.4575,40.251,0.379872,0.220176,0.25839,0.242891,0.2179,0.19449,0.213428,0.255505,0.229465,72,17.2725,39.824,0.390634,0.216822,0.255061,0.250796,0.221163,0.201948,0.216808,0.26109,0.22536,72,16.5491,38.157,0.394436,0.206252,0.239323,0.245302,0.232289,0.203588,0.219928,0.272785,0.221637,72,15.0035,34.593,0.461704,0.18538,0.191393,0.27613,0.272315,0.250534,0.26485,0.297105,0.247402,72,12.3196,28.405,0.581469,0.252037,0.131694,0.327477,0.354372,0.324476,0.302355,0.317348,0.303391,72,9.4913,21.884,0.394722,0.168415,0.097389,0.208646,0.25431,0.218171,0.2073,0.205683,0.210354,,,,45,,,,,,,,,1,1,1
J0049-20,r10_t90,DR3,3.4,66.0,6.99,6.50,UGCA015,30.0,96.81,93.776,0.01648,1510,0.0,0.0,9.880810000664743,72.01,17.77,0.00192,0.318,72,17.272,10.823,0.383796,0.218341,0.263618,0.240468,0.222838,0.199544,0.203131,0.24057,0.21645,72,16.7764,10.513,0.407353,0.210369,0.250353,0.251789,0.239388,0.21268,0.212967,0.242667,0.210986,72,15.8297,9.92,0.429695,0.202973,0.21128,0.265702,0.247781,0.229445,0.231211,0.262569,0.221154,72,14.2926,8.956,0.474041,0.217892,0.166805,0.289702,0.276498,0.253647,0.276446,0.28187,0.250268,72,10.2313,6.411,0.066207,0.065948,0.255577,0.031567,0.054441,0.020567,0.007827,0.003465,0.009981,72,8.0813,5.064,0.084316,0.075332,0.306919,0.020357,0.078219,0.024012,0.017124,0.030365,0.027734,,,,,,,,,,,,,1,1,1
J0052-31,r05_t00,DR3,21.5,45.0,10.35,10.43,NGC0289,3.0,13.641,10.275,0.10423,91263,0.0,0.0,12.383531582817522,68.22,19.29,0.1103,0.171,72,78.1931,54.991,0.268635,0.231731,0.073886,0.117774,0.180647,0.16019,0.196417,0.194455,0.137432,72,77.9556,54.824,0.269063,0.231148,0.072657,0.118977,0.180924,0.159706,0.198479,0.197105,0.137567,72,77.3603,54.406,0.2712,0.232266,0.073023,0.117151,0.182357,0.163006,0.196736,0.194874,0.142298,72,72.0308,50.658,0.287899,0.241058,0.068206,0.074541,0.198149,0.195106,0.202775,0.240727,0.188924,72,64.4779,45.346,0.299318,0.254788,0.151313,0.081901,0.205646,0.201477,0.224709,0.299995,0.221117,72,45.0007,31.648,0.308276,0.124268,0.015611,0.015949,0.141549,0.273393,0.171535,0.314342,0.180371,,,,12,,,,,,,,,1,1,1
J0052-31,r10_t00,DR3,21.5,45.0,10.35,10.43,NGC0289,5.0,26.415,19.338,0.10423,41404,0.0,0.0,9.576320049807178,67.73,18.69,0.02771,0.150,72,84.5624,30.712,0.30471,0.19463,0.020126,0.124346,0.193681,0.199684,0.165927,0.238809,0.06939,72,83.8736,30.462,0.307169,0.197328,0.019793,0.121703,0.196673,0.202141,0.165633,0.244157,0.067983,72,80.4563,29.221,0.309319,0.200715,0.02643,0.121389,0.198783,0.20354,0.163896,0.260903,0.086867,72,68.8902,25.02,0.282568,0.24187,0.114223,0.082375,0.195173,0.186994,0.206704,0.270828,0.190116,72,60.9292,22.129,0.29393,0.200555,0.145013,0.091255,0.179929,0.213759,0.190362,0.269003,0.222957,72,39.5543,14.366,0.32415,0.11537,0.147939,0.194379,0.165923,0.199398,0.035066,0.209442,0.177437,,,,,,,,,,,,,1,1,1
J0052-31,r10_t90,DR3,21.5,45.0,10.35,10.43,NGC0289,30.0,100.523,96.389,0.10423,2385,0.0,0.0,5.56982327596611,67.77,17.77,0.00333,0.318,72,102.5694,9.789,0.330665,0.215046,0.175084,0.118093,0.06422,0.302108,0.254169,0.26596,0.184684,72,90.1931,8.608,0.309912,0.161286,0.107598,0.079304,0.168941,0.247417,0.148069,0.319979,0.165032,72,78.4078,7.483,0.363847,0.112612,0.105638,0.12016,0.255916,0.229026,0.164576,0.304415,0.125046,72,64.0105,6.109,0.311093,0.080167,0.079217,0.180427,0.185817,0.172328,0.074495,0.207801,0.089761,72,46.6623,4.453,0.193195,0.125626,0.181841,0.07622,0.146044,0.100926,0.069955,0.101992,0.098843,69,26.0004,2.481,0.232083,0.211763,0.152567,0.160186,0.130677,0.105482,0.027983,0.055373,0.024057,,,,,,,,,,,,,1,1,1
J0135-41,r05_t00,DR2,4.0,71.0,8.12,8.61,NGC0625,3.0,14.378,9.849,0.01939,27130,0.0,0.0,16.67324470294569,17.09,19.29,0.05078,0.171,72,10.5114,37.699,0.122821,0.107799,0.434432,0.092994,0.040479,0.069272,0.056159,0.025171,0.058494,72,10.3712,37.196,0.120147,0.106089,0.436096,0.089564,0.037813,0.070596,0.057035,0.030196,0.06423,72,9.1356,32.765,0.126997,0.077727,0.413397,0.100327,0.05054,0.059232,0.068056,0.007588,0.06295,72,5.8497,20.98,0.230499,0.067599,0.238024,0.175024,0.090595,0.119537,0.044822,0.067892,0.047309,72,3.0398,10.902,0.088979,0.161777,0.355785,0.071899,0.046698,0.023815,0.101296,0.081538,0.046487,72,1.3096,4.697,0.274718,0.0241,0.397887,0.172772,0.205595,0.057885,0.101288,0.059309,0.076202,,,,42,,,,,,,,,1,1,1
J0135-41,r10_t00,DR2,4.0,71.0,8.12,8.61,NGC0625,5.0,26.692,18.448,0.01939,15434,0.0,0.0,11.276987295263735,18.96,18.69,0.01276,0.150,72,12.2461,23.658,0.158431,0.118249,0.46254,0.095307,0.057823,0.112577,0.069654,0.105347,0.057964,72,10.8798,21.019,0.117784,0.067579,0.441569,0.075863,0.051148,0.074173,0.038153,0.04996,0.028285,72,8.0493,15.55,0.134986,0.081778,0.30592,0.108003,0.047295,0.065724,0.033943,0.055142,0.044832,72,5.3466,10.329,0.212102,0.044958,0.202715,0.175019,0.0563,0.105763,0.011364,0.0799,0.037395,72,2.9436,5.687,0.080259,0.145606,0.399682,0.054975,0.057291,0.011703,0.081131,0.037608,0.051634,67,1.2286,2.374,0.265558,0.022593,0.451745,0.163452,0.207946,0.023723,0.105821,0.021505,0.095384,,,,8,,,,,,,,,1,1,1
J0135-41,r10_t90,DR2,4.0,71.0,8.12,8.61,NGC0625,30.0,99.381,94.666,0.01939,971,0.0,0.0,3.2292887140812896,16.87,17.77,0.00153,0.318,72,11.6772,6.059,0.143758,0.094525,0.476603,0.083418,0.099691,0.061396,0.053998,0.032072,0.080479,70,9.4912,4.925,0.101841,0.025824,0.427923,0.076797,0.06514,0.015183,0.048649,0.026995,0.043754,68,6.896,3.578,0.111997,0.107614,0.398088,0.073387,0.047008,0.070341,0.055208,0.062355,0.048362,59,4.46,2.314,0.166589,0.023746,0.274531,0.134613,0.048616,0.085251,0.040453,0.094526,0.030665,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
J0309-41,r05_t00,DR1,10.9,59.0,8.89,8.90,ESO300-G014,3.0,14.618,9.879,0.05284,10824,0.0,0.0,8.764729520469501,75.47,19.29,0.08034,0.171,72,18.4074,23.829,0.539286,0.024397,0.583127,0.36989,0.333924,0.206169,0.383983,0.399514,0.468748,72,18.2648,23.644,0.543365,0.022386,0.591039,0.371568,0.336118,0.210256,0.38919,0.403738,0.469021,72,17.9001,23.172,0.551171,0.020319,0.613893,0.377638,0.341319,0.211377,0.396079,0.411474,0.481222,72,16.8677,21.836,0.57544,0.041511,0.667116,0.384101,0.357779,0.235779,0.439301,0.426205,0.508562,72,14.0518,18.19,0.58239,0.197271,0.73644,0.413388,0.357673,0.200893,0.444685,0.455657,0.655103,49,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
J0309-41,r10_t00,DR1,10.9,59.0,8.89,8.90,ESO300-G014,5.0,26.082,18.606,0.05284,5265,0.0,0.0,6.103373691322116,75.18,18.69,0.02018,0.150,72,21.8682,15.866,0.510349,0.081536,0.596753,0.437545,0.233421,0.12052,0.499977,0.36041,0.615741,72,20.4448,14.834,0.464523,0.127841,0.587834,0.432676,0.15926,0.05665,0.456846,0.455347,0.578731,72,17.7866,12.905,0.550862,0.011965,0.625599,0.376086,0.341207,0.213509,0.407686,0.410174,0.484224,72,15.6514,11.356,0.533859,0.125141,0.649937,0.381172,0.327974,0.179292,0.404171,0.402428,0.576167,71,13.794,10.008,0.593817,0.16022,0.762719,0.428241,0.361949,0.195504,0.461804,0.463628,0.677964,34,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
J0309-41,r10_t90,DR1,10.9,59.0,8.89,8.90,ESO300-G014,30.0,92.266,89.572,0.05284,568,0.0,0.0,3.3629462514700816,74.96,17.77,0.00243,0.318,68,27.8314,5.708,0.598102,0.292257,0.624613,0.528456,0.191298,0.204608,0.348211,0.261583,0.520733,65,26.7923,5.495,0.615872,0.336441,0.693343,0.546836,0.183642,0.215742,0.366911,0.261563,0.520984,58,22.6311,4.642,0.487005,0.204396,0.609161,0.420914,0.215296,0.116847,0.494262,0.335035,0.563434,50,,,,,,,,,,,,33,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
J0310-39,r05_t00,DR3,8.0,36.0,7.80,7.22,ESO300-G016,3.0,13.766,10.706,0.03879,2107,0.0,0.0,15.436421275892984,146.93,19.29,0.1262,0.171,72,5.0162,9.395,1.263013,0.550718,0.682183,0.737762,0.744343,0.704885,0.690119,0.715392,0.685731,72,4.9733,9.314,1.275616,0.559449,0.685409,0.746387,0.752476,0.709848,0.696891,0.718533,0.693001,72,4.8475,9.079,1.312819,0.570861,0.701458,0.77189,0.776386,0.724503,0.723648,0.7319,0.712359,72,4.4854,8.401,1.433758,0.62913,0.752588,0.862013,0.824222,0.795773,0.800516,0.787328,0.761022,71,2.9269,5.482,1.123581,0.390715,0.539695,0.667262,0.642847,0.635565,0.612583,0.654362,0.628726,67,1.2991,2.433,0.204689,0.376047,0.192296,0.128894,0.131457,0.089459,0.040159,0.078323,0.035352,,,,25,,,,,,,,,1,1,1
J0310-39,r10_t00,DR3,8.0,36.0,7.80,7.22,ESO300-G016,5.0,27.01,20.058,0.03879,1381,0.0,0.0,10.304854047578452,144.07,18.69,0.0317,0.150,72,6.7914,6.483,1.41158,0.61286,0.801121,0.844659,0.817515,0.781522,0.76841,0.750405,0.701331,72,6.5619,6.264,1.46164,0.657564,0.826242,0.872667,0.841668,0.816358,0.78516,0.794512,0.719225,72,6.0143,5.741,1.608146,0.73594,0.906884,0.971453,0.930527,0.881211,0.872492,0.842505,0.802719,72,5.434,5.187,1.789235,0.825515,0.9954,1.086133,1.019555,0.991051,0.97358,0.936265,0.891707,65,2.0319,1.94,0.160709,0.432584,0.026732,0.113121,0.03608,0.108302,0.062061,0.088644,0.052699,50,,,,,,,,,,,,,,,3,,,,,,,,,1,1,0
J0310-39,r10_t90,DR3,8.0,36.0,7.80,7.22,ESO300-G016,30.0,100.975,95.4,0.03879,219,0.0,0.0,2.321265865532032,146.85,17.77,0.00381,0.318,62,6.9895,1.785,0.915452,0.468671,0.425581,0.549367,0.544509,0.48965,0.492454,0.438516,0.479732,53,,,,,,,,,,,,40,,,,,,,,,,,,28,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0320-52,r05_t00,DR3,5.6,74.0,8.05,8.23,NGC1311,3.0,13.432,10.879,0.02715,5994,0.0,0.0,13.561529168466002,130.14,19.29,0.043,0.171,72,6.6459,18.225,0.14923,0.175798,0.533117,0.09356,0.098114,0.062367,0.066996,0.06547,0.067616,72,6.396,17.54,0.162375,0.171189,0.530136,0.112527,0.101689,0.057988,0.058865,0.055402,0.061802,72,5.5293,15.163,0.154615,0.134095,0.521773,0.125015,0.076363,0.049455,0.070861,0.036918,0.046618,72,3.7437,10.266,0.10309,0.017788,0.384631,0.081217,0.056292,0.029369,0.004998,0.019563,0.021248,72,2.636,7.229,0.124449,0.070716,0.21905,0.085179,0.055991,0.071394,0.010382,0.060001,0.014709,72,1.7137,4.7,0.121529,0.056301,0.071856,0.040494,0.089854,0.071104,0.0373,0.053866,0.044918,,,,24,,,,,,,,,1,1,1
J0320-52,r10_t00,DR3,5.6,74.0,8.05,8.23,NGC1311,5.0,26.709,19.735,0.02715,3373,0.0,0.0,9.176478930130372,130.81,18.69,0.0108,0.150,72,7.681,10.593,0.187064,0.156878,0.581959,0.079593,0.157428,0.062243,0.001974,0.037057,0.039056,72,6.7693,9.335,0.148108,0.158245,0.511128,0.090431,0.103199,0.055749,0.031172,0.05663,0.065357,72,5.3672,7.402,0.123875,0.096173,0.495793,0.100022,0.064531,0.034301,0.058444,0.024362,0.05491,70,3.7493,5.17,0.079191,0.025989,0.399588,0.047852,0.056499,0.028095,0.015609,0.021569,0.01934,70,2.6849,3.703,0.084164,0.084503,0.308097,0.034905,0.035428,0.067897,0.005416,0.016515,0.021339,69,1.6814,2.319,0.056464,0.096247,0.210082,0.030422,0.009347,0.046641,0.046633,0.079137,0.050631,,,,,,,,,,,,,1,1,1
J0320-52,r10_t90,DR3,5.6,74.0,8.05,8.23,NGC1311,30.0,101.639,97.347,0.02715,270,0.0,0.0,2.263644360900087,132.19,17.77,0.0013,0.318,60,8.3374,3.021,0.31061,0.024001,0.518837,0.104911,0.284012,0.06935,0.07565,0.019874,0.036178,53,,,,,,,,,,,,43,,,,,,,,,,,,30,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0331-51,r05_t00,DR3,12.8,62.0,8.90,9.63,IC1954,3.0,12.804,10.56,0.06206,10531,0.0,0.0,8.560471915303099,139.28,19.29,0.07323,0.171,22,,,,,,,,,,,,22,,,,,,,,,,,,22,,,,,,,,,,,,16,,,,,,,,,,,,13,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0331-51,r10_t00,DR3,12.8,62.0,8.90,9.63,IC1954,5.0,25.83,19.21,0.06206,6201,0.0,0.0,7.1218000746183865,139.15,18.69,0.01839,0.150,29,,,,,,,,,,,,28,,,,,,,,,,,,22,,,,,,,,,,,,16,,,,,,,,,,,,12,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0331-51,r10_t90,DR3,12.8,62.0,8.90,9.63,IC1954,30.0,101.965,98.027,0.06206,670,0.0,0.0,3.874187680689308,139.09,17.77,0.00221,0.318,31,,,,,,,,,,,,28,,,,,,,,,,,,23,,,,,,,,,,,,15,,,,,,,,,,,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0335-24,r05_t00,DR2,22.7,46.0,9.97,10.63,NGC1371,3.0,13.689,9.623,0.11005,48025,0.0,0.0,20.467785130668688,140.36,19.29,0.10836,0.171,33,,,,,,,,,,,,33,,,,,,,,,,,,32,,,,,,,,,,,,30,,,,,,,,,,,,27,,,,,,,,,,,,20,,,,,,,,,,,,,,,3,,,,,,,,,0,0,0
J0335-24,r10_t00,DR2,22.7,46.0,9.97,10.63,NGC1371,5.0,27.097,18.309,0.11005,25522,0.0,0.0,17.486257938488205,140.42,18.69,0.02722,0.150,33,,,,,,,,,,,,33,,,,,,,,,,,,29,,,,,,,,,,,,28,,,,,,,,,,,,21,,,,,,,,,,,,17,,,,,,,,,,,,,,,2,,,,,,,,,0,0,0
J0335-24,r10_t90,DR2,22.7,46.0,9.97,10.63,NGC1371,30.0,101.473,96.446,0.11005,1652,0.0,0.0,8.241315060341352,140.48,17.77,0.00327,0.318,36,,,,,,,,,,,,31,,,,,,,,,,,,28,,,,,,,,,,,,24,,,,,,,,,,,,19,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0351-38,r05_t00,DR3,16.8,28.0,8.90,8.19,ESO302-G014,3.0,14.013,10.419,0.08145,6332,0.0,0.0,12.283792546445023,108.96,19.29,0.13773,0.171,72,13.3931,11.735,0.615712,0.344761,0.095373,0.340822,0.412649,0.304406,0.184319,0.17462,0.21194,72,13.3535,11.7,0.617595,0.345106,0.096513,0.342599,0.413993,0.304399,0.18405,0.175513,0.212696,72,12.9619,11.357,0.629219,0.342554,0.093646,0.347691,0.425834,0.306092,0.189854,0.192347,0.231948,72,11.666,10.221,0.657056,0.360794,0.183501,0.390239,0.42821,0.309955,0.224229,0.23276,0.252451,72,7.2838,6.382,0.112599,0.062974,0.049519,0.07784,0.075708,0.029797,0.001544,0.032551,0.036141,72,5.7188,5.011,0.031367,0.162181,0.095825,0.017998,0.013804,0.021666,0.008679,0.008324,0.012951,,,,17,,,,,,,,,1,1,1
J0351-38,r10_t00,DR3,16.8,28.0,8.90,8.19,ESO302-G014,5.0,26.903,19.452,0.08145,3556,0.0,0.0,9.537161260494337,109.39,18.69,0.0346,0.150,72,15.1808,6.928,0.597101,0.34763,0.061426,0.317959,0.387592,0.324353,0.221594,0.137321,0.163085,72,14.3239,6.537,0.562752,0.321912,0.05359,0.292954,0.379775,0.294344,0.201248,0.165811,0.174027,72,13.241,6.043,0.603323,0.319802,0.088286,0.338601,0.407553,0.288528,0.18469,0.193008,0.224171,72,9.1308,4.167,0.161648,0.059326,0.102083,0.130421,0.093045,0.021517,0.080407,0.037344,0.040642,72,7.1924,3.282,0.073405,0.124673,0.070403,0.055934,0.041376,0.023406,0.013979,0.020256,0.004424,72,5.6708,2.588,0.022166,0.2123,0.105186,0.015349,0.011601,0.011008,0.014842,0.017715,0.011838,,,,,,,,,,,,,1,1,1
J0351-38,r10_t90,DR3,16.8,28.0,8.90,8.19,ESO302-G014,30.0,101.176,96.493,0.08145,335,0.0,0.0,4.814880972204949,110.79,17.77,0.00416,0.318,70,18.8668,2.289,0.489194,0.31423,0.122815,0.274119,0.325561,0.241205,0.183447,0.137977,0.13972,64,15.5527,1.887,0.48073,0.264841,0.087868,0.280475,0.297621,0.252699,0.179201,0.166366,0.167268,62,11.5858,1.406,0.219935,0.066837,0.054666,0.153361,0.134172,0.082762,0.042772,0.072336,0.075206,50,,,,,,,,,,,,35,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0419-54,r05_t00,DR1,17.7,37.0,10.08,10.68,NGC1566,3.0,12.703,9.978,0.08581,64760,0.0,0.0,14.635155396209283,177.34,19.29,0.12458,0.171,72,52.7689,48.409,0.377917,0.108768,0.179089,0.160246,0.311173,0.142526,0.205281,0.129008,0.262206,72,52.6949,48.341,0.378456,0.108792,0.179479,0.160463,0.311484,0.143032,0.205162,0.12894,0.262597,72,51.9889,47.694,0.375748,0.100083,0.181178,0.149789,0.31251,0.145214,0.206545,0.12793,0.276869,72,51.1132,46.89,0.382674,0.106393,0.189765,0.15005,0.32127,0.143909,0.212234,0.134074,0.280661,72,44.2061,40.554,0.485653,0.113359,0.228696,0.154814,0.40359,0.221372,0.309017,0.125582,0.341121,72,32.2932,29.625,0.395777,0.237248,0.147393,0.211406,0.236399,0.236774,0.209388,0.199381,0.177667,10.5189,0.388121,9.65,60,0.438504,0.598605,0.306147,0.14632,0.18842,0.114008,0.100813,0.092074,1,1,1
