rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
A059,19148,9747,4791,4610,True,2.544593,4.683210,1.383657,1.153343,,8.407018
A060,16271,7860,4438,3973,True,2.720520,4.292138,1.759329,1.320566,,
A062,43415,20425,13016,9974,True,2.849762,4.873126,1.637115,1.129464,0.428867,11.995251
A063,9812,4900,2395,2517,True,2.493459,3.979707,1.596076,1.320788,,
A064,12797,6456,3099,3242,True,2.718115,3.958890,1.357298,1.186576,,
A065,71857,30163,27089,14605,True,2.633186,4.274251,1.724570,1.182115,,
A066,61925,26320,22455,13150,True,2.873357,5.401190,1.811975,1.284195,,
A077,65561,27668,24264,13629,True,2.843793,5.082558,1.736921,1.389674,,1.487391
A078,80317,33822,29909,16586,True,2.966561,5.315452,1.732445,1.224953,,5.717564
A080,4593,2263,1156,1174,True,2.734535,5.421225,1.068563,1.265769,,
A083,53893,24630,16972,12291,True,2.994385,6.323060,1.634252,1.281105,,4.179752
A084,37650,17477,11335,8838,True,2.709640,4.469744,1.700638,1.170870,,
A182,11294,5461,2828,3005,True,3.566727,6.797061,1.826061,1.329916,,
A183,8241,3653,2070,2518,True,3.418888,6.506115,1.616109,1.480137,,
A185,7219,3456,1811,1952,True,2.843623,6.365523,1.723903,1.155198,,
A186,7299,3239,1845,2215,True,2.373449,4.100733,1.313544,1.329610,,
A187,8724,4411,2174,2139,True,3.365582,6.189643,1.684467,0.389653,,
A188,10648,5260,2665,2723,True,2.974375,7.473062,1.503961,1.045589,,
A192,25067,12441,6394,6232,True,2.667467,4.902080,1.498850,1.065208,,
A200,10294,5202,2479,2613,True,2.180912,3.745299,0.898624,1.499593,,
A201,10796,5442,2663,2691,True,2.390292,4.094394,1.212398,0.838746,,
A210,9173,4841,2022,2310,True,2.649308,4.098448,1.422304,1.440080,,
A211,9066,3983,2275,2808,True,2.243421,3.513527,1.314981,1.023197,,
A217,11516,5315,3046,3155,True,1.988295,3.737386,1.227239,1.477536,,
A226,6489,3271,1596,1622,True,2.184926,2.311095,1.144815,1.037361,,
A227,15153,6801,4112,4240,True,2.970460,5.375854,1.505652,1.134079,,3.754416
A229,19968,9500,5203,5265,True,2.985754,4.747888,1.394052,1.285784,,0.082531
A230,15022,7519,3795,3708,True,3.192033,6.548396,1.543159,0.908528,,
A234,7767,3040,2270,2457,True,2.245989,2.874983,1.421817,1.281531,,4.138324
A235,10663,5265,2565,2833,True,2.830924,10.916105,1.500270,1.112964,,
A239,21651,10640,5530,5481,True,3.343539,6.640750,1.702789,1.320618,,
A241,5152,2529,1346,1277,True,2.785325,4.500280,1.513093,1.136884,,
A242,13960,6896,3541,3523,True,3.259321,6.655792,1.498305,1.011597,,
A243,15681,7838,3897,3946,True,2.950058,5.439926,1.429793,1.340761,,
A244,16657,8161,4240,4256,True,2.544807,4.100486,1.462040,0.904538,,
A245,11480,5656,2864,2960,True,2.693343,4.622587,1.399072,0.772394,,
A247,11020,5242,2748,3030,True,2.514884,3.482074,1.242559,1.206485,,
A248,15760,7778,3904,4078,True,2.685793,4.453442,1.678990,1.031364,,
A249,18916,8558,4787,5571,True,2.583627,5.371591,1.590338,1.233887,,
A250,17388,8299,4389,4700,True,2.700439,4.544146,1.746775,1.387378,,
A251,6611,3377,1630,1604,True,3.332083,5.367996,1.511857,1.233567,,
A252,13120,6200,3228,3692,True,2.586130,4.205226,1.466078,1.676817,,
A253,6994,1885,1763,3346,True,2.972253,8.232499,3.193383,1.363463,,
A256,16212,7748,4036,4428,True,2.961281,4.799883,1.462946,1.103698,,
A257,12685,6260,3188,3237,True,2.895458,5.201446,1.433622,1.299932,,
A258,9286,4469,2334,2483,True,2.678283,4.260536,1.437591,1.344700,,
A259,13272,6299,3275,3698,True,2.739056,5.432352,1.273758,1.226249,,
A264,8418,4083,2161,2174,True,2.994728,5.326252,1.448860,1.197694,,
A266,8833,4284,2177,2372,True,2.666283,3.695819,1.430077,0.945413,1.699626,
A267,8846,4314,2271,2261,True,2.436801,4.578692,1.119768,1.191370,,
A268,6948,3473,1757,1718,True,2.584839,3.857311,1.550113,1.239379,,
A269,9811,4849,2486,2476,True,3.003073,5.442384,1.258176,1.107453,,
A270,6265,3012,1591,1662,True,2.774732,4.910414,1.341748,0.750856,,
A271,6965,3459,1663,1843,True,2.540444,4.495330,1.303465,0.849678,,
A272,5691,2824,1406,1461,True,2.037101,4.192328,1.017683,1.034093,,
A274,7377,3572,1821,1984,True,2.860577,6.320312,1.600872,1.025028,,
A275,7933,3940,1931,2062,True,2.873364,5.042575,1.128573,1.061326,,
A293,13071,6471,3226,3374,True,2.972081,6.107685,1.477531,1.046714,,
A295,7823,3965,1898,1960,True,2.888895,3.914575,1.739003,0.964038,,
A297,6108,2981,1520,1607,True,2.737244,4.400522,1.265280,1.361115,,
A299,7639,4028,1795,1816,True,3.172460,4.909761,1.478582,1.385129,,
A308,8926,4404,2250,2272,True,2.511343,4.885134,1.475872,1.031398,,
A309,13904,6868,3527,3509,True,3.047986,4.992931,1.555938,1.217915,,
A310,7184,3313,1920,1951,True,2.641721,4.474387,1.417993,1.132202,1.804980,
A312,5559,2815,1375,1369,True,2.649618,5.529096,0.975494,0.987727,,
A313,7351,3577,1884,1890,True,2.599521,4.209474,1.378129,1.396793,,
A314,9640,4869,2340,2431,True,2.553532,4.024318,1.284692,1.104609,,
A315,7486,3678,1895,1913,True,2.564079,4.001511,1.407184,0.953675,,
