n,E_low_bits,E_mid_bits,E_high_bits,E_all_bits,q_low,q_mid,q_high,q_all,E_ctrlshuffle_all_bits,E_ctrlmismatch_all_bits
1,0.9541623871505558,0.7237467397394819,0.5749560475715249,0.828941620248453,1.0,1.0,1.0,1.0,0.9989497580823412,0.9983804748064697
2,0.9297547057225745,0.6601799279412984,0.5394827507692116,0.7728609834889282,0.7910502460053968,0.5280030468389905,0.4360911062722679,0.6343987932379206,0.9990056436635152,0.9982559513171926
3,0.9120829252976074,0.6207124150741847,0.5180632162535768,0.7444375326561004,0.6397653243573141,0.23494845915156845,0.09559086801736325,0.4491004705854133,0.9990725112436846,0.9981826800311058
4,0.898598161656986,0.6073478532792104,0.5150659409833029,0.7274121482188403,0.5243246974506954,0.13571377568833087,0.047944036901644047,0.3381084873356254,0.9991193077339608,0.9981530817601789
5,0.8880227606980978,0.5988206292901603,0.5132089777460022,0.7160812582283711,0.43379059918846896,0.07239734329383876,0.01842442132503195,0.264240084735858,0.9991818288179137,0.9981402021276035
6,0.8796203524507656,0.5954059589289752,0.5129324349912171,0.7079587435102727,0.36185909920463416,0.047042697356182175,0.014028299932979873,0.2112877404960223,0.999240948291256,0.998132860914335
7,0.8727465113840553,0.5931552882144873,0.5127136399567317,0.701891806495847,0.3030133868773446,0.030330993720962738,0.010550177599514047,0.17173613013655517,0.999302255760552,0.9981484117723688
8,0.8670855325324539,0.5922058833741984,0.5126243120817523,0.6971722869987479,0.2545507689961261,0.023281463010576438,0.009130157818454545,0.14096861173487518,0.9993510365999005,0.9981447445731901
9,0.8622190633208484,0.5915117837523535,0.5125880874158427,0.6933273303912317,0.21288980469733984,0.01812762726778092,0.008554304624076648,0.11590254870703359,0.9994052215943532,0.9981758124284058
10,0.8581149191800347,0.5912018715283083,0.5125413526395605,0.6901801774754293,0.17775496769482552,0.015826463793339306,0.007811375199196693,0.09538561148294328,0.9994511886510745,0.9982028788796219
11,0.8546577848458354,0.5908710753004348,0.5125321879770807,0.6876089092638171,0.14815906483167615,0.013370232196116239,0.007665687170560048,0.07862298510433482,0.999525774343056,0.9982147487273363
12,0.8517000274720449,0.5906877417392625,0.5124690535581552,0.6854092551261849,0.12283823796605055,0.012008941927851628,0.006662057298467545,0.06428298731461714,0.9995595852110356,0.9982457343689768
13,0.8490577451426268,0.590442848977971,0.5123547816217071,0.6835217249239168,0.10021813599752606,0.010190561645578038,0.004845508878238301,0.0519777896630967,0.9996179016909365,0.9982553549343257
14,0.8466144431102899,0.5901967592558244,0.5122849934751807,0.6818338854609826,0.07930146842720816,0.008363293677094843,0.0037361065939706837,0.04097441701746381,0.999692260588499,0.9982922298036212
15,0.8445294815595655,0.5900449577928426,0.5122246220384561,0.6803952345528091,0.061452489023018565,0.007236135872795033,0.0027763990628134243,0.03159555581813499,0.9997345581776597,0.9983275514915113
16,0.8427090205490659,0.589905047027926,0.5122019387409371,0.6791392286318891,0.04586785098916671,0.006197269003638218,0.0024158091441118354,0.02340739486058875,0.9997843964404539,0.9983677171078147
17,0.841136611124299,0.5896912119808431,0.5121473413659802,0.6780724361665098,0.03240673779603988,0.004609498784445395,0.001547890227976566,0.01645275534071677,0.9998585387226651,0.998387074976936
18,0.8397518507310037,0.5893674121081213,0.5121491181319301,0.6771228468703899,0.020552054082050145,0.0022052165963779035,0.0015761349701221316,0.010262187389813153,0.9999008473997866,0.9984440157405449
19,0.8384663801470402,0.5892947335599743,0.5121317577759651,0.6763022694814362,0.009547372499368764,0.0016655630835598597,0.0013001623369186329,0.004912674599336627,0.9999349059346087,0.9984927116680085
20,0.837351139655085,0.5890704216563453,0.5120499696627048,0.675548699978307,0.0,0.0,0.0,0.0,1.000026050722746,0.9985340432832187
