recid,family,doi,title,number_events,number_files,total_bytes,total_GB,files_online,files_on_demand,online_bytes,online_GB,formats,cmssw_release,global_tag,container_image,collision_energy,license,record_url,file_index_csv
cms-5,DATA,10.7483/OPENDATA.CMS.3S7F.2E9W,/Jet/Run2010B-Apr21ReReco-v1/AOD,20022826,1664,2029445136008,2029.45,1664,0,2029445136008,2029.45,root|aod,CMSSW_4_2_8,FT_R_42_V10A::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/5,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-5_file_index.csv
cms-776,PYTHIA6,10.7483/OPENDATA.CMS.M0DU.0ZIS,/QCD_Pt_300to470_TuneZ2star_HFshowerLibrary_7TeV_pythia6/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,1000000,48,166889613488,166.89,1,47,4007779927,4.01,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/776,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-776_file_index.csv
cms-784,PYTHIA6,10.7483/OPENDATA.CMS.IUW0.ZE04,/QCD_Pt_470to600_TuneZ2star_HFshowerLibrary_7TeV_pythia6/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,995200,53,172860658093,172.86,1,52,2505826105,2.51,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/784,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-784_file_index.csv
cms-789,PYTHIA6,10.7483/OPENDATA.CMS.DMTH.QZAA,/QCD_Pt_600to800_TuneZ2star_HFshowerLibrary_7TeV_pythia6/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,984800,50,173210841006,173.21,1,49,2530935430,2.53,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/789,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-789_file_index.csv
cms-750,HERWIGPP,10.7483/OPENDATA.CMS.3LQB.XHC8,/QCD_Pt-300to470_Tune23_HFshowerLibrary_7TeV_herwigpp/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,1000000,52,194943939664,194.94,52,0,194943939664,194.94,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/750,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-750_file_index.csv
cms-752,HERWIGPP,10.7483/OPENDATA.CMS.SHCL.L4DN,/QCD_Pt-470to600_Tune23_HFshowerLibrary_7TeV_herwigpp/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,1000000,65,204997782038,205.0,30,35,90687868217,90.69,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/752,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-752_file_index.csv
cms-754,HERWIGPP,10.7483/OPENDATA.CMS.HXIO.IG23,/QCD_Pt-600to800_Tune23_HFshowerLibrary_7TeV_herwigpp/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,1000000,64,209178349148,209.18,21,43,60442385321,60.44,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/754,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-754_file_index.csv
cms-739,HERWIGPP_FLAT,10.7483/OPENDATA.CMS.0BXP.EATB,/QCD_Pt-15to1000_TuneEE3C_Flat_7TeV_herwigpp/Summer12-LowPU2010_DR42_BS2011_PU_S0_START42_V17B-v1/AODSIM,10804952,933,1498144344529,1498.14,1,932,658415460,0.66,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/739,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-739_file_index.csv
cms-735,MADGRAPH_PYTHIA6,10.7483/OPENDATA.CMS.16QN.CYZ2,/QCD_HT-250To500_TuneZ2Star_7TeV-madgraph-pythia6/Summer12-LowPU2010_DR42_BS2011_PU_S0_START42_V17B-v1/AODSIM,5602739,1663,830354322579,830.35,1,1662,73095744,0.07,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/735,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-735_file_index.csv
cms-736,MADGRAPH_PYTHIA6,10.7483/OPENDATA.CMS.4AMU.8HJ2,/QCD_HT-500To1000_TuneZ2Star_7TeV-madgraph-pythia6/Summer12-LowPU2010_DR42_BS2011_PU_S0_START42_V17B-v1/AODSIM,4651372,1559,784867355230,784.87,1,1558,637892338,0.64,aodsim|root,CMSSW_4_2_8,START42_V17B::All,docker.io/cmsopendata/cmssw_4_2_8-slc5_amd64_gcc434:latest,7TeV,CC0-1.0,https://opendata.cern.ch/record/736,https://raw.githubusercontent.com/xergon/gsg-tcg-data/main/t4_cms2010_opendata/file_index/cms-736_file_index.csv
