role,recid,family,filename,size_bytes,checksum,n_events_measured,https_url
DATA_ak5PF_7TeV_Run2010B,5,DATA,00052C5A-EF70-E011-B43F-00266CF32A00.root,608745274,adler32:c9aef3ef,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0000/00052C5A-EF70-E011-B43F-00266CF32A00.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,00097BA6-F570-E011-905F-002481E94BFE.root,802113463,adler32:0ce0142c,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0000/00097BA6-F570-E011-905F-002481E94BFE.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,0017CF6D-EF70-E011-9682-003048C691DC.root,587175171,adler32:455a55e6,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0000/0017CF6D-EF70-E011-9682-003048C691DC.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,00237A7C-F770-E011-BED0-00215AD4D670.root,1846130986,adler32:ec9281ae,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0001/00237A7C-F770-E011-BED0-00215AD4D670.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,003D4F04-EF70-E011-A6B9-003048C65E48.root,732416369,adler32:b9aa6bb3,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0000/003D4F04-EF70-E011-A6B9-003048C65E48.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,0044CAF2-9171-E011-A9DF-002481E0D974.root,1160799794,adler32:9d4ba308,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0000/0044CAF2-9171-E011-A9DF-002481E0D974.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,00995B6D-8B71-E011-A82A-003048D439C6.root,731678030,adler32:dddea477,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0004/00995B6D-8B71-E011-A82A-003048D439C6.root
DATA_ak5PF_7TeV_Run2010B,5,DATA,00B33C17-7D71-E011-A4BA-003048F02CB4.root,825292316,adler32:97906fcf,,https://opendata.cern.ch/eos/opendata/cms/Run2010B/Jet/AOD/Apr21ReReco-v1/0002/00B33C17-7D71-E011-A4BA-003048F02CB4.root
PYTHIA6_pthat300to470,776,PYTHIA6,1CD762F1-5F65-E211-BE2B-003048678BAE.root,4007779927,adler32:88cd1d24,24000,https://opendata.cern.ch/eos/opendata/cms/MonteCarlo2010/Summer12/QCD_Pt_300to470_TuneZ2star_HFshowerLibrary_7TeV_pythia6/AODSIM/LowPU2010_DR42_PU_S0_START42_V17B-v1/20000/1CD762F1-5F65-E211-BE2B-003048678BAE.root
PYTHIA6_pthat470to600,784,PYTHIA6,04641C4F-4265-E211-86E4-003048FFD75C.root,2505826105,adler32:6e60c177,14400,https://opendata.cern.ch/eos/opendata/cms/MonteCarlo2010/Summer12/QCD_Pt_470to600_TuneZ2star_HFshowerLibrary_7TeV_pythia6/AODSIM/LowPU2010_DR42_PU_S0_START42_V17B-v1/20000/04641C4F-4265-E211-86E4-003048FFD75C.root
PYTHIA6_pthat600to800,789,PYTHIA6,003D7FF3-8D65-E211-96F8-00248C65A3EC.root,2530935430,adler32:2944b288,14400,https://opendata.cern.ch/eos/opendata/cms/MonteCarlo2010/Summer12/QCD_Pt_600to800_TuneZ2star_HFshowerLibrary_7TeV_pythia6/AODSIM/LowPU2010_DR42_PU_S0_START42_V17B-v1/20000/003D7FF3-8D65-E211-96F8-00248C65A3EC.root
HERWIGPP_pthat300to470,750,HERWIGPP,02FB1341-8A7B-E211-B201-AC162DABCAF8.root,4074270639,adler32:0ffc61fe,,https://opendata.cern.ch/eos/opendata/cms/MonteCarlo2010/Summer12/QCD_Pt-300to470_Tune23_HFshowerLibrary_7TeV_herwigpp/AODSIM/LowPU2010_DR42_PU_S0_START42_V17B-v1/20000/02FB1341-8A7B-E211-B201-AC162DABCAF8.root
HERWIGPP_pthat300to470,750,HERWIGPP,08A36398-8A7B-E211-9DA5-0017A4770C20.root,4262443901,adler32:27a0ea59,,https://opendata.cern.ch/eos/opendata/cms/MonteCarlo2010/Summer12/QCD_Pt-300to470_Tune23_HFshowerLibrary_7TeV_herwigpp/AODSIM/LowPU2010_DR42_PU_S0_START42_V17B-v1/20000/08A36398-8A7B-E211-9DA5-0017A4770C20.root
