run,lumi_start,lumi_end,n_lumisections
136035,1,53,53
136035,55,207,153
136035,209,259,51
136066,181,297,117
136066,299,319,21
136066,321,321,1
136066,323,336,14
136066,338,348,11
136066,350,366,17
136066,368,529,162
136066,532,544,13
136066,546,595,50
136066,597,719,123
136066,721,1004,284
136066,1006,1184,179
136080,249,250,2
136080,252,255,4
136082,1,173,173
136082,175,422,248
136082,477,504,28
136082,506,506,1
136087,250,265,16
136087,267,277,11
136087,279,310,32
136087,312,314,3
136088,1,3,3
136088,6,17,12
136088,19,39,21
136088,41,47,7
136088,50,50,1
136088,52,52,1
136088,54,63,10
136088,65,65,1
136088,67,89,23
136088,91,113,23
136088,115,131,17
136088,133,137,5
136088,139,184,46
136088,187,191,5
136088,193,194,2
136088,196,206,11
136088,208,208,1
136088,210,262,53
136097,1,1,1
136097,3,3,1
136097,5,5,1
136097,7,7,1
136097,9,9,1
136097,11,12,2
136097,14,78,65
136098,1,10,10
136100,1,94,94
136119,1,35,35
137027,98,146,49
137027,149,162,14
137027,165,187,23
137028,1,107,107
137028,111,157,47
137028,163,169,7
137028,171,180,10
137028,184,200,17
137028,203,209,7
137028,211,232,22
137028,234,274,41
137028,276,338,63
137028,341,475,135
137028,478,484,7
138564,1,4,4
138571,1,13,13
138572,1,213,213
138737,1,66,66
138738,1,10,10
138739,1,13,13
138742,1,20,20
138742,22,38,17
138744,1,24,24
138745,1,10,10
138746,1,129,129
138747,1,71,71
138747,73,131,59
138750,1,46,46
138750,49,208,160
138750,210,623,414
138750,626,709,84
138751,1,110,110
138751,112,146,35
138919,62,150,89
138920,1,55,55
138921,1,165,165
138921,168,181,14
138921,183,191,9
138923,1,2,2
138924,1,62,62
138937,1,26,26
138939,1,26,26
139020,227,316,90
139020,319,617,299
139096,193,210,18
139096,212,233,22
139096,235,236,2
139096,239,239,1
139096,242,267,26
139098,1,92,92
139098,94,121,28
139098,123,160,38
139098,162,179,18
139100,1,13,13
139100,15,15,1
139100,17,19,3
139100,21,102,82
139100,104,104,1
139100,106,205,100
139100,207,307,101
139102,1,12,12
139102,14,55,42
139103,7,154,148
139103,157,414,258
139103,416,416,1
139103,418,449,32
139195,9,14,6
139195,16,29,14
139195,31,81,51
139195,83,92,10
139239,164,214,51
139239,217,217,1
139239,219,222,4
139239,224,225,2
139239,227,270,44
139347,214,357,144
139347,359,516,158
139356,175,186,12
139356,188,192,5
139360,1,30,30
139364,1,48,48
139364,51,72,22
139365,1,9,9
139365,12,14,3
139365,16,82,67
139365,84,84,1
139365,86,112,27
139365,114,166,53
139365,168,179,12
139365,181,250,70
139368,1,34,34
139368,36,100,65
139368,102,150,49
139368,152,166,15
139370,1,175,175
139370,177,254,78
139370,257,445,189
139370,447,468,22
139370,472,504,33
139370,506,562,57
139370,564,581,18
139370,583,619,37
139370,622,645,24
139372,20,46,27
139372,48,173,126
139372,175,194,20
139375,1,47,47
139399,75,89,15
139399,94,107,14
139399,109,109,1
139399,114,117,4
139399,125,125,1
139400,1,22,22
139407,1,976,976
139407,978,1074,97
139407,1076,1251,176
139411,4,67,64
139411,69,135,67
139457,1,73,73
139458,1,103,103
139458,107,326,220
139458,329,395,67
139459,1,2,2
139459,4,55,52
139779,4,52,49
139780,4,75,72
139781,4,200,197
139783,4,36,33
139784,4,71,68
139786,4,101,98
139788,4,35,32
139789,4,112,109
139790,4,21,18
139965,209,213,5
139966,1,51,51
139967,1,55,55
139968,1,5,5
139969,1,78,78
139971,1,304,304
139972,1,38,38
139973,1,118,118
139974,1,53,53
139975,1,15,15
139975,17,54,38
140058,111,224,114
140059,1,610,610
140059,613,1160,548
140070,1,11,11
140076,1,60,60
140124,1,390,390
140124,392,938,547
140124,940,1733,794
140126,1,322,322
140158,5,404,400
140159,1,379,379
140160,1,217,217
140180,1,55,55
140181,1,13,13
140331,222,544,323
140331,546,614,69
140331,626,626,1
140331,635,749,115
140359,1,35,35
140359,40,43,4
140361,1,151,151
140362,1,354,354
140379,123,244,122
