# STAGE 2 CMS re-stream log (T4 PtYPhiM convention)
# filename	bytes	n_jets	cum_jets	sha256	sha256_matches_v0_1	seconds
CMS_Jet300_pT375-infGeV_2_compressed.h5	111425384	100000	100000	bbe920ec08f7bb8881827a533de6fc6606e5f5baad581e51e112383bc745b952	TRUE	128.7
CMS_Jet300_pT375-infGeV_12_compressed.h5	111705890	100000	200000	5e4c63262482b91a41164485bf2163c591af166da9e50d97d43c85773e364b09	TRUE	139.2
CMS_Jet300_pT375-infGeV_16_compressed.h5	111182774	100000	300000	b2c5b433dfd1708a572422a03e23bc93a92df3517909de5d0e08d4ca57de4c54	TRUE	145.3
CMS_Jet300_pT375-infGeV_7_compressed.h5	111363623	100000	400000	96a2102feb90928707130886fb9d924ff42af80a23d8bdd1b4a61f53dbd69c5c	TRUE	146.0
CMS_Jet300_pT375-infGeV_11_compressed.h5	111261999	100000	500000	07dbbc8e0b4270a83125735dcd74acb601f9ebba88a47b73513dea7565e1a1d3	TRUE	150.7
CMS_Jet300_pT375-infGeV_14_compressed.h5	111209283	100000	600000	73d8d17525f4cfd38eee6a46ab1d08b4df184ac0ef5b788b224cff73385a34b8	TRUE	161.3
CMS_Jet300_pT375-infGeV_13_compressed.h5	111335501	100000	700000	a85d153c1ef116313ce17d29267699cf733df480501266c3e6a8700a9ca8b961	TRUE	161.9
CMS_Jet300_pT375-infGeV_5_compressed.h5	111384175	100000	800000	3a45354b46f22a4a5e943fd4e0ec3af2e1793264a5bc84e3c2b02011c16975df	TRUE	171.7
CMS_Jet300_pT375-infGeV_1_compressed.h5	111565255	100000	900000	9b38cb8da611951524313ddf8ef695609f61eca02ac168210be54fc22f316ea8	TRUE	176.9
CMS_Jet300_pT375-infGeV_0_compressed.h5	111166120	100000	1000000	6257f150659490186a4cf386277fe2e3d25a79e343a6d21520f0689b9fd4de89	TRUE	190.3
CMS_Jet300_pT375-infGeV_15_compressed.h5	110994414	100000	1100000	d8cc7b58429806d8ca6ac4b2646a8fd33c6a60e02c1978d5acfb9d78d6278253	TRUE	88.0
CMS_Jet300_pT375-infGeV_17_compressed.h5	95643252	85625	1185625	1867ad1fb0ddfe375cc032cbca4c677687acd3229cbb3b6788a684ef0319b85d	TRUE	90.8
CMS_Jet300_pT375-infGeV_3_compressed.h5	111012936	100000	1285625	2ee8331b4e0a4905ccbf2a81d71573d8162f50d25c4cc856e2d986275bc106cd	TRUE	136.3
CMS_Jet300_pT375-infGeV_10_compressed.h5	110821747	100000	1385625	07761648365c6a29615fac90f215c3e3b6bd8a9e645ba6238ce043eecb3a5bb4	TRUE	131.3
CMS_Jet300_pT375-infGeV_4_compressed.h5	110508242	100000	1485625	63b2e4ef535e377137287e7ab7b8cde1edc7b097334b2f00ab31e3c857682f4e	TRUE	115.7
CMS_Jet300_pT375-infGeV_9_compressed.h5	110447240	100000	1585625	d9ce8e835fe2678fc2434b33683a763ee9f7beabc87df50efdd6a08ae9c681cc	TRUE	452.7
CMS_Jet300_pT375-infGeV_8_compressed.h5	110767205	100000	1685625	6f2143c5b80fa316cad8bf343c6024e261e8c054c87ccdd060947623cacaf023	TRUE	468.0
CMS_Jet300_pT375-infGeV_6_compressed.h5	110783624	100000	1785625	5cdd5773710b5c6faec90f853eab026a0a5a9ef6948bceee5d235258ac9dfdc6	TRUE	476.1
