# STAGE 1 CORE3 SIM parse log (T4 PtYPhiM convention)
# filename	bytes	n_jets	cum_jets	sha256	seconds
SIM300_Jet300_pT375-infGeV_21_compressed.h5	214686182	100000	100000	da898df3c7ebfd4089e04f5b3478ede2b36e03d0e4fc504ef0ff2b00ad0e74cb	0.0
SIM300_Jet300_pT375-infGeV_4_compressed.h5	214662156	100000	200000	89a42cec5ae9d1bb5c9a53bccbde1b9b3ac79779e4207167c3b2630fed064371	0.0
SIM300_Jet300_pT375-infGeV_9_compressed.h5	214559514	100000	300000	a5d197a098da4077dfdb6a7d774858bf8271842d18539000e9279557cdd22c0f	0.0
SIM300_Jet300_pT375-infGeV_6_compressed.h5	214621251	100000	400000	a5a53b1d97df03138fdb9fcaa30af9721d39ac14211d06c67b577dbdb96a3c20	0.0
SIM300_Jet300_pT375-infGeV_12_compressed.h5	214681158	100000	500000	1052c8475f94f65a60a252f6e4366dea9ede5d459de4457a570b21fe2a7ab533	0.0
SIM300_Jet300_pT375-infGeV_15_compressed.h5	214538819	100000	600000	a2874e07f8eca8f484bb832a2941a09783783d6f0e71509c102d250bca3f9ad1	0.0
SIM300_Jet300_pT375-infGeV_14_compressed.h5	214530966	100000	700000	1544273b159d05c3534df32e6f12a01711ee2d479ed9ae84c038eb613f65bf7e	0.0
SIM300_Jet300_pT375-infGeV_18_compressed.h5	214506484	100000	800000	ef770bcd0299faa4387c2d511d9d05d6dbc2b7c7fb1900bf77e843d6466ec9cf	0.0
SIM300_Jet300_pT375-infGeV_20_compressed.h5	214262434	100000	900000	e7286777fec40fa466d5543430b4b6251b53d38ec579035e5d75c217c410f8ca	16.6
SIM300_Jet300_pT375-infGeV_2_compressed.h5	214442136	100000	1000000	f3417a1d62a478eec2921f242049cda63ae1f9cbd35e5a75c40cef890fc186e8	245.0
SIM300_Jet300_pT375-infGeV_11_compressed.h5	214227757	100000	1100000	b4feff06d4aa008f05135c9196e1e3c7b70b978fd536f9fab9de28aa52af1eed	261.8
SIM300_Jet300_pT375-infGeV_13_compressed.h5	214353463	100000	1200000	6be31cb56e0e2c9fd92ff0717f8b105cbb5101c5a99a89368c52a30d28a753c2	269.3
SIM300_Jet300_pT375-infGeV_16_compressed.h5	214205025	100000	1300000	5df2e3e4e3f8a6497f6a1829f2ab73103af8e2d727fe159aac5e287493d55271	271.0
SIM300_Jet300_pT375-infGeV_5_compressed.h5	214194862	100000	1400000	aa0fd2d1683fcdfb54e2d414f43a47c53129eaade6135c1e3a1fdafff27a4ee4	283.3
SIM300_Jet300_pT375-infGeV_10_compressed.h5	214201512	100000	1500000	c2d18096415cf4b26275e1f0f624baf07e78d5c9ec9d5b2c1d3d306f6f7354a7	293.9
SIM300_Jet300_pT375-infGeV_17_compressed.h5	214119115	100000	1600000	48dd2b90259b6d0f7dbfaf6c6f9d38618332f4ec5790b351281d8676d4a5b438	315.0
SIM300_Jet300_pT375-infGeV_0_compressed.h5	214124719	100000	1700000	3f8e12a79de1620bcc2049414a444f13b2b3aa5810427b6cc5a5c57406e5db34	318.6
SIM300_Jet300_pT375-infGeV_19_compressed.h5	214087836	100000	1800000	ad4831da1a7ec03ccd27c799b0353cdf627b612d10ce22a8f32d4daf937a5f06	302.9
SIM300_Jet300_pT375-infGeV_7_compressed.h5	214135070	100000	1900000	4521487b1b7ef344b8cd810ca68257a2a9f44bfa352ea37b305b8c5b01ae4423	325.3
SIM170_Jet300_pT375-infGeV_0_compressed.h5	31496576	13618	1913618	dfd906b47da5322ae87f503bd58d3abf70c82561de2e19ae0f9d7423ed4e4f4a	47.7
SIM300_Jet300_pT375-infGeV_1_compressed.h5	214053472	100000	2013618	d69d4ff64a62ed945839173b7eb8d3cf587531b06120567eae7f9493527a7231	112.8
SIM300_Jet300_pT375-infGeV_23_compressed.h5	179935031	84079	2097697	e5ac49407e5774e1da03b88adb7795581db8a6565b1d85bd63e35cfaba82b6b6	99.4
SIM300_Jet300_pT375-infGeV_3_compressed.h5	213891344	100000	2197697	7cbccbe7c0f90a50b83a6d04dee664d2a388d3d2023dccbc4d1c39f3f4c71c22	124.6
SIM300_Jet300_pT375-infGeV_22_compressed.h5	213998728	100000	2297697	17b08f727f5c43bc7600fcdc3e6f994c3a4c8738ad5b375bb8f898b837253de3	165.6
SIM300_Jet300_pT375-infGeV_8_compressed.h5	213950724	100000	2397697	da7060f94ce162d40e2664c1e38f3b3080482c76b84a697ceea46a4860fd90dd	223.4
