file	bytes	adler32_measured	adler32_expected	status
Dijet_bb_pt10_15_dw.root	2339538	2aaf3a85	2aaf3a85	OK
Dijet_bb_pt10_15_up.root	2529917	95e2b135	95e2b135	OK
Dijet_bb_pt15_20_dw.root	54188494	62201215	62201215	OK
Dijet_bb_pt15_20_up.root	55854528	85b322ff	85b322ff	OK
Dijet_bb_pt20_50_dw.root	420677718	b87fc64f	b87fc64f	OK
Dijet_cc_pt10_15_dw.root	984769	58dfb82c	58dfb82c	OK
Dijet_cc_pt10_15_up.root	963033	f7d16f88	f7d16f88	OK
Dijet_cc_pt15_20_dw.root	10914293	87ce7cfa	87ce7cfa	OK
Dijet_cc_pt15_20_up.root	10599918	802e0030	802e0030	OK
Dijet_cc_pt20_50_dw.root	48623975	6a67b881	6a67b881	OK
Dijet_cc_pt20_50_up.root	33357318	1381da72	c3e5a025	BAD
Dijet_qq_pt10_15_dw.root	367520	aaead321	aaead321	OK
Dijet_qq_pt10_15_up.root	358640	74666984	74666984	OK
Dijet_qq_pt15_20_dw.root	756048	ac74d752	ac74d752	OK
Dijet_qq_pt15_20_up.root	688515	eb3e6d35	eb3e6d35	OK
Dijet_qq_pt20_50_dw.root	3310798	c1470fce	c1470fce	OK
Dijet_qq_pt20_50_up.root	3558272	966d888a	966d888a	OK
Dijet_qq_pt50_dw.root	13522601	6329eac2	6329eac2	OK
Dijet_qq_pt50_up.root	14067231	624941fe	624941fe	OK
Dijet_Z_dw.root	86369201	0164867f	0164867f	OK
Dijet_Z_up.root	31855287	6f0b04bb	e07a6095	BAD
