recid	kind	filename	bytes	checksum	url	xrootd_uri
94000	config	dijets.py	741	adler32:2972fb3c	https://opendata.cern.ch/record/94000/files/dijets.py	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/inputs/dijets_run2/dijets.py
94000	config	dijets.yaml	1464	adler32:f1068f1d	https://opendata.cern.ch/record/94000/files/dijets.yaml	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/inputs/dijets_run2/dijets.yaml
94000	config	info.yaml	1122	adler32:be234c43	https://opendata.cern.ch/record/94000/files/info.yaml	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/inputs/dijets_run2/info.yaml
94001	collision_ntuple	00392998_00000001_1.dvntuple.root	7029057719	adler32:4b242380	https://opendata.cern.ch/record/94001/files/00392998_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00392998_00000001_1.dvntuple.root
94001	collision_ntuple	00392998_00000002_1.dvntuple.root	511106461	adler32:435d51fc	https://opendata.cern.ch/record/94001/files/00392998_00000002_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00392998_00000002_1.dvntuple.root
94002	collision_ntuple	00392999_00000001_1.dvntuple.root	5745180854	adler32:f2cf5cd9	https://opendata.cern.ch/record/94002/files/00392999_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00392999_00000001_1.dvntuple.root
94003	collision_ntuple	00393003_00000001_1.dvntuple.root	7061819125	adler32:0feaeb5a	https://opendata.cern.ch/record/94003/files/00393003_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393003_00000001_1.dvntuple.root
94003	collision_ntuple	00393003_00000002_1.dvntuple.root	7098149782	adler32:94d491a1	https://opendata.cern.ch/record/94003/files/00393003_00000002_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393003_00000002_1.dvntuple.root
94003	collision_ntuple	00393003_00000003_1.dvntuple.root	7140939068	adler32:0231f58c	https://opendata.cern.ch/record/94003/files/00393003_00000003_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393003_00000003_1.dvntuple.root
94003	collision_ntuple	00393003_00000004_1.dvntuple.root	7214645813	adler32:89731e99	https://opendata.cern.ch/record/94003/files/00393003_00000004_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393003_00000004_1.dvntuple.root
94003	collision_ntuple	00393003_00000005_1.dvntuple.root	7142235970	adler32:70712f14	https://opendata.cern.ch/record/94003/files/00393003_00000005_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393003_00000005_1.dvntuple.root
94004	collision_ntuple	00393002_00000001_1.dvntuple.root	7066682432	adler32:b307aaea	https://opendata.cern.ch/record/94004/files/00393002_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393002_00000001_1.dvntuple.root
94004	collision_ntuple	00393002_00000002_1.dvntuple.root	7084165568	adler32:e701c789	https://opendata.cern.ch/record/94004/files/00393002_00000002_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393002_00000002_1.dvntuple.root
94004	collision_ntuple	00393002_00000003_1.dvntuple.root	7111913505	adler32:29fe39a6	https://opendata.cern.ch/record/94004/files/00393002_00000003_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393002_00000003_1.dvntuple.root
94004	collision_ntuple	00393002_00000004_1.dvntuple.root	7181137865	adler32:8bedacd5	https://opendata.cern.ch/record/94004/files/00393002_00000004_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393002_00000004_1.dvntuple.root
94004	collision_ntuple	00393002_00000005_1.dvntuple.root	3187846643	adler32:a4dbeed4	https://opendata.cern.ch/record/94004/files/00393002_00000005_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393002_00000005_1.dvntuple.root
94005	collision_ntuple	00393006_00000001_1.dvntuple.root	7058416870	adler32:0b207a3c	https://opendata.cern.ch/record/94005/files/00393006_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393006_00000001_1.dvntuple.root
94005	collision_ntuple	00393006_00000002_1.dvntuple.root	7057276835	adler32:6e1e1d9a	https://opendata.cern.ch/record/94005/files/00393006_00000002_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393006_00000002_1.dvntuple.root
94005	collision_ntuple	00393006_00000003_1.dvntuple.root	7156337690	adler32:afdca817	https://opendata.cern.ch/record/94005/files/00393006_00000003_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393006_00000003_1.dvntuple.root
94005	collision_ntuple	00393006_00000004_1.dvntuple.root	7118388155	adler32:6091833b	https://opendata.cern.ch/record/94005/files/00393006_00000004_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393006_00000004_1.dvntuple.root
94005	collision_ntuple	00393006_00000005_1.dvntuple.root	731208261	adler32:938259b5	https://opendata.cern.ch/record/94005/files/00393006_00000005_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393006_00000005_1.dvntuple.root
94006	collision_ntuple	00393007_00000001_1.dvntuple.root	7028357680	adler32:9dfdbbf7	https://opendata.cern.ch/record/94006/files/00393007_00000001_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393007_00000001_1.dvntuple.root
94006	collision_ntuple	00393007_00000002_1.dvntuple.root	7073418974	adler32:bb85a6fa	https://opendata.cern.ch/record/94006/files/00393007_00000002_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393007_00000002_1.dvntuple.root
94006	collision_ntuple	00393007_00000003_1.dvntuple.root	7076789656	adler32:125e7100	https://opendata.cern.ch/record/94006/files/00393007_00000003_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393007_00000003_1.dvntuple.root
94006	collision_ntuple	00393007_00000004_1.dvntuple.root	6042051770	adler32:0024e4f1	https://opendata.cern.ch/record/94006/files/00393007_00000004_1.dvntuple.root	root://eospublic.cern.ch//eos/opendata/lhcb/CollisionNtuples/OPENDATA.LHCB.CGFF.E7X9/outputs/real-production/00393007_00000004_1.dvntuple.root
