file	bytes	events	jet_slots	truth_charge_valid_jets	total_daughters
Dijet_Z_dw.root	86369201	21808	43616	42847	751746
Dijet_bb_pt10_15_dw.root	2339538	476	952	941	18502
Dijet_bb_pt10_15_up.root	2529917	520	1040	1028	20300
Dijet_bb_pt15_20_dw.root	54188494	13804	27608	27333	483830
Dijet_bb_pt15_20_up.root	55854528	14254	28508	28199	499182
Dijet_bb_pt20_50_dw.root	420677718	111262	222524	217762	3718645
Dijet_bb_pt20_50_up.root	416112292	109951	219902	215371	3675669
Dijet_bb_pt50_dw.root	708308016	172358	344716	328479	6507483
Dijet_cc_pt10_15_dw.root	984769	163	326	5	5847
Dijet_cc_pt10_15_up.root	963033	157	314	13	5664
Dijet_cc_pt15_20_dw.root	10914293	2904	5808	63	90965
Dijet_cc_pt15_20_up.root	10599918	2818	5636	51	87986
Dijet_cc_pt20_50_dw.root	48623975	13440	26880	283	409727
Dijet_qq_pt10_15_dw.root	367520	12	24	19	429
Dijet_qq_pt10_15_up.root	358640	10	20	14	370
Dijet_qq_pt15_20_dw.root	756048	103	206	171	3691
Dijet_qq_pt15_20_up.root	688515	90	180	130	3092
Dijet_qq_pt20_50_dw.root	3310798	787	1574	1231	25349
Dijet_qq_pt20_50_up.root	3558272	845	1690	1331	27755
Dijet_qq_pt50_dw.root	13522601	3299	6598	4675	117992
Dijet_qq_pt50_up.root	14067231	3458	6916	4965	123571
