tree	branch	typename
dijets/DecayTree	H_10_ENDVERTEX_X	double
dijets/DecayTree	H_10_ENDVERTEX_Y	double
dijets/DecayTree	H_10_ENDVERTEX_Z	double
dijets/DecayTree	H_10_ENDVERTEX_XERR	double
dijets/DecayTree	H_10_ENDVERTEX_YERR	double
dijets/DecayTree	H_10_ENDVERTEX_ZERR	double
dijets/DecayTree	H_10_ENDVERTEX_CHI2	double
dijets/DecayTree	H_10_ENDVERTEX_NDOF	int32_t
dijets/DecayTree	H_10_ENDVERTEX_COV_	float[3][3]
dijets/DecayTree	H_10_OWNPV_X	double
dijets/DecayTree	H_10_OWNPV_Y	double
dijets/DecayTree	H_10_OWNPV_Z	double
dijets/DecayTree	H_10_OWNPV_XERR	double
dijets/DecayTree	H_10_OWNPV_YERR	double
dijets/DecayTree	H_10_OWNPV_ZERR	double
dijets/DecayTree	H_10_OWNPV_CHI2	double
dijets/DecayTree	H_10_OWNPV_NDOF	int32_t
dijets/DecayTree	H_10_OWNPV_COV_	float[3][3]
dijets/DecayTree	H_10_IP_OWNPV	double
dijets/DecayTree	H_10_IPCHI2_OWNPV	double
dijets/DecayTree	H_10_FD_OWNPV	double
dijets/DecayTree	H_10_FDCHI2_OWNPV	double
dijets/DecayTree	H_10_DIRA_OWNPV	double
dijets/DecayTree	H_10_P	double
dijets/DecayTree	H_10_PT	double
dijets/DecayTree	H_10_PE	double
dijets/DecayTree	H_10_PX	double
dijets/DecayTree	H_10_PY	double
dijets/DecayTree	H_10_PZ	double
dijets/DecayTree	H_10_MM	double
dijets/DecayTree	H_10_MMERR	double
dijets/DecayTree	H_10_M	double
dijets/DecayTree	H_10_ID	int32_t
dijets/DecayTree	CELLjet_ENDVERTEX_X	double
dijets/DecayTree	CELLjet_ENDVERTEX_Y	double
dijets/DecayTree	CELLjet_ENDVERTEX_Z	double
dijets/DecayTree	CELLjet_ENDVERTEX_XERR	double
dijets/DecayTree	CELLjet_ENDVERTEX_YERR	double
dijets/DecayTree	CELLjet_ENDVERTEX_ZERR	double
dijets/DecayTree	CELLjet_ENDVERTEX_CHI2	double
dijets/DecayTree	CELLjet_ENDVERTEX_NDOF	int32_t
dijets/DecayTree	CELLjet_ENDVERTEX_COV_	float[3][3]
dijets/DecayTree	CELLjet_OWNPV_X	double
dijets/DecayTree	CELLjet_OWNPV_Y	double
dijets/DecayTree	CELLjet_OWNPV_Z	double
dijets/DecayTree	CELLjet_OWNPV_XERR	double
dijets/DecayTree	CELLjet_OWNPV_YERR	double
dijets/DecayTree	CELLjet_OWNPV_ZERR	double
dijets/DecayTree	CELLjet_OWNPV_CHI2	double
dijets/DecayTree	CELLjet_OWNPV_NDOF	int32_t
dijets/DecayTree	CELLjet_OWNPV_COV_	float[3][3]
dijets/DecayTree	CELLjet_IP_OWNPV	double
dijets/DecayTree	CELLjet_IPCHI2_OWNPV	double
dijets/DecayTree	CELLjet_FD_OWNPV	double
dijets/DecayTree	CELLjet_FDCHI2_OWNPV	double
dijets/DecayTree	CELLjet_DIRA_OWNPV	double
dijets/DecayTree	CELLjet_ORIVX_X	double
dijets/DecayTree	CELLjet_ORIVX_Y	double
dijets/DecayTree	CELLjet_ORIVX_Z	double
dijets/DecayTree	CELLjet_ORIVX_XERR	double
dijets/DecayTree	CELLjet_ORIVX_YERR	double
dijets/DecayTree	CELLjet_ORIVX_ZERR	double
dijets/DecayTree	CELLjet_ORIVX_CHI2	double
dijets/DecayTree	CELLjet_ORIVX_NDOF	int32_t
dijets/DecayTree	CELLjet_ORIVX_COV_	float[3][3]
dijets/DecayTree	CELLjet_FD_ORIVX	double
dijets/DecayTree	CELLjet_FDCHI2_ORIVX	double
dijets/DecayTree	CELLjet_DIRA_ORIVX	double
dijets/DecayTree	CELLjet_P	double
dijets/DecayTree	CELLjet_PT	double
dijets/DecayTree	CELLjet_PE	double
dijets/DecayTree	CELLjet_PX	double
dijets/DecayTree	CELLjet_PY	double
dijets/DecayTree	CELLjet_PZ	double
dijets/DecayTree	CELLjet_MM	double
dijets/DecayTree	CELLjet_MMERR	double
dijets/DecayTree	CELLjet_M	double
dijets/DecayTree	CELLjet_ID	int32_t
dijets/DecayTree	CELLjet_BDTTag_Tag	double
dijets/DecayTree	CELLjet_BDTTag_NbTag	int32_t
dijets/DecayTree	CELLjet_BDTTag_fdrMin	float[]
dijets/DecayTree	CELLjet_BDTTag_ptSvrJet	float[]
