spectrum,kind,lens_map,galaxy_bin,band,ell_eff,ell_lo,ell_hi,Cl,sigma_Cl
PR4_BGSz1,kappa_g,PR4,BGSz1,0,31.5,20,44,1.2958377909e-06,2.3253500131e-07
PR4_BGSz1,kappa_g,PR4,BGSz1,1,61.00000000000001,44,79,6.2259088161e-07,9.3960632340e-08
PR4_BGSz1,kappa_g,PR4,BGSz1,2,101.0,79,124,3.5046821245e-07,4.3521601550e-08
PR4_BGSz1,kappa_g,PR4,BGSz1,3,150.49999999999997,124,178,1.7044584912e-07,2.4478660205e-08
PR4_BGSz1,kappa_g,PR4,BGSz1,4,210.00000000000003,178,243,1.0116273244e-07,1.6194958941e-08
PR4_BGSz1,kappa_g,PR4,BGSz1,5,279.5,243,317,2.4700511931e-08,1.2325605368e-08
PR4_BGSz1,kappa_g,PR4,BGSz1,6,358.5,317,401,5.4869771634e-08,9.4157994326e-09
PR4_BGSz1,kappa_g,PR4,BGSz1,7,447.5,401,495,4.3868208808e-08,7.1537134757e-09
PR4_BGSz1,kappa_g,PR4,BGSz1,8,547.0000000000001,495,600,9.4963572730e-09,5.9107245034e-09
PR4_BGSz1,kappa_g,PR4,BGSz1,9,656.0000000000005,600,713,1.5171886245e-08,5.3148142681e-09
PR4_BGSz1,kappa_g,PR4,BGSz1,10,774.5000000000001,713,837,1.6078931322e-08,4.6479648099e-09
PR4_BGSz1,kappa_g,PR4,BGSz1,11,903.4999999999999,837,971,1.9008940896e-08,4.1816261480e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,0,31.5,20,44,1.3705687773e-06,2.0359646524e-07
PR4_BGSz2,kappa_g,PR4,BGSz2,1,61.00000000000001,44,79,6.3097558150e-07,8.8903684319e-08
PR4_BGSz2,kappa_g,PR4,BGSz2,2,101.0,79,124,3.2831088712e-07,4.3644956831e-08
PR4_BGSz2,kappa_g,PR4,BGSz2,3,150.49999999999997,124,178,1.3386873866e-07,2.5203521765e-08
PR4_BGSz2,kappa_g,PR4,BGSz2,4,210.00000000000003,178,243,1.0168489180e-07,1.6833686530e-08
PR4_BGSz2,kappa_g,PR4,BGSz2,5,279.5,243,317,8.4503392629e-08,1.2935110153e-08
PR4_BGSz2,kappa_g,PR4,BGSz2,6,358.5,317,401,6.8733264301e-08,9.9978457918e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,7,447.5,401,495,3.6931981088e-08,7.6904733880e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,8,547.0000000000001,495,600,2.9160194593e-08,6.3620054523e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,9,656.0000000000005,600,713,2.3526430533e-08,5.6936582789e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,10,774.5000000000001,713,837,2.4201931532e-08,4.9937407853e-09
PR4_BGSz2,kappa_g,PR4,BGSz2,11,903.4999999999999,837,971,1.4784437760e-08,4.5786603680e-09
PR4_LRGz1,kappa_g,PR4,LRGz1,0,31.5,20,44,1.5562026813e-06,2.2166304397e-07
PR4_LRGz1,kappa_g,PR4,LRGz1,1,61.00000000000001,44,79,6.6812763490e-07,1.0208676004e-07
PR4_LRGz1,kappa_g,PR4,LRGz1,2,101.0,79,124,3.1307392058e-07,5.4711952666e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,3,150.49999999999997,124,178,2.3045170852e-07,3.2750266884e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,4,210.00000000000003,178,243,1.6997820862e-07,2.3123247101e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,5,279.5,243,317,1.1276070093e-07,1.8611102425e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,6,358.5,317,401,8.9482338709e-08,1.4973145394e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,7,447.5,401,495,5.6329988878e-08,1.1927318475e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,8,547.0000000000001,495,600,6.1288875147e-08,1.0183100210e-08
PR4_LRGz1,kappa_g,PR4,LRGz1,9,656.0000000000005,600,713,4.0789783226e-08,9.3540849766e-09
PR4_LRGz1,kappa_g,PR4,LRGz1,10,774.5000000000001,713,837,4.1781525086e-08,8.3936058989e-09
PR4_LRGz1,kappa_g,PR4,LRGz1,11,903.4999999999999,837,971,2.1537889761e-08,7.8323847559e-09
PR4_LRGz2,kappa_g,PR4,LRGz2,0,31.5,20,44,8.2954106290e-07,1.7702422258e-07
PR4_LRGz2,kappa_g,PR4,LRGz2,1,61.00000000000001,44,79,7.8166677461e-07,8.6889939509e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,2,101.0,79,124,4.6948412508e-07,4.6899274556e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,3,150.49999999999997,124,178,3.0211811229e-07,2.8627928020e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,4,210.00000000000003,178,243,1.9013210558e-07,1.9945100575e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,5,279.5,243,317,1.2243476797e-07,1.5682971545e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,6,358.5,317,401,8.9236261495e-08,1.2401706541e-08
PR4_LRGz2,kappa_g,PR4,LRGz2,7,447.5,401,495,5.7909691034e-08,9.7021667586e-09
PR4_LRGz2,kappa_g,PR4,LRGz2,8,547.0000000000001,495,600,4.5292751899e-08,8.1491920094e-09
PR4_LRGz2,kappa_g,PR4,LRGz2,9,656.0000000000005,600,713,3.6229104913e-08,7.3999740966e-09
PR4_LRGz2,kappa_g,PR4,LRGz2,10,774.5000000000001,713,837,3.1518668318e-08,6.5731568610e-09
PR4_LRGz2,kappa_g,PR4,LRGz2,11,903.4999999999999,837,971,3.8699098520e-08,6.0904566474e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,0,31.5,20,44,9.8013396214e-07,1.5525657910e-07
PR4_LRGz3,kappa_g,PR4,LRGz3,1,61.00000000000001,44,79,6.7822084566e-07,8.1608603747e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,2,101.0,79,124,4.2212064678e-07,4.4051094923e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,3,150.49999999999997,124,178,3.1792007114e-07,2.8261637836e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,4,210.00000000000003,178,243,2.1119781928e-07,1.9331550967e-08
