regime,tracer,z_range,z_eff,galactic_cap,DV_over_rd,sig_DV_over_rd,DH_over_DM,sig_DH_over_DM,fsigma_s8,sig_fsigma_s8,m_plus_n,sig_m_plus_n,fsigma_s8_fiducial,fsigma_s8_ratio_to_fid
shapefit_only,BGS,0.1-0.4,0.295,GCcomb,7.788174,0.3625830113229245,3.0538,0.287953284405648,0.377174,0.09408021949379157,-0.03137,0.16724304469842685,0.4723,0.7985898793139954
shapefit_only,LRG1,0.4-0.6,0.51,GCcomb,12.514437,0.23266066126442606,1.637266,0.09861532335291509,0.513635,0.06426155149076312,0.02784,0.06994205458806597,0.4733,1.0852207901964925
shapefit_only,LRG2,0.6-0.8,0.706,GCcomb,15.67556,0.2761263690776381,1.165867,0.0602860663835351,0.483623,0.05302799449347486,0.04665,0.06901052093702814,0.4608,1.0495290798611112
shapefit_only,LRG3,0.8-1.1,0.919,GCcomb,19.676985,0.2911184970076618,0.844996,0.04031263821681732,0.422164,0.047297266305781356,-0.02469,0.05906201825200355,0.4398,0.9598999545247839
shapefit_only,ELG2,1.1-1.6,1.317,GCcomb,23.861806,0.48399451298542634,0.470709,0.03210810333856549,0.376715,0.03741319686955393,0.05996,0.06601190044226875,0.3944,0.9551597363083165
shapefit_only,QSO,0.8-2.1,1.491,GCcomb,25.70852,0.5489798325986119,0.426508,0.02417810166245481,0.434858,0.04448107237915921,0.06455,0.05125061950845082,0.375,1.1596213333333334
shapefit_plus_BAO_postrecon,BGS,0.1-0.4,0.295,GCcomb,7.920703,0.15488745333305728,3.014389,0.2695912847256009,0.396326,0.0899582631001733,-0.04903,0.12960425147347598,0.4723,0.8391403768791023
shapefit_plus_BAO_postrecon,LRG1,0.4-0.6,0.51,GCcomb,12.62167,0.13630656037036515,1.574992,0.05542801728368064,0.547632,0.05940058669743928,0.02035,0.06487762326102892,0.4733,1.157050496513839
shapefit_plus_BAO_postrecon,LRG2,0.6-0.8,0.706,GCcomb,15.924595,0.17606955784575595,1.181734,0.039066420363273624,0.479541,0.04802191583017071,0.02232,0.06761495396729929,0.4608,1.0406705729166668
shapefit_plus_BAO_postrecon,LRG3,0.8-1.1,0.919,GCcomb,19.772506,0.17326687912004418,0.825195,0.023518956184320768,0.438454,0.041244769365338926,-0.02494,0.05192325105383907,0.4398,0.9969395179627103
shapefit_plus_BAO_postrecon,ELG2,1.1-1.6,1.317,GCcomb,24.247096,0.34720330038753955,0.486334,0.021251425834517553,0.372661,0.03436760975104321,0.04172,0.06202069815795369,0.3944,0.9448808316430022
shapefit_plus_BAO_postrecon,QSO,0.8-2.1,1.491,GCcomb,25.768648,0.5100474708299219,0.425629,0.023832265943464128,0.436849,0.045857063796104526,0.06195,0.051704052065577995,0.375,1.1649306666666666
