SWIFTJ0025.8+6818    13.1 42.63
SWIFTJ0030.0-5904     7.5 43.16
SWIFTJ0105.5-4213     7.1 43.17
SWIFTJ0111.4-3808    28.4 42.95
SWIFTJ0122.8+5003    10.6 43.00
SWIFTJ0128.9-6039     5.9 44.86
SWIFTJ0130.0-4218     7.4 43.05
SWIFTJ0242.6+0000    76.4 42.39
SWIFTJ0250.7+4142    12.0 42.75
SWIFTJ0251.3+5441    18.9 42.99
SWIFTJ0251.6-1639    12.5 42.53
SWIFTJ0304.1-0108    42.5 43.25
SWIFTJ0308.2-2258    17.6 43.73
SWIFTJ0350.1-5019    27.2 43.91
SWIFTJ0357.5-6255     8.2 44.40
SWIFTJ0427.6-1201     8.2 43.30
SWIFTJ0453.4+0404    18.0 43.56
SWIFTJ0601.9-8636    23.6 42.30
SWIFTJ0615.8+7101   103.6 43.63
SWIFTJ0656.4-4921     6.4 43.40
SWIFTJ0714.2+3518    16.2 42.95
SWIFTJ0743.0+6513     4.4 43.16
SWIFTJ0807.9+3859     8.0 42.99
SWIFTJ0902.7-6816    47.0 43.27
SWIFTJ0919.2+5528     4.4 44.25
SWIFTJ0924.2-3141    11.0 43.67
SWIFTJ0934.7-2156    33.2 43.30
SWIFTJ0935.9+6120    13.3 43.69
SWIFTJ1001.7+5543    41.7 42.10
SWIFTJ1031.5-4205     8.8 42.87
SWIFTJ1033.8+5257     6.0 43.80
SWIFTJ1048.4-2511    12.8 42.65
SWIFTJ1206.2+5243    26.6 41.66
SWIFTJ1212.9+0702     9.4 42.01
SWIFTJ1253.5-4137    18.2 43.02
SWIFTJ1305.4-4928   623.2 42.69
SWIFTJ1412.9-6522   228.9 41.99
SWIFTJ1416.9-4640    18.5 44.43
SWIFTJ1432.8-4412   114.4 42.61
SWIFTJ1442.5-1715    43.8 42.93
SWIFTJ1445.6+2702    92.8 44.28
SWIFTJ1635.0-5804    11.9 42.33
SWIFTJ1643.2+7036    13.5 42.82
SWIFTJ1652.0-5915A  413.8 43.88
SWIFTJ1652.9+0223   129.1 44.25
SWIFTJ1800.3+6637    10.4 43.22
SWIFTJ2015.2+2526    27.3 44.12
SWIFTJ2028.5+2543D1  10.3 42.69
SWIFTJ2102.6-2810    11.3 43.54
SWIFTJ2148.3-3454     6.1 42.55
SWIFTJ2207.3+1013    22.5 43.57
SWIFTJ2242.4-3711     8.5 43.22
SWIFTJ2304.9+1220     8.5 42.07
SWIFTJ2307.9+2245     9.3 43.42
SWIFTJ2318.4-4223   120.0 42.86
SWIFTJ2328.9+0328    20.7 43.14
