  25|SWIFT J0041.0+2444 |SWIFT J004039.9+244539      |Sy1.9|Palomar/DBSP |0.078365|[OIII]{lambda}5007|0.1
  42|SWIFT J0057.0+6405 |NVSS J005712+635942         |BZQ  |Palomar/DBSP |0.289627|[OIII]            |4.5
  65|SWIFT J0116.5-1235 |2MASX J01163118-1236171     |Sy1.9|VLT/X-shooter|0.142447|[OIII]            |0.1
  92|SWIFT J0149.2+2153A|LEDA 1656658                |Sy1.9|Palomar/DBSP |0.069397|[OIII]            |0.3
 154|SWIFT J0252.1-6758 |2MASX J02513173-6803059     |Sy1.9|VLT/X-shooter|0.18263 |[OIII]            |0.1
 161|SWIFT J0259.9+4419 |2MASX J02593756+4417180     |Sy1  |Palomar/DBSP |0.031291|[OIII]            |0.7
 210|SWIFT J0413.3+1659 |MG1 J041325+1659            |BZQ  |Palomar/DBSP |0.211541|[OIII]            |2.1
 240|SWIFT J0449.6-5515 |2MASX J04500193-5512404     |Sy2  |VLT/X-shooter|0.021576|[OIII]            |0.
 250|SWIFT J0459.7+3502 |LEDA 168924                 |Sy2  |Palomar/DBSP |0.044383|[OIII]            |2.8
 257|SWIFT J0505.6-6735 |2MASX J05052442-6734358     |Sy2  |VLT/X-shooter|0.046517|[OIII]            |0.8
 323|SWIFT J0612.2-4645 |PMN J0612-4647              |BZQ  |VLT/X-shooter|0.317767|[OIII]            |0.2
 333|SWIFT J0626.6+0729 |LEDA 136513                 |Sy1  |du Pont/BC   |0.042447|[OIII]            |2.
 343|SWIFT J0640.0-4737 |SWIFT J064013.50-474132.9   |Sy2  |VLT/X-shooter|0.057242|[OIII]            |0.4
 353|SWIFT J0659.3+2406 |2MASX J06591070+2401400     |Sy2  |Keck/LRIS    |0.090822|[OIII]            |0.2
 359|SWIFT J0709.3-1527 |PKS 0706-15                 |BZB  |Palomar/DBSP |0.142277|Gal. Temp.        |2.
 367|SWIFT J0723.8-0804 |1RXS J072352.4-080623       |Sy1  |Palomar/DBSP |0.144926|[OIII]            |0.9
 380|SWIFT J0741.4-5447 |2MASX J07410919-5447461     |Sy2  |VLT/X-shooter|0.106098|[OIII]            |0.5
 396|SWIFT J0755.4+8402 |2MASS J07581638+8356362     |Sy1  |Palomar/DBSP |0.133952|[OIII]            |0.15
 433|SWIFT J0854.3-0827 |SWIFT J085429.35-082428.6   |Sy2  |VLT/X-shooter|0.188435|[OIII]            |0.1
 487|SWIFT J1007.4+6534 |1RXSJ100712.6+653511        |Sy1  |Palomar/DBSP |0.126589|[OIII]            |0.2
 494|SWIFT J1020.5-0237A|SDSS J102103.08-023642.6    |Sy2  |VLT/X-shooter|0.293645|[OIII]            |0.13
 510|SWIFT J1041.4-1740 |2MASX J10410120-1734300     |Sy2  |VLT/X-shooter|0.080844|[OIII]            |0.2
 660|SWIFT J1310.9-5553 |IGR J13109-5552             |BZQ  |VLT/X-shooter|1.55906 |MgII{lambda}2798  |1.1
 745|SWIFT J1449.5+8602 |2MASX J14545815+8554589     |Sy2  |Palomar/DBSP |0.111951|[OIII]            |0.5
 747|SWIFT J1451.0-5540B|LEDA 3085605                |Sy2  |VLT/X-shooter|0.018663|H{alpha}          |2.5
 756|SWIFT J1508.6-4953 |PMN J1508-4953              |BZQ  |VLT/X-shooter|1.520201|MgII{lambda}2798  |1.2
 761|SWIFT J1512.2-1053A|NVSS J151148-105023         |BZQ  |Palomar/DBSP |0.94672 |[OIII]            |0.34
 762|SWIFT J1512.2-1053B|2MASX J15120505-1046356     |Sy2  |VLT/X-shooter|0.165799|[OIII]            |0.3
 780|SWIFT J1548.1-6406 |SWIFT J1548.1-6406          |BZQ  |VLT/X-shooter|1.693124|[OIII]            |0.6
 792|SWIFT J1605.9-7250 |LEDA 259433                 |Sy2  |VLT/X-shooter|0.069271|[OIII]            |0.3
 894|SWIFT J1733.3+3635 |2MASX J17333689+3631319     |Sy1.9|Palomar/DBSP |0.043661|[OIII]            |0.1
 897|SWIFT J1737.7-5956A|1RXS J173751.2-600408       |BZQ  |VLT/X-shooter|3.656025|[OIII]            |0.2
 906|SWIFT J1742.1-6054 |PKS 1737-60                 |Sy1  |SOAR/GM      |0.152012|[OIII]            |0.2
 974|SWIFT J1825.7+7215 |LEDA 61865                  |Sy2  |Palomar/DBSP |0.110806|[OIII]            |0.2
1000|SWIFT J1852.2+8424A|SWIFT J185024.2+842240      |Sy1  |Palomar/DBSP |0.183122|[OIII]            |0.3
1001|SWIFT J1852.2+8424B|1RXS J184642.2+842506       |Sy1  |Palomar/DBSP |0.225381|[OIII]            |0.3
1007|SWIFT J1852.8+3002 |GALEXASC J185249.68+300425.8|Sy1.9|Palomar/DBSP |0.057301|[OIII]            |0.6
1066|SWIFT J2010.6-2521 |1RXS J201020.0-252356       |BZQ  |VLT/X-shooter|0.824924|[OIII]            |0.5
1075|SWIFT J2024.0-0246 |1RXS J202400.8-024527       |Sy1.9|VLT/X-shooter|0.137523|[OIII]            |0.2
1078|SWIFT J2029.4-6149 |2MASX J20293125-6149087     |Sy2  |VLT/X-shooter|0.124274|[OIII]            |0.2
1083|SWIFT J2034.0-0943 |2MASX J20341926-0945586     |Sy2  |VLT/X-shooter|0.081551|[OIII]            |0.2
1091|SWIFT J2048.4+3815 |1RXS J204826.8+381120       |Sy1  |Palomar/DBSP |0.105394|[OIII]            |2.8
1096|SWIFT J2059.6+4301B|SWIFT J210001.06+430209.6   |Sy2  |Palomar/DBSP |0.066023|[OIII]            |4.1
1105|SWIFT J2117.5+5139 |2MASX J21174741+5138523     |BZQ  |Palomar/DBSP |0.053392|[SII]{lambda}9531 |9.7
1130|SWIFT J2156.2+1724 |2MASX J21561518+1722525     |Sy1.8|VLT/X-shooter|0.03417 |[OIII]            |0.3
1164|SWIFT J2243.2-4539 |2MASX J22422135-4539093     |Sy1.9|VLT/X-shooter|0.120675|[OIII]            |0.
1208|SWIFT J2352.6-1707 |2MASX J23525143-1704370     |Sy1  |du Pont/BC   |0.054695|[OIII]            |0.1
