source_name,ra_deg,dec_deg,ns_hat,gamma_hat,neglog10_p_local,neglog10_p_local_sigma,phi90_E-2,phi90_E-3
NGC 1068,40.67,-0.01,102,3.4,6.6,5.0,6.6,385.6
PKS 1424+240,216.76,23.80,96,3.6,4.1,3.8,8.3,227.2
TXS 0506+056,77.36,5.70,5,1.9,3.4,3.3,5.2,249.5
GB6 J1542+6129,235.75,61.50,27,3.2,1.9,2.2,9.3,145.8
LQAC 284+003,284.48,3.22,14,2.6,1.6,1.9,3.4,178.5
S3 0458-02,75.30,-1.97,34,4.4,1.4,1.8,2.9,180.2
OJ 014,122.86,1.78,49,4.0,1.4,1.8,3.0,173.9
MITG J201534+3710,303.89,37.18,45,3.8,1.3,1.7,5.6,119.4
B2 0619+33,95.73,33.43,48,4.4,1.3,1.6,5.2,117.5
MGRO J1908+06,286.91,6.32,2,1.8,1.3,1.6,3.3,152.0
NGC 5380,209.33,37.50,12,2.7,1.2,1.6,5.4,115.2
B2 1215+30,184.48,30.12,20,3.0,1.2,1.6,4.9,117.6
NGC 2146,94.53,78.33,2,1.3,1.2,1.6,9.7,138.6
B3 0609+413,93.22,41.37,9,2.4,1.2,1.5,5.5,110.9
S2 0109+22,18.03,22.75,23,3.0,1.1,1.4,4.1,117.3
3C 454.3,343.50,16.15,2,1.6,1.1,1.4,3.7,124.9
B2 2234+28A,339.10,28.48,28,3.3,1.0,1.3,4.5,109.5
TXS 0603+476,91.86,47.66,35,4.4,1.0,1.3,5.5,102.7
S5 1044+71,162.11,71.73,45,4.4,0.9,1.2,8.6,111.1
M 31,10.82,41.24,20,3.5,0.9,1.2,4.8,96.1
PKS 1441+25,220.99,25.03,6,2.2,0.9,1.2,3.9,106.1
3C 273,187.27,2.05,34,4.4,0.9,1.1,2.4,129.0
7C 2010+4619,303.02,46.49,4,2.0,0.8,1.1,4.8,90.1
PKS 1502+106,226.10,10.50,7,2.3,0.8,1.0,2.9,114.5
B2 2308+34,347.77,34.42,27,3.8,0.8,1.0,4.2,90.3
TXS 0518+211,80.44,21.21,14,2.9,0.8,0.9,3.3,93.3
PKS 1717+177,259.81,17.75,28,3.7,0.8,0.9,3.2,99.2
PMN J0948+0022,147.24,0.37,23,4.4,0.7,0.9,2.1,120.0
TXS 1902+556,285.81,55.68,18,3.7,0.7,0.9,4.7,80.6
IC 678,168.56,6.63,15,2.8,0.7,0.8,2.5,106.6
4C +55.17,149.42,55.38,18,3.4,0.7,0.8,4.7,81.5
4C +38.41,248.82,38.14,4,2.4,0.7,0.8,3.9,79.3
PKS 0215+015,34.46,1.73,24,4.0,0.7,0.8,2.1,111.7
Mkn 421,166.12,38.21,12,2.8,0.7,0.8,3.9,78.9
NVSS J141826-023336,214.61,-2.56,11,4.4,0.6,0.8,2.0,120.9
OJ 287,133.71,20.12,24,4.4,0.6,0.7,3.0,84.5
SBS 0846+513,132.51,51.14,7,3.1,0.6,0.7,4.2,72.1
1ES 0647+250,102.70,25.05,23,4.4,0.6,0.6,3.1,81.7
PKS B1130+008,173.20,0.57,17,4.4,0.6,0.6,1.9,102.1
1ES 1959+650,300.01,65.15,6,2.8,0.6,0.6,5.6,77.1
BL Lac,330.69,42.28,16,3.7,0.6,0.6,3.7,72.1
PKS 0235+164,39.67,16.62,20,3.8,0.5,0.5,2.6,79.6
B2 0218+357,35.28,35.94,14,4.4,0.4,0.4,3.2,61.6
MITG J200112+4352,300.30,43.89,7,3.0,0.4,0.4,3.4,62.6
Ton 599,179.88,29.24,14,4.4,0.4,0.3,2.9,65.0
NGC 1275,49.96,41.51,7,3.2,0.4,0.3,3.2,59.7
TXS 1055+567,164.67,56.46,5,3.5,0.4,0.3,3.7,57.3
RX J1931.1+0937,292.78,9.63,12,4.4,0.4,0.3,2.1,76.6
4C +14.23,111.32,14.42,12,3.8,0.4,0.3,2.2,69.5
Arp 299,172.07,58.52,8,4.4,0.4,0.3,3.7,55.5
Mkn 501,253.47,39.76,9,4.4,0.4,0.2,3.0,55.1
S4 1250+53,193.31,53.02,5,4.4,0.4,0.2,3.4,51.2
4C +15.54,241.77,15.84,10,4.4,0.4,0.2,2.1,62.3
NVSS J184425+154646,281.12,15.79,7,4.4,0.3,0.1,2.1,61.0
B2 2114+33,319.06,33.66,3,2.8,0.3,0.1,2.7,50.6
4C +28.07,39.47,28.80,3,2.9,0.3,0.0,2.5,51.1
B3 1343+451,206.39,44.88,2,3.0,0.3,0.0,2.9,47.6
4C +41.11,65.98,41.83,1,3.0,0.3,0.0,2.8,45.5
PKS 0735+17,114.54,17.71,3,3.0,0.3,0.0,2.1,54.7
OX 169,325.89,17.73,4,4.4,0.3,0.0,2.0,53.1
M 82,148.95,69.67,4,4.4,0.3,0.0,4.1,47.0
MG2 J043337+2905,68.41,29.10,1,4.4,0.3,0.0,2.3,43.5
W Comae,185.38,28.24,0,-,0.3,0.0,2.2,44.5
S5 1803+784,270.17,78.47,0,-,0.0,0.0,6.1,80.9
PMN J0709-0255,107.45,-2.93,0,-,0.0,0.0,1.6,80.9
PKS 1216-010,184.64,-1.33,0,-,0.0,0.0,1.4,66.7
PKS 0422+00,66.19,0.60,0,-,0.0,0.0,1.4,67.1
PKS 0420-01,65.83,-1.33,0,-,0.0,0.0,1.4,68.1
OT 081,267.88,9.65,0,-,0.0,0.0,1.8,58.6
CTA 102,338.15,11.73,0,-,0.0,0.0,1.7,53.1
PKS 0336-01,54.88,-1.78,0,-,0.0,0.0,1.5,74.3
PKS 0736+01,114.82,1.62,0,-,0.0,0.0,1.4,62.1
PKS 0440-00,70.66,-0.30,0,-,0.0,0.0,1.4,62.5
1H 1720+117,261.27,11.87,0,-,0.0,0.0,1.7,52.2
4C +01.28,164.62,1.56,0,-,0.0,0.0,1.4,62.9
M 87,187.71,12.39,0,-,0.0,0.0,1.8,54.4
4C +01.02,17.17,1.58,0,-,0.0,0.0,1.4,64.5
OG 050,83.17,7.55,0,-,0.0,0.0,1.6,58.9
TXS 0141+268,26.15,27.09,0,-,0.0,0.0,2.2,47.1
RGB J2243+203,340.99,20.36,0,-,0.0,0.0,2.0,48.3
PKS 0829+046,127.97,4.49,0,-,0.0,0.0,1.6,61.3
MITG J123931+0443,189.89,4.73,0,-,0.0,0.0,1.5,59.2
PG 1553+113,238.93,11.19,0,-,0.0,0.0,1.7,53.4
PKS 2032+107,308.85,10.94,0,-,0.0,0.0,1.7,53.4
4C +21.35,186.23,21.38,0,-,0.0,0.0,1.9,47.0
PG 1218+304,185.34,30.17,0,-,0.0,0.0,2.2,45.5
RX J1754.1+3212,268.55,32.20,0,-,0.0,0.0,2.3,45.8
Arp 220,233.70,23.53,0,-,0.0,0.0,2.1,46.8
MITG J021114+1051,32.81,10.86,0,-,0.0,0.0,1.7,52.7
87GB 194024.3+102612,295.70,10.56,0,-,0.0,0.0,1.7,54.4
PKS 0502+049,76.34,5.00,0,-,0.0,0.0,1.5,56.7
1ES 0033+595,8.98,59.83,0,-,0.0,0.0,3.6,49.2
NGC 3424,162.91,32.89,0,-,0.0,0.0,2.3,45.5
GB6 J1037+5711,159.43,57.19,0,-,0.0,0.0,3.3,46.8
ON 246,187.56,25.30,0,-,0.0,0.0,2.1,43.4
PKS 1502+036,226.27,3.45,0,-,0.0,0.0,1.5,59.0
PKS 0507+17,77.52,18.01,0,-,0.0,0.0,1.8,47.0
B2 1520+31,230.55,31.74,0,-,0.0,0.0,2.3,45.2
PG 1246+586,192.08,58.34,0,-,0.0,0.0,3.3,46.3
1ES 0806+524,122.46,52.31,0,-,0.0,0.0,3.1,45.8
PKS 0019+058,5.64,6.13,0,-,0.0,0.0,1.5,56.0
TXS 2241+406,341.06,40.96,0,-,0.0,0.0,2.6,44.6
TXS 1452+516,223.62,51.41,0,-,0.0,0.0,3.0,43.7
1H 1013+498,153.77,49.43,0,-,0.0,0.0,2.9,44.8
B3 0133+388,24.14,39.10,0,-,0.0,0.0,2.5,44.0
S4 0814+42,124.56,42.38,0,-,0.0,0.0,2.6,42.4
S4 0917+44,140.23,44.70,0,-,0.0,0.0,2.6,40.7
3C 66A,35.67,43.04,0,-,0.0,0.0,2.6,43.0
S4 1749+70,267.16,70.10,0,-,0.0,0.0,3.7,41.6
S5 0716+71,110.49,71.34,0,-,0.0,0.0,3.5,37.9
