source_name,ra_deg,dec_deg,F_intr_20-50keV_1e-11_erg_cm2_s,pl_ns_hat,pl_gamma_hat,pl_neglog10_p_local,pl_neglog10_p_local_sigma,pl_phi90_E-2,pl_phi90_E-3,cc_ns_hat,cc_neglog10_p_local,cc_neglog10_p_local_sigma,cc_ns_90pct_UL,in_47_source_sample
NGC 1068*,40.67,-0.01,7.72,102,3.4,6.6,5.0,6.6,385.6,48,5.8,4.7,73.0,0
NGC 7469,345.82,8.87,2.69,5,1.9,4.1,3.8,6.3,265.7,7,0.9,1.1,58.0,1
NGC 4151*,182.64,39.41,18.09,28,2.7,2.9,3.1,8.5,178.1,23,3.0,3.1,45.5,1
CGCG 420-015*,73.36,4.06,1.77,35,2.7,2.4,2.7,4.3,222.1,33,3.4,3.4,46.3,1
Cygnus A*,299.87,40.73,4.93,3,1.6,2.2,2.5,7.5,153.8,1,0.5,0.5,34.2,1
LEDA 166445,42.68,54.70,1.61,57,4.4,1.8,2.1,7.6,136.9,0,0.0,0.0,30.4,1
NGC 4992,197.27,11.63,2.34,27,2.9,1.6,2.0,4.1,162.0,22,2.5,2.7,35.7,1
NGC 1194*,45.95,-1.10,3.87,43,4.4,1.5,1.8,3.0,182.0,1,0.4,0.3,32.8,1
Mrk 1498,247.02,51.78,1.86,40,3.6,1.4,1.7,6.5,120.5,8,1.0,1.3,25.3,1
MCG +4-48-2*,307.15,25.73,4.32,37,3.2,1.4,1.7,4.9,130.3,17,1.6,2.0,31.0,1
NGC 3079,150.49,55.68,3.33,34,3.6,1.3,1.7,6.6,117.2,16,1.3,1.6,36.9,1
Mrk 417,162.38,22.96,1.73,4,1.9,1.3,1.6,4.4,127.6,5,1.0,1.3,28.3,1
Q0241+622,41.24,62.47,3.45,17,2.8,1.2,1.6,7.8,118.7,14,1.9,2.3,23.6,1
LEDA 138501,32.41,52.44,1.95,34,4.4,1.0,1.2,5.4,97.5,0,0.0,0.0,21.2,1
LEDA 86269,71.04,28.22,1.76,39,4.4,1.0,1.2,4.3,104.5,0,0.0,0.0,26.3,1
NGC 5252,204.57,4.54,3.65,32,3.6,0.9,1.1,2.6,125.4,7,0.7,0.9,28.1,1
3C 382*,278.76,32.70,2.62,33,4.4,0.9,1.1,4.2,93.7,0,0.0,0.0,23.3,1
NGC 4388*,186.44,12.66,10.79,2,2.0,0.8,1.0,3.0,111.2,0,0.0,0.0,26.0,1
LEDA 168563,73.02,49.55,2.15,2,1.8,0.8,1.0,4.9,88.3,2,0.6,0.7,19.5,1
Ark 120,79.05,-0.15,2.75,27,4.4,0.8,0.9,2.2,124.4,0,0.0,0.0,24.3,1
Z164-19*,221.40,27.03,8.81,3,1.9,0.7,0.9,3.6,89.5,0,0.0,0.0,22.5,1
3C 445,335.96,-2.10,2.02,14,4.4,0.7,0.8,2.0,124.1,2,0.5,0.5,20.4,1
NGC 5548,214.50,25.14,2.70,17,3.2,0.7,0.8,3.4,85.8,7,0.9,1.2,22.1,1
