source,dc_n_exp,dc_ns_hat,dc_neglog10_p,dc_n_UL,pl_ns_hat,pl_gamma_hat,pl_neglog10_p,pl_phi90_E-2_1e-11,pl_phi90_E-3_1e-11
Centaurus A,2.5,0.0,0.0,4.6,0.0,4.0,0.0,1.0,22.1
Circinus Galaxy,1.7,3.6,2.5,10.0,3.1,2.5,2.9,2.3,63.8
NGC 7582,0.8,1.1,1.3,5.1,1.7,4.0,1.3,1.1,25.6
ESO 138-1,0.6,1.7,1.5,5.7,1.9,3.6,1.2,1.1,29.7
NGC 4945,0.2,0.0,0.0,3.2,0.0,4.0,0.0,0.6,15.8
NGC 424,0.2,0.0,0.0,3.1,0.0,2.2,0.0,0.6,14.8
NGC 4593,0.2,0.9,0.6,3.5,0.6,2.9,0.4,0.6,8.9
MCG-5-23-16,0.1,0.0,0.0,3.1,1.0,1.7,1.0,1.0,22.6
NGC 3783,0.1,0.0,0.0,3.3,0.0,4.0,0.0,0.7,15.8
IC4329A,0.1,0.0,0.0,3.1,0.0,3.8,0.0,0.7,15.3
NGC 4507,0.1,0.0,0.0,3.1,0.0,3.8,0.0,0.7,15.1
NGC 5728,0.1,1.1,0.9,3.9,1.9,4.0,0.9,0.9,16.9
NGC 5643,0.1,0.0,0.0,3.2,0.0,4.0,0.0,0.6,15.2
NGC 3081,0.1,0.0,0.0,3.5,0.0,4.0,0.0,0.8,16.1
