row,n_exp,TS,ns_hat,gamma_hat,p_pre,p_pre_sigma,p_post,p_post_sigma,UL_90pct
Disk-corona,,,,,,,,,n_s
Circinus Galaxy,1.7,6.7,3.6,-,0.003,2.7,-,,10.0
ESO 138-1,0.6,3.0,1.7,-,0.03,1.9,-,,5.7
NGC 7582,0.8,1.4,1.1,-,0.05,1.6,-,,5.1
Power-law,,,,,,,,,(TeV^-1 cm^-2 s^-1 at 1\ TeV)
Circinus Galaxy,-,10.4,3.1,2.5,0.001,3.1,0.033,1.8,6.38 e-10
NGC 7582,-,1.7,1.7,4.0,0.05,1.6,-,,2.56 e-10
ESO 138-1,-,3.0,1.9,3.6,0.06,1.6,-,,2.97 e-10
Stacked sources,,,,,,,,,n_s
13 sources w/o CenA,4.7,7.8,6.7,-,0.0013,3.0,-,,14.3
