bin_index,Dec_nu_min_deg,Dec_nu_max_deg,rows_per_bin_per_config
0,-90.000000,-67.668355,112000
1,-67.668355,-58.211669,112000
2,-58.211669,-50.805033,112000
3,-50.805033,-44.427004,112000
4,-44.427004,-38.682187,112000
5,-38.682187,-33.367013,112000
6,-33.367013,-28.359350,112000
7,-28.359350,-23.578178,112000
8,-23.578178,-18.965575,112000
9,-18.965575,-14.477512,112000
10,-14.477512,-13.002878,112000
11,-13.002878,-11.536959,112000
12,-11.536959,-10.078658,112000
13,-10.078658,-8.626927,112000
14,-8.626927,-7.180756,112000
15,-7.180756,-5.739170,112000
16,-5.739170,-4.301222,112000
17,-4.301222,-2.865984,112000
18,-2.865984,-1.432544,112000
19,-1.432544,0.000000,112000
20,0.000000,5.739170,112000
21,5.739170,11.536959,112000
22,11.536959,17.457603,112000
23,17.457603,23.578178,112000
24,23.578178,30.000000,112000
25,30.000000,36.869898,112000
26,36.869898,44.427004,112000
27,44.427004,53.130102,112000
28,53.130102,64.158067,112000
29,64.158067,90.000000,112000
