source,catalogue,ra_deg,dec_deg,smearing_decbin_index,decbin_min_deg,decbin_max_deg,edge_warning
NGC 1068*,2510.13403 X-ray-bright AGN,40.67,-0.0100,19,-1.432544,0.000000,WITHIN_0.25deg_OF_BIN_EDGE
NGC 7469,2510.13403 X-ray-bright AGN,345.82,8.8700,21,5.739170,11.536959,
NGC 4151*,2510.13403 X-ray-bright AGN,182.64,39.4100,26,36.869898,44.427004,
CGCG 420-015*,2510.13403 X-ray-bright AGN,73.36,4.0600,20,0.000000,5.739170,
Cygnus A*,2510.13403 X-ray-bright AGN,299.87,40.7300,26,36.869898,44.427004,
LEDA 166445,2510.13403 X-ray-bright AGN,42.68,54.7000,28,53.130102,64.158067,
NGC 4992,2510.13403 X-ray-bright AGN,197.27,11.6300,22,11.536959,17.457603,WITHIN_0.25deg_OF_BIN_EDGE
NGC 1194*,2510.13403 X-ray-bright AGN,45.95,-1.1000,19,-1.432544,0.000000,
Mrk 1498,2510.13403 X-ray-bright AGN,247.02,51.7800,27,44.427004,53.130102,
MCG +4-48-2*,2510.13403 X-ray-bright AGN,307.15,25.7300,24,23.578178,30.000000,
NGC 3079,2510.13403 X-ray-bright AGN,150.49,55.6800,28,53.130102,64.158067,
Mrk 417,2510.13403 X-ray-bright AGN,162.38,22.9600,23,17.457603,23.578178,
Q0241+622,2510.13403 X-ray-bright AGN,41.24,62.4700,28,53.130102,64.158067,
LEDA 138501,2510.13403 X-ray-bright AGN,32.41,52.4400,27,44.427004,53.130102,
LEDA 86269,2510.13403 X-ray-bright AGN,71.04,28.2200,24,23.578178,30.000000,
NGC 5252,2510.13403 X-ray-bright AGN,204.57,4.5400,20,0.000000,5.739170,
3C 382*,2510.13403 X-ray-bright AGN,278.76,32.7000,25,30.000000,36.869898,
NGC 4388*,2510.13403 X-ray-bright AGN,186.44,12.6600,22,11.536959,17.457603,
LEDA 168563,2510.13403 X-ray-bright AGN,73.02,49.5500,27,44.427004,53.130102,
Ark 120,2510.13403 X-ray-bright AGN,79.05,-0.1500,19,-1.432544,0.000000,WITHIN_0.25deg_OF_BIN_EDGE
Z164-19*,2510.13403 X-ray-bright AGN,221.40,27.0300,24,23.578178,30.000000,
3C 445,2510.13403 X-ray-bright AGN,335.96,-2.1000,18,-2.865984,-1.432544,
NGC 5548,2510.13403 X-ray-bright AGN,214.50,25.1400,24,23.578178,30.000000,
Mrk 6,2510.13403 X-ray-bright AGN,103.05,74.4300,29,64.158067,90.000000,
NGC 3516*,2510.13403 X-ray-bright AGN,166.70,72.5700,29,64.158067,90.000000,
UGC 11910*,2510.13403 X-ray-bright AGN,331.76,10.2300,21,5.739170,11.536959,
4C +50.55*,2510.13403 X-ray-bright AGN,321.16,50.9700,27,44.427004,53.130102,
IGR J21277+5656,2510.13403 X-ray-bright AGN,321.94,56.9400,28,53.130102,64.158067,
Mrk 1040*,2510.13403 X-ray-bright AGN,37.06,31.3100,25,30.000000,36.869898,
3C 111*,2510.13403 X-ray-bright AGN,64.59,38.0300,26,36.869898,44.427004,
Mrk 1210*,2510.13403 X-ray-bright AGN,121.02,5.1100,20,0.000000,5.739170,
NGC 1142,2510.13403 X-ray-bright AGN,43.80,-0.1800,19,-1.432544,0.000000,WITHIN_0.25deg_OF_BIN_EDGE
NGC 7682*,2510.13403 X-ray-bright AGN,352.27,3.5300,20,0.000000,5.739170,
NGC 7603,2510.13403 X-ray-bright AGN,349.74,0.2400,20,0.000000,5.739170,WITHIN_0.25deg_OF_BIN_EDGE
3C 390.3*,2510.13403 X-ray-bright AGN,280.54,79.7700,29,64.158067,90.000000,
4C +74.26,2510.13403 X-ray-bright AGN,310.66,75.1300,29,64.158067,90.000000,
NGC 6240*,2510.13403 X-ray-bright AGN,253.25,2.4000,20,0.000000,5.739170,
NGC 3227*,2510.13403 X-ray-bright AGN,155.88,19.8700,23,17.457603,23.578178,
IRAS 05589+2828,2510.13403 X-ray-bright AGN,90.54,28.4700,24,23.578178,30.000000,
Mrk 79,2510.13403 X-ray-bright AGN,115.64,49.8100,27,44.427004,53.130102,
\ \ \ \ \ \ \ \ \ \ +2523010*,2510.13403 X-ray-bright AGN,303.75,25.3800,24,23.578178,30.000000,
IRAS 05078+1626*,2510.13403 X-ray-bright AGN,77.69,16.5000,22,11.536959,17.457603,
Mrk 110*,2510.13403 X-ray-bright AGN,141.30,52.2900,27,44.427004,53.130102,
NGC 4102,2510.13403 X-ray-bright AGN,181.60,52.7100,27,44.427004,53.130102,
NGC 7319,2510.13403 X-ray-bright AGN,339.01,33.9800,25,30.000000,36.869898,
NGC 4051,2510.13403 X-ray-bright AGN,180.79,44.5300,27,44.427004,53.130102,WITHIN_0.25deg_OF_BIN_EDGE
UGC 3374*,2510.13403 X-ray-bright AGN,88.72,46.4400,27,44.427004,53.130102,
Mrk 3*,2510.13403 X-ray-bright AGN,93.90,71.0400,29,64.158067,90.000000,
NGC 1068,2510.13403 gamma-ray emitters,40.67,-0.0100,19,-1.432544,0.000000,WITHIN_0.25deg_OF_BIN_EDGE
PKS 1424+240,2510.13403 gamma-ray emitters,216.76,23.8000,24,23.578178,30.000000,WITHIN_0.25deg_OF_BIN_EDGE
TXS 0506+056,2510.13403 gamma-ray emitters,77.36,5.7000,20,0.000000,5.739170,WITHIN_0.25deg_OF_BIN_EDGE
GB6 J1542+6129,2510.13403 gamma-ray emitters,235.75,61.5000,28,53.130102,64.158067,
LQAC 284+003,2510.13403 gamma-ray emitters,284.48,3.2200,20,0.000000,5.739170,
S3 0458-02,2510.13403 gamma-ray emitters,75.30,-1.9700,18,-2.865984,-1.432544,
OJ 014,2510.13403 gamma-ray emitters,122.86,1.7800,20,0.000000,5.739170,
MITG J201534+3710,2510.13403 gamma-ray emitters,303.89,37.1800,26,36.869898,44.427004,
B2 0619+33,2510.13403 gamma-ray emitters,95.73,33.4300,25,30.000000,36.869898,
MGRO J1908+06,2510.13403 gamma-ray emitters,286.91,6.3200,21,5.739170,11.536959,
NGC 5380,2510.13403 gamma-ray emitters,209.33,37.5000,26,36.869898,44.427004,
B2 1215+30,2510.13403 gamma-ray emitters,184.48,30.1200,25,30.000000,36.869898,WITHIN_0.25deg_OF_BIN_EDGE
NGC 2146,2510.13403 gamma-ray emitters,94.53,78.3300,29,64.158067,90.000000,
B3 0609+413,2510.13403 gamma-ray emitters,93.22,41.3700,26,36.869898,44.427004,
S2 0109+22,2510.13403 gamma-ray emitters,18.03,22.7500,23,17.457603,23.578178,
3C 454.3,2510.13403 gamma-ray emitters,343.50,16.1500,22,11.536959,17.457603,
B2 2234+28A,2510.13403 gamma-ray emitters,339.10,28.4800,24,23.578178,30.000000,
TXS 0603+476,2510.13403 gamma-ray emitters,91.86,47.6600,27,44.427004,53.130102,
S5 1044+71,2510.13403 gamma-ray emitters,162.11,71.7300,29,64.158067,90.000000,
M 31,2510.13403 gamma-ray emitters,10.82,41.2400,26,36.869898,44.427004,
PKS 1441+25,2510.13403 gamma-ray emitters,220.99,25.0300,24,23.578178,30.000000,
3C 273,2510.13403 gamma-ray emitters,187.27,2.0500,20,0.000000,5.739170,
7C 2010+4619,2510.13403 gamma-ray emitters,303.02,46.4900,27,44.427004,53.130102,
PKS 1502+106,2510.13403 gamma-ray emitters,226.10,10.5000,21,5.739170,11.536959,
B2 2308+34,2510.13403 gamma-ray emitters,347.77,34.4200,25,30.000000,36.869898,
TXS 0518+211,2510.13403 gamma-ray emitters,80.44,21.2100,23,17.457603,23.578178,
PKS 1717+177,2510.13403 gamma-ray emitters,259.81,17.7500,23,17.457603,23.578178,
PMN J0948+0022,2510.13403 gamma-ray emitters,147.24,0.3700,20,0.000000,5.739170,
TXS 1902+556,2510.13403 gamma-ray emitters,285.81,55.6800,28,53.130102,64.158067,
IC 678,2510.13403 gamma-ray emitters,168.56,6.6300,21,5.739170,11.536959,
4C +55.17,2510.13403 gamma-ray emitters,149.42,55.3800,28,53.130102,64.158067,
4C +38.41,2510.13403 gamma-ray emitters,248.82,38.1400,26,36.869898,44.427004,
PKS 0215+015,2510.13403 gamma-ray emitters,34.46,1.7300,20,0.000000,5.739170,
Mkn 421,2510.13403 gamma-ray emitters,166.12,38.2100,26,36.869898,44.427004,
NVSS J141826-023336,2510.13403 gamma-ray emitters,214.61,-2.5600,18,-2.865984,-1.432544,
OJ 287,2510.13403 gamma-ray emitters,133.71,20.1200,23,17.457603,23.578178,
SBS 0846+513,2510.13403 gamma-ray emitters,132.51,51.1400,27,44.427004,53.130102,
1ES 0647+250,2510.13403 gamma-ray emitters,102.70,25.0500,24,23.578178,30.000000,
PKS B1130+008,2510.13403 gamma-ray emitters,173.20,0.5700,20,0.000000,5.739170,
