group	kind	band	execution_block	filename	bytes	http	last_modified	etag	url
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X8fd70d/X1484	2011.0.00016.SV_uid___A002_X8fd70d_X1484.asdm.sdm.tar	4957810688	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X8fd70d_X1484.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X8fd70d/X188b	2011.0.00016.SV_uid___A002_X8fd70d_X188b.asdm.sdm.tar	3655892992	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X8fd70d_X188b.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X907514/X11d6	2011.0.00016.SV_uid___A002_X907514_X11d6.asdm.sdm.tar	6338478080	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X907514_X11d6.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X91068d/Xa1e	2011.0.00016.SV_uid___A002_X91068d_Xa1e.asdm.sdm.tar	7066663936	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91068d_Xa1e.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X91068d/Xc50	2011.0.00016.SV_uid___A002_X91068d_Xc50.asdm.sdm.tar	4931837952	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91068d_Xc50.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X91068d/Xead	2011.0.00016.SV_uid___A002_X91068d_Xead.asdm.sdm.tar	6465080320	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91068d_Xead.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X915f1c/X5d0	2011.0.00016.SV_uid___A002_X915f1c_X5d0.asdm.sdm.tar	4681423872	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X915f1c_X5d0.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X915f1c/X8be	2011.0.00016.SV_uid___A002_X915f1c_X8be.asdm.sdm.tar	4954334208	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X915f1c_X8be.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X916b15/X1716	2011.0.00016.SV_uid___A002_X916b15_X1716.asdm.sdm.tar	5269903360	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X916b15_X1716.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X91dc9f/X2eb	2011.0.00016.SV_uid___A002_X91dc9f_X2eb.asdm.sdm.tar	10409178112	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91dc9f_X2eb.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X91dc9f/X517	2011.0.00016.SV_uid___A002_X91dc9f_X517.asdm.sdm.tar	10653729792	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91dc9f_X517.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X91dc9f/Xb6	2011.0.00016.SV_uid___A002_X91dc9f_Xb6.asdm.sdm.tar	12059377664	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91dc9f_Xb6.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X91f01f/X5e6	2011.0.00016.SV_uid___A002_X91f01f_X5e6.asdm.sdm.tar	9562237952	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91f01f_X5e6.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X91f01f/X812	2011.0.00016.SV_uid___A002_X91f01f_X812.asdm.sdm.tar	9562328064	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X91f01f_X812.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X920302/X1059	2011.0.00016.SV_uid___A002_X920302_X1059.asdm.sdm.tar	11389420544	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X920302_X1059.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X920302/X1336	2011.0.00016.SV_uid___A002_X920302_X1336.asdm.sdm.tar	11342030848	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X920302_X1336.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X920302/X1562	2011.0.00016.SV_uid___A002_X920302_X1562.asdm.sdm.tar	11698390016	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X920302_X1562.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X920302/Xe29	2011.0.00016.SV_uid___A002_X920302_Xe29.asdm.sdm.tar	11389438976	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X920302_Xe29.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X923b56/X43c	2011.0.00016.SV_uid___A002_X923b56_X43c.asdm.sdm.tar	10697946112	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X923b56_X43c.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	6	uid://A002/X923b56/X65f	2011.0.00016.SV_uid___A002_X923b56_X65f.asdm.sdm.tar	10697825280	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X923b56_X65f.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X924c91/X12c	2011.0.00016.SV_uid___A002_X924c91_X12c.asdm.sdm.tar	15099610112	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X924c91_X12c.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X924c91/X34f	2011.0.00016.SV_uid___A002_X924c91_X34f.asdm.sdm.tar	15099683840	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X924c91_X34f.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X924c91/X572	2011.0.00016.SV_uid___A002_X924c91_X572.asdm.sdm.tar	15099720704	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X924c91_X572.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X924c91/X847	2011.0.00016.SV_uid___A002_X924c91_X847.asdm.sdm.tar	14154798080	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X924c91_X847.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	4	uid://A002/X924c91/Xa47	2011.0.00016.SV_uid___A002_X924c91_Xa47.asdm.sdm.tar	15247220736	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X924c91_Xa47.asdm.sdm.tar
ASA_dataPortal	ASDM_SEMIPASS	7	uid://A002/X925649/Xa99	2011.0.00016.SV_uid___A002_X925649_Xa99.asdm.sdm.tar	8669876224	200			https://almascience.eso.org/dataPortal/2011.0.00016.SV_uid___A002_X925649_Xa99.asdm.sdm.tar
