epoch_date,vlba_segment,paper_epoch_label,lens_image,band,freq_ghz,flux_mJy,flux_err_mJy,beam_maj_mas,beam_min_mas
2012-09-24,BC214A,,A,S,2.3,805,65,7.8,2.9
2012-09-24,BC214A,,A,X,8.4,677,48,2.0,0.7
2012-09-24,BC214A,,A,K,22.0,499,50,0.8,0.3
2012-09-24,BC214A,,B,S,2.3,304,22,7.8,2.9
2012-09-24,BC214A,,B,X,8.4,227,16,2.0,0.7
2012-09-24,BC214A,,B,K,22.0,143,11,0.8,0.3
2012-09-27,BC214B,,A,K,22.0,516,52,0.8,0.3
2012-09-27,BC214B,,B,K,22.0,142,14,0.8,0.3
2012-10-02,BC214C,,A,S,2.3,807,57,7.8,2.9
2012-10-02,BC214C,,A,X,8.4,643,51,2.0,0.7
2012-10-02,BC214C,,A,K,22.0,622,62,0.8,0.3
2012-10-02,BC214C,,B,S,2.3,322,23,7.8,2.9
2012-10-02,BC214C,,B,X,8.4,205,16,2.0,0.7
2012-10-02,BC214C,,B,K,22.0,177,18,0.8,0.3
2012-10-05,BC214D,,A,K,22.0,659,66,0.8,0.3
2012-10-05,BC214D,,B,K,22.0,183,18,0.8,0.3
2012-10-09,BC214E,6/10/2012,A,K,22.0,648,65,0.8,0.3
2012-10-09,BC214E,6/10/2012,B,K,22.0,179,18,0.8,0.3
2012-10-12,BC214F,,A,K,22.0,634,63,0.8,0.3
2012-10-12,BC214F,,B,K,22.0,187,19,0.8,0.3
2012-10-15,BC214G,,A,K,22.0,632,63,0.8,0.3
2012-10-15,BC214G,,B,K,22.0,164,16,0.8,0.3
2012-10-19,BC214H,,A,K,22.0,628,63,0.8,0.3
2012-10-19,BC214H,,B,K,22.0,184,18,0.8,0.3
2012-10-23,BC214I,,A,S,2.3,840,59,7.8,2.9
2012-10-23,BC214I,,A,X,8.4,690,55,2.0,0.7
2012-10-23,BC214I,,A,K,22.0,618,62,0.8,0.3
2012-10-23,BC214I,,B,S,2.3,315,22,7.8,2.9
2012-10-23,BC214I,,B,X,8.4,235,19,2.0,0.7
2012-10-23,BC214I,,B,K,22.0,178,18,0.8,0.3
2012-10-26,BC214J,,A,K,22.0,613,61,0.8,0.3
2012-10-26,BC214J,,B,K,22.0,185,19,0.8,0.3
2012-10-31,BC214K,,A,K,22.0,597,60,0.8,0.3
2012-10-31,BC214K,,B,K,22.0,167,17,0.8,0.3
2012-11-05,BC214L,,A,K,22.0,652,65,0.8,0.3
2012-11-05,BC214L,,B,K,22.0,171,17,0.8,0.3
2012-11-13,BC214M,,A,K,22.0,652,65,0.8,0.3
2012-11-13,BC214M,,B,K,22.0,160,16,0.8,0.3
2012-11-15,BC214N,,A,K,22.0,611,61,0.8,0.3
2012-11-15,BC214N,,B,K,22.0,171,17,0.8,0.3
2012-11-21,BC214O,,A,K,22.0,643,64,0.8,0.3
2012-11-21,BC214O,,B,K,22.0,160,16,0.8,0.3
2012-11-25,BC214P,,A,S,2.3,847,60,7.8,2.9
2012-11-25,BC214P,,A,X,8.4,652,52,2.0,0.7
2012-11-25,BC214P,,A,K,22.0,593,60,0.8,0.3
2012-11-25,BC214P,,B,S,2.3,303,21,7.8,2.9
2012-11-25,BC214P,,B,X,8.4,213,21,2.0,0.7
2012-11-25,BC214P,,B,K,22.0,173,17,0.8,0.3
