epoch_date,band,freq_ghz,S_A_mJy,S_B_mJy,ratio_A_over_B,ratio_err
2012-09-24,S,2.3,805,304,2.64803,0.28712
2012-09-24,X,8.4,677,227,2.98238,0.29816
2012-09-24,K,22.0,499,143,3.48951,0.4408
2012-09-27,K,22.0,516,142,3.6338,0.5123
2012-10-02,S,2.3,807,322,2.50621,0.25176
2012-10-02,X,8.4,643,205,3.13659,0.34903
2012-10-02,K,22.0,622,177,3.51412,0.50041
2012-10-05,K,22.0,659,183,3.60109,0.5055
2012-10-09,K,22.0,648,179,3.62011,0.51418
2012-10-12,K,22.0,634,187,3.39037,0.48183
2012-10-15,K,22.0,632,164,3.85366,0.53751
2012-10-19,K,22.0,628,184,3.41304,0.47824
2012-10-23,S,2.3,840,315,2.66667,0.26414
2012-10-23,X,8.4,690,235,2.93617,0.33336
2012-10-23,K,22.0,618,178,3.47191,0.49456
2012-10-26,K,22.0,613,185,3.31351,0.47385
2012-10-31,K,22.0,597,167,3.57485,0.51138
2012-11-05,K,22.0,652,171,3.81287,0.53682
2012-11-13,K,22.0,652,160,4.075,0.57541
2012-11-15,K,22.0,611,171,3.5731,0.50342
2012-11-21,K,22.0,643,160,4.01875,0.56701
2012-11-25,S,2.3,847,303,2.79538,0.27703
2012-11-25,X,8.4,652,213,3.06103,0.38817
2012-11-25,K,22.0,593,173,3.42775,0.48347
