vlba_segment,obs_start,obs_stop,obs_band,segment_bands,obs_id,eb_id,sci_prod_locator,dataproduct_type,cal_status,data_rights,num_antennas,num_scans,access_estsize_bytes,segment_size_bytes,obs_release_date,instrument_name,pi,project_code
BC214A,2012-09-24T06:30:01Z,2012-09-24T08:27:18Z,S,K|S,VLBA_BC214A_bc214a_BIN0_SRC0_0_121005T172438.idifits,484676,uid://vlba/correlation/dbb0fa70-af4e-4120-b906-ee37997bf981,correlation,Do Not Calibrate,PUBLIC,10,5,371998080,591672960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214A,2012-09-24T06:34:22Z,2012-09-24T08:31:38Z,K,K|S,VLBA_BC214A_bc214a_BIN0_SRC0_1_121005T172438.idifits,484646,uid://vlba/correlation/6582b14d-fae7-4405-af4e-44d5e165d8ad,correlation,Do Not Calibrate,PUBLIC,10,5,174188160,591672960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214A,2012-09-24T06:34:22Z,2012-09-24T08:19:02Z,K,K|S,VLBA_BC214A_bc214a_BIN0_SRC1_0_121005T172438.idifits,484602,uid://vlba/correlation/c5b76236-2b22-4ba7-9aaf-808c9d3ab0b1,correlation,Do Not Calibrate,PUBLIC,10,1,45486720,591672960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214B,2012-09-27T06:30:01Z,2012-09-27T07:25:59Z,K,K,VLBA_BC214B_bc214b_BIN0_SRC0_0_121005T214853.idifits,484557,uid://vlba/correlation/4feb6d0c-d425-44a9-be1e-402c7cc048d7,correlation,Do Not Calibrate,PUBLIC,10,5,373132800,621768960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214B,2012-09-27T06:30:01Z,2012-09-27T07:25:59Z,K,K,VLBA_BC214B_bc214b_BIN0_SRC1_0_121005T214853.idifits,484540,uid://vlba/correlation/f2b83bca-1264-416d-9ea5-afa732dfd66c,correlation,Do Not Calibrate,PUBLIC,10,1,248636160,621768960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214C,2012-10-02T06:45:01.024Z,2012-10-02T08:42:17.687Z,S,K|S,VLBA_BC214C_bc214c_BIN0_SRC0_0_121015T234003.idifits,484817,uid://vlba/correlation/0b6ab26f-fb1c-4e3d-b879-6db1e36dd6ca,correlation,Do Not Calibrate,PUBLIC,10,5,360673920,1014739200,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214C,2012-10-02T06:49:20.120Z,2012-10-02T08:46:37.687Z,K,K|S,VLBA_BC214C_bc214c_BIN0_SRC0_1_121015T234003.idifits,484739,uid://vlba/correlation/9337e76f-3e2b-402d-9050-ce28bf843b7e,correlation,Do Not Calibrate,PUBLIC,10,5,389903040,1014739200,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214C,2012-10-02T06:49:22.168Z,2012-10-02T08:46:37.687Z,K,K|S,VLBA_BC214C_bc214c_BIN0_SRC1_0_121015T234003.idifits,484735,uid://vlba/correlation/84b824e7-e10c-4c80-854e-cd0840e58124,correlation,Do Not Calibrate,PUBLIC,10,1,264162240,1014739200,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214D,2012-10-05T06:30:01.023Z,2012-10-05T07:29:58.560Z,K,K,VLBA_BC214D_bc214d_BIN0_SRC0_0_121016T145533.idifits,484632,uid://vlba/correlation/4e8cdbcf-1279-4340-95c1-d3264a837245,correlation,Do Not Calibrate,PUBLIC,10,5,390585600,655058880,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214D,2012-10-05T06:30:01.023Z,2012-10-05T07:29:58.560Z,K,K,VLBA_BC214D_bc214d_BIN0_SRC1_0_121016T145533.idifits,484626,uid://vlba/correlation/f0c4d81b-2f96-4869-b569-603cee17ecd7,correlation,Do Not Calibrate,PUBLIC,10,1,264473280,655058880,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214E,2012-10-09T06:15:00.999Z,2012-10-09T07:14:59Z,K,K,VLBA_BC214E_bc214e_BIN0_SRC0_0_121023T000148.idifits,469252,uid://vlba/correlation/660a2741-a017-4d30-bdf5-d48b8103f2e3,correlation,Do Not Calibrate,PUBLIC,10,5,394413120,394413120,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214F,2012-10-12T06:30:01Z,2012-10-12T07:29:59Z,K,K,VLBA_BC214F_bc214f_BIN0_SRC0_0_121023T204406.idifits,469124,uid://vlba/correlation/5c739247-daae-4088-a1db-4495bae43434,correlation,Do Not Calibrate,PUBLIC,10,5,396731520,396731520,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214G,2012-10-15T10:30:00.999Z,2012-10-15T11:29:58.999Z,K,K,VLBA_BC214G_bc214g_BIN0_SRC0_0_121029T202049.idifits,462834,uid://vlba/correlation/2aa3fef4-1809-445e-a4d5-abd70d4375ec,correlation,Do Not Calibrate,PUBLIC,10,5,392578560,392578560,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214H,2012-10-19T06:30:01Z,2012-10-19T07:29:59Z,K,K,VLBA_BC214H_bc214h_BIN0_SRC0_0_121106T155919.idifits,460498,uid://vlba/correlation/975b6a3e-0e43-47ce-ad24-1e15c4173caa,correlation,Do Not Calibrate,PUBLIC,10,5,396339840,396339840,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214I,2012-10-23T05:00:01Z,2012-10-23T06:57:18Z,S,K|S,VLBA_BC214I_bc214i_BIN0_SRC0_0_121101T144557.idifits,462086,uid://vlba/correlation/7b9a3b02-8134-4818-a60e-5ef86a8ae85e,correlation,Do Not Calibrate,PUBLIC,10,5,369800640,768939840,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214I,2012-10-23T05:04:22Z,2012-10-23T07:01:38Z,K,K|S,VLBA_BC214I_bc214i_BIN0_SRC0_1_121101T144557.idifits,462083,uid://vlba/correlation/69bf7746-8745-4b97-a1f8-23efa55f5840,correlation,Do Not Calibrate,PUBLIC,10,5,399139200,768939840,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214J,2012-10-26T06:30:01Z,2012-10-26T07:29:59Z,K,K,VLBA_BC214J_bc214j_BIN0_SRC0_0_121106T204303.idifits,460023,uid://vlba/correlation/1f723ec0-161e-4b5c-a910-c6740a0f3635,correlation,Do Not Calibrate,PUBLIC,10,5,384877440,384877440,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214K,2012-10-31T06:30:01Z,2012-10-31T07:29:59Z,K,K,VLBA_BC214K_bc214k_BIN0_SRC0_0_121113T184311.idifits,464513,uid://vlba/correlation/f047fd35-1ca9-4c72-a15c-539ab603431d,correlation,Do Not Calibrate,PUBLIC,9,5,310152960,310152960,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214L,2012-11-05T07:30:00.999Z,2012-11-05T08:29:58.999Z,K,K,VLBA_BC214L_bc214l_BIN0_SRC0_0_121119T222815.idifits,458817,uid://vlba/correlation/aae1b22a-4b8d-4026-b6da-59fc110ad145,correlation,Do Not Calibrate,PUBLIC,10,5,380730240,380730240,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
BC214M,2012-11-13T07:00:00.999Z,2012-11-13T07:59:59Z,K,K,VLBA_BC214M_bc214m_BIN0_SRC0_0_121129T162422.idifits,464825,uid://vlba/correlation/958652b5-c92d-4a09-ba63-9a65155ff36b,correlation,Do Not Calibrate,PUBLIC,10,5,380779200,380779200,2013-06-09T06:46:38Z,VLBA,C. (Teddy) Cheung,BC214
