season,MJD,image,frequency_GHz,flux_mJy,flux_error_mJy,array_configuration,phase_calibrator,amplitude_calibrator,quality_flag,original_table_or_epoch_id
1,50366,A,8.5,34.831,0.309,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=366
1,50366,B,8.5,16.106,0.149,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=366
1,50366,C,8.5,17.602,0.162,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=366
1,50366,D,8.5,5.822,0.070,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=366
1,50368,A,8.5,33.251,0.307,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=368
1,50368,B,8.5,16.233,0.166,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=368
1,50368,C,8.5,17.269,0.175,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=368
1,50368,D,8.5,5.736,0.097,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=368
1,50372,A,8.5,34.063,0.308,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=372
1,50372,B,8.5,16.277,0.151,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=372
1,50372,C,8.5,16.643,0.154,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=372
1,50372,D,8.5,5.701,0.063,D->A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=372
1,50374,A,8.5,34.003,0.294,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=374
1,50374,B,8.5,16.532,0.146,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=374
1,50374,C,8.5,17.349,0.153,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=374
1,50374,D,8.5,5.760,0.060,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=374
1,50379,A,8.5,33.589,0.307,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=379
1,50379,B,8.5,16.904,0.165,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=379
1,50379,C,8.5,17.042,0.166,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=379
1,50379,D,8.5,5.768,0.085,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=379
1,50385,A,8.5,32.972,0.310,A,1642+689,3C286_or_3C48,Elev. <= 30deg. Gusting winds,Fassnacht1999_ApJ527_498_Table3_MJDm50000=385
1,50385,B,8.5,17.002,0.176,A,1642+689,3C286_or_3C48,Elev. <= 30deg. Gusting winds,Fassnacht1999_ApJ527_498_Table3_MJDm50000=385
1,50385,C,8.5,16.863,0.175,A,1642+689,3C286_or_3C48,Elev. <= 30deg. Gusting winds,Fassnacht1999_ApJ527_498_Table3_MJDm50000=385
1,50385,D,8.5,5.695,0.101,A,1642+689,3C286_or_3C48,Elev. <= 30deg. Gusting winds,Fassnacht1999_ApJ527_498_Table3_MJDm50000=385
1,50387,A,8.5,34.217,0.317,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=387
1,50387,B,8.5,16.883,0.161,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=387
1,50387,C,8.5,16.831,0.160,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=387
1,50387,D,8.5,5.997,0.070,A,1642+689,3C286_or_3C48,,Fassnacht1999_ApJ527_498_Table3_MJDm50000=387
