#day    S_A  err_A    S_B   err_B    S_C   err_C   S_D  err_D
366   34.831 0.309   16.106 0.149   17.602 0.162  5.822 0.070
368   33.251 0.307   16.233 0.166   17.269 0.175  5.736 0.097
372   34.063 0.308   16.277 0.151   16.643 0.154  5.701 0.063
374   34.003 0.294   16.532 0.146   17.349 0.153  5.760 0.060
379   33.589 0.307   16.904 0.165   17.042 0.166  5.768 0.085
385   32.972 0.310   17.002 0.176   16.863 0.175  5.695 0.101
387   34.217 0.317   16.883 0.161   16.831 0.160  5.997 0.070
388   33.381 0.299   16.884 0.155   17.002 0.156  6.000 0.066
390   34.845 0.283   17.365 0.149   17.429 0.150  5.881 0.073
394   32.744 0.307   16.811 0.174   16.898 0.175  5.727 0.101
395   33.060 0.297   17.276 0.159   16.715 0.154  5.763 0.064
398   32.795 0.295   16.705 0.154   16.995 0.157  5.755 0.065
399   33.422 0.304   16.830 0.162   16.661 0.161  5.874 0.082
402   33.927 0.271   16.943 0.139   16.840 0.138  6.036 0.060
405   33.846 0.296   16.740 0.150   17.107 0.153  5.910 0.062
410   34.527 0.310   16.966 0.156   17.294 0.159  5.813 0.064
414   33.878 0.308   17.096 0.160   17.447 0.163  5.813 0.067
418   34.996 0.315   17.054 0.159   17.632 0.164  5.807 0.071
422   35.218 0.315   16.645 0.157   17.431 0.164  5.765 0.077
424   35.464 0.323   16.168 0.158   17.324 0.168  5.850 0.084
427   35.909 0.302   16.613 0.144   17.505 0.151  5.574 0.061
432   34.811 0.317   16.423 0.152   17.280 0.160  5.663 0.059
437   34.475 0.308   16.234 0.158   17.368 0.167  5.791 0.088
440   34.875 0.310   16.236 0.147   17.532 0.158  5.483 0.057
441   34.831 0.315   16.286 0.155   17.203 0.163  5.525 0.074
446   33.832 0.304   16.358 0.151   17.405 0.160  5.868 0.064
451   34.444 0.298   16.320 0.146   17.802 0.158  5.765 0.066
455   33.230 0.301   16.271 0.150   17.042 0.157  5.825 0.062
459   33.463 0.298   16.667 0.152   16.946 0.154  5.964 0.064
464   34.451 0.310   16.851 0.156   17.364 0.160  5.979 0.068
465   34.010 0.309   16.720 0.164   17.825 0.173  6.049 0.090
468   33.989 0.305   16.624 0.152   16.867 0.154  5.970 0.063
474   33.015 0.322   16.290 0.172   16.755 0.176  5.974 0.095
478   32.845 0.295   16.223 0.149   16.945 0.156  5.845 0.064
481   33.523 0.306   16.735 0.155   16.709 0.155  6.015 0.063
487   33.643 0.306   16.325 0.151   17.410 0.161  5.960 0.062
492   34.166 0.308   16.528 0.152   16.923 0.155  5.820 0.062
497   33.754 0.304   17.080 0.156   16.961 0.155  5.725 0.060
502   34.051 0.307   16.427 0.150   17.323 0.158  5.879 0.060
507   34.040 0.308   16.761 0.156   17.495 0.162  5.808 0.067
510   33.924 0.307   16.779 0.154   17.754 0.163  5.779 0.061
515   32.624 0.292   17.156 0.156   17.050 0.155  5.804 0.060
521   33.901 0.307   16.774 0.154   17.356 0.159  5.743 0.060
523   34.102 0.310   16.648 0.157   17.337 0.162  5.792 0.069
528   34.548 0.314   16.691 0.155   17.386 0.161  5.582 0.061
532   34.210 0.295   16.394 0.145   17.069 0.150  5.777 0.061
537   33.749 0.307   16.636 0.153   17.181 0.158  5.792 0.058
539   34.388 0.309   16.958 0.155   16.927 0.155  5.826 0.061
543   34.049 0.306   16.921 0.155   17.185 0.157  5.830 0.062
545   33.959 0.308   17.031 0.156   17.422 0.160  5.903 0.060
549   34.338 0.311   16.267 0.150   17.507 0.161  5.758 0.061
553   33.728 0.306   16.519 0.152   17.374 0.160  5.820 0.061
557   33.004 0.295   16.755 0.152   17.459 0.158  5.707 0.060
560   33.241 0.300   16.622 0.152   17.630 0.161  5.833 0.061
564   33.049 0.300   16.850 0.156   16.666 0.154  5.805 0.062
571   34.091 0.309   16.535 0.152   17.653 0.162  5.957 0.063
576   33.332 0.302   16.748 0.154   17.093 0.157  5.847 0.059
581   34.055 0.308   15.971 0.147   18.138 0.166  5.768 0.060
585   34.151 0.307   16.127 0.148   17.287 0.158  5.732 0.060
589   33.723 0.307   15.952 0.148   17.538 0.162  6.051 0.064
591   34.341 0.312   16.068 0.150   17.214 0.160  5.962 0.066
594   33.130 0.302   16.309 0.152   17.018 0.158  5.993 0.065
