project_code,legacy_id,obs_id,sci_prod_locator,pi,coIs,instrument_name,vla_configuration,obs_band,obs_start,obs_stop,proj_start,proj_stop,num_antennas,num_scans,dataproduct_type,data_rights,access_estsize,obs_release_date,cal_status,eb_id,distance_from_query,mjd_start,mjd_stop,mjd_minus_50000,date_utc
AF310,AF310,AF310_1_50366.93160_50366.97303.exp,uid://VLA/execblock/9154be4d-df9e-42dc-ae29-fac0262c6862,C. Fassnacht,,VLA,D->A,"[""X""]",1996-10-10T22:21:29.998Z,1996-10-10T23:21:09.999Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,14,visibility,PUBLIC,7643136,1998-05-26T11:54:25.001Z,Do Not Calibrate,206514,5.048531e-06,50366.931597,50366.973032,366.931597,1996-10-10
AF310,AF310,AF310_1_50368.88559_50368.90532.exp,uid://VLA/execblock/486c1bad-b35f-4ccb-a9a8-97fa7ddb4b8e,C. Fassnacht,,VLA,D->A,"[""X""]",1996-10-12T21:15:15.001Z,1996-10-12T21:43:40.002Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,7,visibility,PUBLIC,6463488,1998-05-26T11:54:25.001Z,Do Not Calibrate,213604,5.048531e-06,50368.88559,50368.905324,368.88559,1996-10-12
AF310,AF310,AF310_1_50372.10735_50372.14653.exp,uid://VLA/execblock/f14f83ea-63c7-4293-882b-1be7ab0b2e52,C. Fassnacht,,VLA,A,"[""X""]",1996-10-16T02:34:34.996Z,1996-10-16T03:31:00.001Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,14829568,1998-05-26T11:54:25.001Z,Do Not Calibrate,202956,5.048531e-06,50372.107349,50372.146528,372.107349,1996-10-16
AF310,AF310,AF310_1_50374.95330_50374.99294.exp,uid://VLA/execblock/d185d494-f409-43bc-afa7-86323689d18c,C. Fassnacht,,VLA,A,"[""X""]",1996-10-18T22:52:44.999Z,1996-10-18T23:49:49.998Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,15415296,1998-05-26T11:54:25.001Z,Do Not Calibrate,213722,5.048531e-06,50374.953299,50374.99294,374.953299,1996-10-18
AF310,AF310,AF310_1_50376.28142_50376.32257.exp,uid://VLA/execblock/f7171b6a-3345-4a40-a8dc-df5dfd24ec7f,C. Fassnacht,,VLA,A,"[""X""]",1996-10-20T06:45:14.999Z,1996-10-20T07:44:29.996Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,15202304,1998-05-26T11:54:25.001Z,Do Not Calibrate,208355,5.048531e-06,50376.281424,50376.322569,376.281424,1996-10-20
AF310,AF310,AF310_1_50379.93767_50379.95839.exp,uid://VLA/execblock/d717be58-0445-402f-b162-4471d8613997,C. Fassnacht,,VLA,A,"[""X""]",1996-10-23T22:30:14.999Z,1996-10-23T23:00:04.999Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,7,visibility,PUBLIC,7827456,1998-05-26T11:54:25.001Z,Do Not Calibrate,207795,5.048531e-06,50379.937674,50379.958391,379.937674,1996-10-23
AF310,AF310,AF310_1_50382.80515_50382.84641.exp,uid://VLA/execblock/bf6514cf-250f-42b9-9dc0-6f3287611c02,C. Fassnacht,,VLA,A,"[""X""]",1996-10-26T19:19:25.003Z,1996-10-26T20:18:49.996Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,14278656,1998-05-26T11:54:25.001Z,Do Not Calibrate,203017,5.048531e-06,50382.80515,50382.846412,382.80515,1996-10-26
AF310,AF310,AF310_1_50385.13189_50385.15255.exp,uid://VLA/execblock/ca2476cc-36cb-48af-9248-e6ce65ee9c93,C. Fassnacht,,VLA,A,"[""X""]",1996-10-29T03:09:55.002Z,1996-10-29T03:39:40Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,7,visibility,PUBLIC,7215104,1998-05-26T11:54:25.001Z,Do Not Calibrate,213974,5.048531e-06,50385.131887,50385.152546,385.131887,1996-10-29
AF310,AF310,AF310_1_50388.02066_50388.06123.exp,uid://VLA/execblock/88f5f6cd-46e5-4cde-b41f-c9d011c00772,C. Fassnacht,,VLA,A,"[""X""]",1996-11-01T00:29:44.998Z,1996-11-01T01:28:10.004Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,15468544,1998-05-26T11:54:25.001Z,Do Not Calibrate,214061,5.048531e-06,50388.02066,50388.061227,388.02066,1996-11-01
AF310,AF310,AF310_1_50388.95573_50388.99618.exp,uid://VLA/execblock/7c2f6719-534f-4f23-a88d-a7c87d88077f,C. Fassnacht,,VLA,A,"[""X""]",1996-11-01T22:56:15.002Z,1996-11-01T23:54:30.003Z,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,0,15,visibility,PUBLIC,15947776,1998-05-26T11:54:25.001Z,Do Not Calibrate,213525,5.048531e-06,50388.955729,50388.996181,388.955729,1996-11-01
