project_code,legacy_id,obs_id,sci_prod_locator,pi,coIs,instrument_name,vla_configuration,obs_band,obs_start,obs_stop,proj_start,proj_stop,num_antennas,num_scans,dataproduct_type,data_rights,access_estsize,obs_release_date,cal_status,eb_id,distance_from_query,mjd_start,mjd_stop
16B-222,AM1448,16B-222.sb32952024.eb33235083.57761.72687302083,uid://evla/execblock/35bd3c5c-0274-4bc8-9a99-b41d00034a8a,Sui Ann Mao,"[""Olaf Wucknitz"",""Aritra Basu"",""Charles Keeton"",""Dominic Schnitzeler"",""Chris Carilli""]",EVLA,A,"[""C"",""L"",""S"",""X""]",2017-01-08T17:26:43.099Z,2017-01-08T21:40:59.550Z,2016-10-10T08:27:59.999Z,2017-01-20T17:14:55.599Z,27,67,visibility,PUBLIC,136411290000,2018-01-20T17:14:55.599Z,Calibrated,109,0.00037090055,57761.726888,57761.903467
AB701,AB701,AB701_1_49412.46954_49412.85948.exp,uid://VLA/execblock/3dc15235-ebea-4695-9fc0-5da4b01c54fb,S.T. Myers,,VLA,A,"[""X""]",1994-03-01T11:16:08.670Z,1994-03-01T20:37:38.665Z,1994-02-26T23:48:18.665Z,1994-05-04T08:53:12.001Z,0,603,visibility,PUBLIC,168247296,1995-05-04T08:53:12.001Z,Do Not Calibrate,195147,0.0075115585,49412.469545,49412.859475
AB760,AB760,AB760_1_49903.99133_49904.32339.exp,uid://VLA/execblock/bd555e56-63c3-4da0-82c4-1f53b54fc703,I.W. Browne,,VLA,A,"[""X"",""C"",""L"",""KU"",""K""]",1995-07-05T23:47:30.998Z,1995-07-06T07:45:40.999Z,1995-07-05T23:47:30.998Z,1996-03-18T11:25:49.995Z,0,97,visibility,PUBLIC,63258624,1997-03-18T11:25:49.995Z,Do Not Calibrate,192475,0.00055524753,49903.991331,49904.323391
AB760,AB760,AB760_1_50046.72709_50046.89145.exp,uid://VLA/execblock/5ca1566e-c6f1-4727-bb83-c4fe714ed75b,I.W. Browne,,VLA,B,"[""L"",""C"",""X"",""KU""]",1995-11-25T17:27:00.999Z,1995-11-25T21:23:41.003Z,1995-07-05T23:47:30.998Z,1996-03-18T11:25:49.995Z,0,28,visibility,PUBLIC,31629312,1997-03-18T11:25:49.995Z,Do Not Calibrate,199868,0.00026977772,50046.727095,50046.891447
AB760,AB760,AB760_1_50154.45116_50154.51331.exp,uid://VLA/execblock/1ec23053-6e60-47d2-9623-cb82c07f0b87,I.W. Browne,,VLA,C,"[""L"",""C""]",1996-03-12T10:49:39.999Z,1996-03-12T12:19:10.001Z,1995-07-05T23:47:30.998Z,1996-03-18T11:25:49.995Z,0,8,visibility,PUBLIC,11943936,1997-03-18T11:25:49.995Z,Do Not Calibrate,213887,0.00026977772,50154.451157,50154.51331
AB760,AB760,AB760_1_50160.41424_50160.47627.exp,uid://VLA/execblock/a5d0f4ae-4799-4554-9c00-2c26beefbeb4,I.W. Browne,,VLA,C,"[""L"",""C""]",1996-03-18T09:56:29.999Z,1996-03-18T11:25:49.995Z,1995-07-05T23:47:30.998Z,1996-03-18T11:25:49.995Z,0,13,visibility,PUBLIC,11526144,1997-03-18T11:25:49.995Z,Do Not Calibrate,203136,0.00026977772,50160.414236,50160.476273
AB809,AB809,AB809_1_50394.41950_50394.48113.exp,uid://VLA/execblock/aa9a23e3-be6b-405f-9555-96b3a7600e28,I.W. Browne,,VLA,A,"[""C"",""X"",""KU""]",1996-11-07T10:04:04.998Z,1996-11-07T11:32:50.003Z,1996-10-12T06:17:19.996Z,1997-01-14T01:36:30Z,0,25,visibility,PUBLIC,23056384,1998-01-14T01:36:30Z,Do Not Calibrate,208300,5.048531e-06,50394.419502,50394.481134
AB922,AB922,AB922_1_51344.15503_51344.27675.exp,uid://VLA/execblock/5e454a9a-ad52-4d5d-9c3b-c6e5e491f120,I. Browne,,VLA,D->A,"[""X"",""C"",""L""]",1999-06-15T03:43:14.669Z,1999-06-15T06:38:31.329Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,62,visibility,PUBLIC,68636672,2001-02-13T17:34:41.329Z,Do Not Calibrate,205915,1.060124e-05,51344.155031,51344.276751
AB922,AB922,AB922_1_51347.14485_51347.26857.exp,uid://VLA/execblock/1e5d519b-91a8-43ce-8d24-6a4ff4896837,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-18T03:28:34.668Z,1999-06-18T06:26:44.663Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,62,visibility,PUBLIC,68769792,2001-02-13T17:34:41.329Z,Do Not Calibrate,207767,1.060124e-05,51347.144846,51347.268572
AB922,AB922,AB922_1_51350.11614_51350.23960.exp,uid://VLA/execblock/4266dfce-48b8-4f45-8964-2a57735c3b2a,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-21T02:47:14.668Z,1999-06-21T05:45:01.336Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,62,visibility,PUBLIC,66639872,2001-02-13T17:34:41.329Z,Do Not Calibrate,204112,1.060124e-05,51350.116142,51350.239599
AB922,AB922,AB922_1_51352.06823_51352.13003.exp,uid://VLA/execblock/30555b96-4d79-4cdb-84ba-9ba094eaf80d,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-23T01:38:14.665Z,1999-06-23T03:07:14.669Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,37,visibility,PUBLIC,31203328,2001-02-13T17:34:41.329Z,Do Not Calibrate,206955,1.060124e-05,51352.068225,51352.130031
AB922,AB922,AB922_1_51354.31313_51354.37413.exp,uid://VLA/execblock/b6f5751c-3d9d-42ae-b781-83eb1dd398dd,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-25T07:30:54.665Z,1999-06-25T08:58:44.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,36,visibility,PUBLIC,33013760,2001-02-13T17:34:41.329Z,Do Not Calibrate,204945,1.060124e-05,51354.313133,51354.374128
