project_code,instrument,pi,n_exec_blocks,first_obs_start_utc,last_obs_stop_utc,configurations,total_access_estsize_bytes
AB701,VLA,S.T. Myers,1,1994-03-01T11:16:08.670Z,1994-03-01T20:37:38.665Z,A,168247296
AS539,VLA,R.T. Schilizzi,1,1994-07-23T05:39:50.996Z,1994-07-23T15:35:31.004Z,B,79183872
AB760,VLA,I.W. Browne,4,1995-07-05T23:47:30.998Z,1996-03-18T11:25:49.995Z,A|B|C,118358016
AM484,VLA,S.T. Myers,3,1995-08-13T14:45:17.665Z,1995-09-03T21:21:07.669Z,A,1244332032
BS020,VLBA,VLBA Operations,7,1995-08-20T20:00:29.569Z,1995-08-21T06:53:58.668Z,None,1283068800
BF019,VLBA,VLBA Operations,8,1996-04-12T03:00:11.080Z,1996-04-12T15:57:59.004Z,None,2493446400
AF310,VLA,C. Fassnacht,60,1996-10-10T22:21:29.998Z,1997-05-26T11:54:25.001Z,A|A->BnA|B|BnA|D->A,910135296
AB809,VLA,I.W. Browne,1,1996-11-07T10:04:04.998Z,1996-11-07T11:32:50.003Z,A,23056384
AL403,VLA,E.M. Leitch,5,1996-11-12T07:46:44.996Z,1997-05-09T19:58:30.002Z,A|A->BnA|B,277436416
AX4,VLA,E. Xanthopoulos,39,1998-02-13T12:40:08.996Z,1998-06-09T05:01:08.996Z,A|A->BnA|BnA|D->A,456593408
AM593,VLA,S.T. Myers,2,1998-03-14T19:12:35.665Z,1998-03-17T04:32:45.663Z,A,1109708800
ADA000,VLA,R. Carl Bignell,1,1998-05-08T05:10:58.995Z,1998-05-08T06:04:58.995Z,A,7694336
AP366,VLA,A. Patnaik,1,1998-05-22T11:43:53.996Z,1998-05-23T11:37:28.997Z,A,391882752
AF340,VLA,C. Fassnacht,41,1998-06-11T03:27:48.997Z,1998-10-19T01:20:49.001Z,B|B->CnB|BnA,340887552
AT224,VLA,D.A. Tahmoush,1,1999-04-07T11:44:24.668Z,1999-04-07T16:38:47.999Z,D,41072640
AB922,VLA,I. Browne,95,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,A|A->BnA|B|B->CnB|BnA|D->A,3653933056
AF377,VLA,C. Fassnacht,76,2000-10-13T23:16:03.002Z,2001-05-29T11:42:37.998Z,A|A->BnA|B|B->CnB|BnA|BnA->B,1128728576
BF067,VLBA,VLBA Operations,17,2001-05-01T05:15:07.135Z,2001-05-01T15:56:58.711Z,None,2768515200
AW576,VLA,J. Winn,55,2002-01-24T18:56:13.004Z,2002-08-01T07:31:57.996Z,A|A->BnA|B|BnA|BnA->B,825907200
BP177,VLBA,Leonid Petrov,1,2014-02-17T08:30:10.049Z,2014-02-17T13:58:14.950Z,None,440916082560
16B-222,EVLA,Sui Ann Mao,1,2017-01-08T17:26:43.099Z,2017-01-08T21:40:59.550Z,A,136411290000
BS257,VLBA,Cristiana Spingola,1,2017-06-03T00:25:51.999Z,2017-06-03T12:23:50Z,None,7911089280
BP252,VLBA,Leonid Petrov,1,2022-07-24T22:59:54.050Z,2022-07-25T06:50:30.950Z,None,704269272960
VLASS4.1,EVLA,Vlass Scientist,2,2025-09-06T18:36:35.799Z,2025-12-30T15:53:29.449Z,B,852212127000
