statistic,delta_d,tau_BA_d,mu_AB_1,mu_AB_2,mu_AB_3,tau_BC_d,mu_CB_1,mu_CB_2,mu_CB_3,tau_BD_d,mu_DB_1,mu_DB_2,mu_DB_3
D2_2,,32.5,2.042,1.986,2.016,36.5,1.038,1.031,1.026,78.5,0.351,0.344,0.343
D2_4_2,3.5,32.0,2.042,1.982,2.010,35.5,1.038,1.032,1.026,78.5,0.351,0.344,0.342
D2_4_2,4.5,32.0,2.042,1.984,2.010,36.5,1.039,1.030,1.026,77.5,0.351,0.345,0.343
D2_4_2,5.5,31.5,2.042,1.984,2.008,36.5,1.039,1.030,1.027,80.0,0.351,0.344,0.344
D2_4_2,6.5,31.5,2.042,1.984,2.008,35.5,1.038,1.031,1.027,80.0,0.351,0.344,0.344
D2_4_2,7.5,31.5,2.042,1.984,2.006,35.5,1.039,1.031,1.028,80.0,0.351,0.344,0.344
D2_4_2,8.5,31.5,2.042,1.984,2.008,36.5,1.039,1.029,1.028,78.0,0.351,0.345,0.343
D2_4_2,9.5,31.5,2.042,1.986,2.006,36.5,1.039,1.030,1.029,78.0,0.351,0.345,0.343
D2_4_2,10.5,31.5,2.042,1.986,2.006,35.5,1.039,1.031,1.028,77.0,0.351,0.345,0.342
D2_4_2,11.5,31.0,2.044,1.986,2.004,35.5,1.039,1.031,1.028,77.0,0.351,0.345,0.343
D2_4_2,12.5,31.5,2.044,1.986,2.006,36.0,1.039,1.031,1.028,77.5,0.351,0.345,0.343
D2_4_2,13.5,31.0,2.044,1.988,2.006,36.0,1.039,1.031,1.029,77.0,0.351,0.345,0.342
D2_4_2,14.5,31.5,2.042,1.988,2.004,35.5,1.039,1.031,1.028,77.0,0.351,0.345,0.342
D2_4_2,15.5,31.5,2.044,1.986,2.006,36.0,1.039,1.031,1.029,76.5,0.351,0.345,0.342
D2_4_2,16.5,31.5,2.044,1.988,2.006,36.0,1.039,1.031,1.029,77.0,0.351,0.345,0.342
D2_4_2,17.5,32.0,2.042,1.986,2.006,36.0,1.039,1.032,1.028,76.5,0.350,0.345,0.342
D2_4_2,18.5,32.0,2.042,1.986,2.006,36.0,1.039,1.032,1.029,76.5,0.351,0.345,0.342
D2_4_2,19.5,31.5,2.042,1.988,2.004,35.5,1.039,1.032,1.028,76.5,0.351,0.345,0.342
D2_4_2,20.5,32.0,2.042,1.988,2.006,36.5,1.039,1.031,1.028,76.5,0.351,0.345,0.342
