quantity,input_value,ci68_lo,ci68_hi,ci95_lo,ci95_hi
tau_BA,31.5,30.5,33.5,29.0,34.5
tau_BC,36.0,34.5,37.5,33.5,38.5
tau_BD,77.0,76.0,79.0,74.0,81.0
"mu_AB,1",2.042,2.038,2.050,2.032,2.054
"mu_AB,2",1.986,1.976,1.990,1.968,1.996
"mu_AB,3",2.006,2.000,2.014,1.992,2.020
"mu_CB,1",1.039,1.035,1.041,1.032,1.044
"mu_CB,2",1.031,1.027,1.034,1.023,1.037
"mu_CB,3",1.028,1.025,1.032,1.021,1.035
"mu_DB,1",0.351,0.350,0.352,0.349,0.353
"mu_DB,2",0.345,0.344,0.347,0.342,0.348
"mu_DB,3",0.342,0.341,0.344,0.340,0.345
tau_BD/tau_BA,2.44,2.37,2.47,2.34,2.51
tau_BD/tau_BC,2.14,2.12,2.19,2.09,2.22
