mjd_minus_50000,S_A_mJy,e_S_A_mJy,S_B_mJy,e_S_B_mJy,S_C_mJy,e_S_C_mJy,S_D_mJy,e_S_D_mJy,nrao_project_code,nrao_obs_id,nrao_sci_prod_locator,nrao_obs_start_utc,nrao_obs_stop_utc,nrao_mjd_minus_50000,nrao_match_offset_days,nrao_vla_configuration,nrao_obs_band,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
366,34.831,0.309,16.106,0.149,17.602,0.162,5.822,0.070,AF310,AF310_1_50366.93160_50366.97303.exp,uid://VLA/execblock/9154be4d-df9e-42dc-ae29-fac0262c6862,1996-10-10T22:21:29.998Z,1996-10-10T23:21:09.999Z,366.931597,0.9316,D->A,"[""X""]",14,7643136,1
368,33.251,0.307,16.233,0.166,17.269,0.175,5.736,0.097,AF310,AF310_1_50368.88559_50368.90532.exp,uid://VLA/execblock/486c1bad-b35f-4ccb-a9a8-97fa7ddb4b8e,1996-10-12T21:15:15.001Z,1996-10-12T21:43:40.002Z,368.88559,0.88559,D->A,"[""X""]",7,6463488,1
372,34.063,0.308,16.277,0.151,16.643,0.154,5.701,0.063,AF310,AF310_1_50372.10735_50372.14653.exp,uid://VLA/execblock/f14f83ea-63c7-4293-882b-1be7ab0b2e52,1996-10-16T02:34:34.996Z,1996-10-16T03:31:00.001Z,372.107349,0.10735,A,"[""X""]",15,14829568,1
374,34.003,0.294,16.532,0.146,17.349,0.153,5.760,0.060,AF310,AF310_1_50374.95330_50374.99294.exp,uid://VLA/execblock/d185d494-f409-43bc-afa7-86323689d18c,1996-10-18T22:52:44.999Z,1996-10-18T23:49:49.998Z,374.953299,0.9533,A,"[""X""]",15,15415296,1
379,33.589,0.307,16.904,0.165,17.042,0.166,5.768,0.085,AF310,AF310_1_50379.93767_50379.95839.exp,uid://VLA/execblock/d717be58-0445-402f-b162-4471d8613997,1996-10-23T22:30:14.999Z,1996-10-23T23:00:04.999Z,379.937674,0.93767,A,"[""X""]",7,7827456,1
385,32.972,0.310,17.002,0.176,16.863,0.175,5.695,0.101,AF310,AF310_1_50385.13189_50385.15255.exp,uid://VLA/execblock/ca2476cc-36cb-48af-9248-e6ce65ee9c93,1996-10-29T03:09:55.002Z,1996-10-29T03:39:40Z,385.131887,0.13189,A,"[""X""]",7,7215104,1
387,34.217,0.317,16.883,0.161,16.831,0.160,5.997,0.070,,,,,,,,,,,,0
388,33.381,0.299,16.884,0.155,17.002,0.156,6.000,0.066,AF310,AF310_1_50388.02066_50388.06123.exp,uid://VLA/execblock/88f5f6cd-46e5-4cde-b41f-c9d011c00772,1996-11-01T00:29:44.998Z,1996-11-01T01:28:10.004Z,388.02066,0.02066,A,"[""X""]",15,15468544,1
390,34.845,0.283,17.365,0.149,17.429,0.150,5.881,0.073,AF310,AF310_1_50390.93027_50390.97002.exp,uid://VLA/execblock/5ea6e4c6-7cac-4d05-a546-450d8e6d0eb1,1996-11-03T22:19:34.999Z,1996-11-03T23:16:49.995Z,390.930266,0.93027,A,"[""X""]",15,15681536,1
394,32.744,0.307,16.811,0.174,16.898,0.175,5.727,0.101,,,,,,,,,,,,0
395,33.060,0.297,17.276,0.159,16.715,0.154,5.763,0.064,AF310,AF310_1_50395.70712_50395.74861.exp,uid://VLA/execblock/60574029-9703-4d5c-a6b0-5c51515e0f6a,1996-11-08T16:58:15.003Z,1996-11-08T17:57:59.999Z,395.707118,0.70712,A,"[""X""]",15,15042560,1
398,32.795,0.295,16.705,0.154,16.995,0.157,5.755,0.065,,,,,,,,,,,,0
399,33.422,0.304,16.830,0.162,16.661,0.161,5.874,0.082,AF310,AF310_1_50398.69890_50398.74034.exp,uid://VLA/execblock/a130e34c-92a3-4eba-970a-2cfbf88d6a96,1996-11-11T16:46:25.003Z,1996-11-11T17:46:04.995Z,398.6989,-0.3011,A,"[""X""]",15,14962688,1
402,33.927,0.271,16.943,0.139,16.840,0.138,6.036,0.060,AF310,AF310_1_50402.85654_50402.89572.exp,uid://VLA/execblock/5c6abf74-d178-48ff-9742-eb1107ef0a53,1996-11-15T20:33:25.004Z,1996-11-15T21:29:50Z,402.856539,0.85654,A,"[""X""]",15,15095808,1
405,33.846,0.296,16.740,0.150,17.107,0.153,5.910,0.062,AF310,AF310_1_50405.78455_50405.82512.exp,uid://VLA/execblock/9660268d-89a2-416d-a9f5-18a8ef1ce9a9,1996-11-18T18:49:44.999Z,1996-11-18T19:48:09.996Z,405.784549,0.78455,A,"[""X""]",15,14155776,1
410,34.527,0.310,16.966,0.156,17.294,0.159,5.813,0.064,AF310,AF310_1_50410.83235_50410.87384.exp,uid://VLA/execblock/f97addb2-daf4-4639-b85b-c05f8cddc9ab,1996-11-23T19:58:34.996Z,1996-11-23T20:58:20Z,410.832349,0.83235,A,"[""X""]",15,16267264,1
414,33.878,0.308,17.096,0.160,17.447,0.163,5.813,0.067,AF310,AF310_1_50414.98860_50415.02917.exp,uid://VLA/execblock/26586ae3-807d-4c7a-9b98-4b209d865953,1996-11-27T23:43:34.996Z,1996-11-28T00:42:00.002Z,414.988599,0.9886,A,"[""X""]",15,15468544,1
418,34.996,0.315,17.054,0.159,17.632,0.164,5.807,0.071,AF310,AF310_1_50418.68640_50418.72731.exp,uid://VLA/execblock/031b5545-8a95-440c-b730-41b05264edfe,1996-12-01T16:28:25.003Z,1996-12-01T17:27:19.998Z,418.6864,0.6864,A,"[""X""]",15,15282176,1
422,35.218,0.315,16.645,0.157,17.431,0.164,5.765,0.077,AF310,AF310_1_50422.71649_50422.73715.exp,uid://VLA/execblock/9552e326-c3c0-4a85-84d4-ad9df719afad,1996-12-05T17:11:45.003Z,1996-12-05T17:41:30.001Z,422.716493,0.71649,A,"[""X""]",9,7161856,1
424,35.464,0.323,16.168,0.158,17.324,0.168,5.850,0.084,AF310,AF310_1_50424.71094_50424.73171.exp,uid://VLA/execblock/293425c9-fbac-4a50-8163-237e855e8dff,1996-12-07T17:03:45Z,1996-12-07T17:33:40.003Z,424.710938,0.71094,A,"[""X""]",7,7268352,1
427,35.909,0.302,16.613,0.144,17.505,0.151,5.574,0.061,AF310,AF310_1_50427.78594_50427.82749.exp,uid://VLA/execblock/d3877572-aed6-4437-ae1d-2c71a5e64f2b,1996-12-10T18:51:45Z,1996-12-10T19:51:34.997Z,427.785937,0.78594,A,"[""X""]",15,16240640,1
432,34.811,0.317,16.423,0.152,17.280,0.160,5.663,0.059,AF310,AF310_1_50432.77390_50432.83449.exp,uid://VLA/execblock/641e77bb-8519-4e6b-9f7f-f97f0008c2c9,1996-12-15T18:34:25.003Z,1996-12-15T20:01:39.996Z,432.7739,0.7739,A,"[""X""]",25,23615488,1
437,34.475,0.308,16.234,0.158,17.368,0.167,5.791,0.088,AF310,AF310_1_50437.79942_50437.81725.exp,uid://VLA/execblock/ee3be2e3-a328-4ce8-95b0-4e2f49458295,1996-12-20T19:11:10Z,1996-12-20T19:36:50.002Z,437.799421,0.79942,A,"[""X""]",7,3381248,1
440,34.875,0.310,16.236,0.147,17.532,0.158,5.483,0.057,,,,,,,,,,,,0
441,34.831,0.315,16.286,0.155,17.203,0.163,5.525,0.074,AF310,AF310_1_50440.77309_50440.83351.exp,uid://VLA/execblock/9a1614b7-b2c6-4428-a882-cd6788c76031,1996-12-23T18:33:15.001Z,1996-12-23T20:00:14.996Z,440.77309,-0.22691,A,"[""X""]",25,23855104,1
446,33.832,0.304,16.358,0.151,17.405,0.160,5.868,0.064,AF310,AF310_1_50446.65087_50446.69248.exp,uid://VLA/execblock/9cc667ae-09b3-4121-9358-01869cf58306,1996-12-29T15:37:15.003Z,1996-12-29T16:37:10.004Z,446.650868,0.65087,A,"[""X""]",15,14622720,1
451,34.444,0.298,16.320,0.146,17.802,0.158,5.765,0.066,AF310,AF310_1_50451.69936_50451.74109.exp,uid://VLA/execblock/4b5d7b1c-3dc7-4f9c-bf90-4414a3310d86,1997-01-03T16:47:04.997Z,1997-01-03T17:47:10.003Z,451.699363,0.69936,A,"[""X""]",15,16134144,1
455,33.230,0.301,16.271,0.150,17.042,0.157,5.825,0.062,AF310,AF310_1_50455.77182_50455.83409.exp,uid://VLA/execblock/929d76ef-fcc3-4502-b72b-c569ffbc52f3,1997-01-07T18:31:24.997Z,1997-01-07T20:01:04.995Z,455.771817,0.77182,A,"[""X""]",25,24467456,1
459,33.463,0.298,16.667,0.152,16.946,0.154,5.964,0.064,AF310,AF310_1_50459.65712_50459.69850.exp,uid://VLA/execblock/d62a0591-3f0f-4bf2-ab2a-cda1d9b79fa7,1997-01-11T15:46:15.003Z,1997-01-11T16:45:50.002Z,459.657118,0.65712,A,"[""X""]",15,15894528,1
464,34.451,0.310,16.851,0.156,17.364,0.160,5.979,0.068,,,,,,,,,,,,0
465,34.010,0.309,16.720,0.164,17.825,0.173,6.049,0.090,AF310,AF310_1_50464.64334_50464.68484.exp,uid://VLA/execblock/f4dd51fa-acc4-47d1-8366-51fc6a4c7e48,1997-01-16T15:26:24.999Z,1997-01-16T16:26:10.003Z,464.643345,-0.35665,A->BnA,"[""X""]",15,16001024,1
468,33.989,0.305,16.624,0.152,16.867,0.154,5.970,0.063,AF310,AF310_1_50468.61163_50468.65313.exp,uid://VLA/execblock/2c6ad793-7dff-40cc-993b-d9651d44bf1c,1997-01-20T14:40:44.996Z,1997-01-20T15:40:30Z,468.611632,0.61163,A->BnA,"[""X""]",15,15788032,1
474,33.015,0.322,16.290,0.172,16.755,0.176,5.974,0.095,AF310,AF310_1_50474.53293_50474.57442.exp,uid://VLA/execblock/0e4806b4-5d48-4ca1-b0f1-335728a4647f,1997-01-26T12:47:24.996Z,1997-01-26T13:47:10Z,474.532928,0.53293,BnA,"[""X""]",15,15575040,1
