mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
366,A,34.831,0.309,AF310,AF310_1_50366.93160_50366.97303.exp,D->A,14,7643136,1
366,B,16.106,0.149,AF310,AF310_1_50366.93160_50366.97303.exp,D->A,14,7643136,1
366,C,17.602,0.162,AF310,AF310_1_50366.93160_50366.97303.exp,D->A,14,7643136,1
366,D,5.822,0.070,AF310,AF310_1_50366.93160_50366.97303.exp,D->A,14,7643136,1
368,A,33.251,0.307,AF310,AF310_1_50368.88559_50368.90532.exp,D->A,7,6463488,1
368,B,16.233,0.166,AF310,AF310_1_50368.88559_50368.90532.exp,D->A,7,6463488,1
368,C,17.269,0.175,AF310,AF310_1_50368.88559_50368.90532.exp,D->A,7,6463488,1
368,D,5.736,0.097,AF310,AF310_1_50368.88559_50368.90532.exp,D->A,7,6463488,1
372,A,34.063,0.308,AF310,AF310_1_50372.10735_50372.14653.exp,A,15,14829568,1
372,B,16.277,0.151,AF310,AF310_1_50372.10735_50372.14653.exp,A,15,14829568,1
372,C,16.643,0.154,AF310,AF310_1_50372.10735_50372.14653.exp,A,15,14829568,1
372,D,5.701,0.063,AF310,AF310_1_50372.10735_50372.14653.exp,A,15,14829568,1
374,A,34.003,0.294,AF310,AF310_1_50374.95330_50374.99294.exp,A,15,15415296,1
374,B,16.532,0.146,AF310,AF310_1_50374.95330_50374.99294.exp,A,15,15415296,1
374,C,17.349,0.153,AF310,AF310_1_50374.95330_50374.99294.exp,A,15,15415296,1
374,D,5.760,0.060,AF310,AF310_1_50374.95330_50374.99294.exp,A,15,15415296,1
379,A,33.589,0.307,AF310,AF310_1_50379.93767_50379.95839.exp,A,7,7827456,1
379,B,16.904,0.165,AF310,AF310_1_50379.93767_50379.95839.exp,A,7,7827456,1
379,C,17.042,0.166,AF310,AF310_1_50379.93767_50379.95839.exp,A,7,7827456,1
379,D,5.768,0.085,AF310,AF310_1_50379.93767_50379.95839.exp,A,7,7827456,1
385,A,32.972,0.310,AF310,AF310_1_50385.13189_50385.15255.exp,A,7,7215104,1
385,B,17.002,0.176,AF310,AF310_1_50385.13189_50385.15255.exp,A,7,7215104,1
