table,table_doi,description,location,qual_RATIO,qual_RE,qual_RE-1,qual_SQRT(S),qual_YRAP(CM),x0_name,x0_value,x0_low,x0_high,y0_name,y0_value,y0_stat_sym,y0_sys_total_sym,y0_sys_uncorr_sym,qual_ETARAP(CM),x1_name,x1_value,x1_low,x1_high
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},21.29,20.65,21.93,Ratios of yields to (\pi^{+}+\pi^{-}),0.1332,0.000441,0.009564,0.0044,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},16.51,16.01,17.01,Ratios of yields to (\pi^{+}+\pi^{-}),0.132,0.0002729,0.009088,0.004072,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},13.46,13.06,13.86,Ratios of yields to (\pi^{+}+\pi^{-}),0.1302,0.0002485,0.008898,0.00405,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},11.51,11.16,11.86,Ratios of yields to (\pi^{+}+\pi^{-}),0.1294,0.0002852,0.008805,0.004046,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},10.08,9.78,10.38,Ratios of yields to (\pi^{+}+\pi^{-}),0.1285,0.0003077,0.008691,0.004056,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},8.45,8.2,8.7,Ratios of yields to (\pi^{+}+\pi^{-}),0.1276,0.0002322,0.008627,0.004063,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},6.72,6.51,6.93,Ratios of yields to (\pi^{+}+\pi^{-}),0.1262,0.000277,0.008525,0.004119,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},5.4,5.23,5.57,Ratios of yields to (\pi^{+}+\pi^{-}),0.1239,0.0003039,0.00848,0.004239,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},3.9,3.76,4.04,Ratios of yields to (\pi^{+}+\pi^{-}),0.1204,0.0002641,0.009451,0.005485,,,,,
Table 36,10.17182/hepdata.77284.v1/t36,2K^{0}_{S}/(\pi^{+}+\pi^{-}) ratio for pp collisions at \sqrt{s}=7 TeV as a function of the average charged particle multiplicity density at midrapidity.,Data from Figure 2,2K^{0}_{S}/(\pi^{+}+\pi^{-}),P P --> (\pi^{+}+\pi^{-}) + X,P P --> 2K^{0}_{S} + X,7000.0 GEV,-0.5 0.5,dN_{ch}/d\eta _{|\eta|<0.5},2.26,2.14,2.38,Ratios of yields to (\pi^{+}+\pi^{-}),0.1081,0.000252,0.0118,0.008011,,,,,
