reference_radius_m,hadronic_model,primary_type,energy_PeV,muon_density_per_m2,stat_error_per_m2,sys_error_per_m2,source_figure,source_file,source_dataset_doi,source_paper_doi
600,EPOS,data,2.754863e+00,0.004426,0.000012,0.000560,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,3.419007e+00,0.005310,0.000016,0.000676,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,4.243263e+00,0.006401,0.000021,0.000824,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,5.266232e+00,0.007714,0.000029,0.001011,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,6.535819e+00,0.009404,0.000041,0.001258,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,8.111478e+00,0.011501,0.000057,0.001513,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,1.006700e+01,0.013971,0.000082,0.001973,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,1.249396e+01,0.017231,0.000123,0.002445,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,1.550601e+01,0.020846,0.000185,0.003067,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,1.924421e+01,0.025718,0.000294,0.004043,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,2.388361e+01,0.032035,0.000374,0.005135,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,2.964149e+01,0.038282,0.000614,0.006627,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,data,3.678748e+01,0.047421,0.001294,0.008710,Figure 12,icecube.Fig12_600m.EPOS_data.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,2.754863e+00,0.006847,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,3.419007e+00,0.008309,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,4.243263e+00,0.010083,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,5.266232e+00,0.012236,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,6.535819e+00,0.014849,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,8.111478e+00,0.018020,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,1.006700e+01,0.021867,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,1.249396e+01,0.026537,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,1.550601e+01,0.032204,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,1.924421e+01,0.039081,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,2.388361e+01,0.047426,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,2.964149e+01,0.057553,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,iron,3.678748e+01,0.069843,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_iron.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,2.754863e+00,0.004482,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,3.419007e+00,0.005410,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,4.243263e+00,0.006530,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,5.266232e+00,0.007883,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,6.535819e+00,0.009516,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,8.111478e+00,0.011487,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,1.006700e+01,0.013867,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,1.249396e+01,0.016739,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
600,EPOS,proton,1.550601e+01,0.020206,0.0,0.0,Figure 12,icecube.Fig12_600m.EPOS_proton.txt,10.21234/sszj-qv50,10.1103/PhysRevD.106.032010
