table,table_doi,description,location,qual_ETARAP,qual_RE,qual_SQRT(S),x0_name,x0_value,x0_low,x0_high,y0_name,y0_value,y0_err_plus,y0_err_minus,y0_err_sym
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,500.0,750.0,DSIG/DE [mb/GeV],2.09E-5,1.03E-5,-1.13E-5,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,750.0,1000.0,DSIG/DE [mb/GeV],5.12E-5,1.67E-5,-1.77E-5,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,1000.0,1250.0,DSIG/DE [mb/GeV],7.84E-5,1.91E-5,-2.21E-5,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,1250.0,1500.0,DSIG/DE [mb/GeV],9.75E-5,2.03E-5,-2.13E-5,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,1500.0,1750.0,DSIG/DE [mb/GeV],1.09E-4,0.23E-4,-0.21E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,1750.0,2000.0,DSIG/DE [mb/GeV],1.15E-4,0.25E-4,-0.20E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,2000.0,2250.0,DSIG/DE [mb/GeV],1.24E-4,0.31E-4,-0.22E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,2250.0,2500.0,DSIG/DE [mb/GeV],1.39E-4,0.25E-4,-0.24E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,2500.0,2750.0,DSIG/DE [mb/GeV],1.60E-4,0.25E-4,-0.29E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,2750.0,3000.0,DSIG/DE [mb/GeV],1.93E-4,0.34E-4,-0.39E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,3000.0,3250.0,DSIG/DE [mb/GeV],2.26E-4,0.46E-4,-0.51E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,3250.0,3500.0,DSIG/DE [mb/GeV],2.87E-4,0.68E-4,-0.76E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,3500.0,3750.0,DSIG/DE [mb/GeV],3.51E-4,0.90E-4,-0.86E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,3750.0,4000.0,DSIG/DE [mb/GeV],4.35E-4,1.18E-4,-1.02E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,4000.0,4250.0,DSIG/DE [mb/GeV],5.25E-4,1.38E-4,-1.23E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,4250.0,4500.0,DSIG/DE [mb/GeV],5.99E-4,,,1.39E-4
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,4500.0,4750.0,DSIG/DE [mb/GeV],6.45E-4,1.20E-4,-1.40E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,4750.0,5000.0,DSIG/DE [mb/GeV],6.59E-4,1.09E-4,-1.19E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,5000.0,5250.0,DSIG/DE [mb/GeV],6.36E-4,1.21E-4,-1.08E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,5250.0,5500.0,DSIG/DE [mb/GeV],5.54E-4,1.41E-4,-1.36E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,5500.0,5750.0,DSIG/DE [mb/GeV],4.44E-4,1.55E-4,-1.71E-4,
Table 1,10.17182/hepdata.130268.v1/t1,Neutron (and antineutron) inclusive differential production cross section in \eta > 10.75,None,> 10.75,P P --> (N + NBAR) X,13 TeV,E [GeV],,5750.0,6000.0,DSIG/DE [mb/GeV],3.12E-4,1.86E-4,-1.56E-4,
