experiment,hadronic_model,log10_energy_eV,energy_low_eV,energy_high_eV,z_muon,z_err_low,z_err_high,energy_cross_calibrated,source_doi,source_figure,extraction_method,quality
AMIGA,EPOS-LHC,17.4889,17.4889,17.4889,0.6938,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
AMIGA,EPOS-LHC,17.6205,17.4889,17.4889,0.7038,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
AMIGA,EPOS-LHC,17.748,17.748,17.748,0.6438,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
AMIGA,EPOS-LHC,17.8734,17.8734,17.8734,0.7938,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
AMIGA,EPOS-LHC,18.0156,18.0156,18.0156,0.7538,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
AMIGA,EPOS-LHC,18.1911,18.1911,18.1911,0.9938,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.0827,15.1767,15.1767,2.331,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.1767,15.1767,15.1767,2.3121,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.2707,15.1767,15.1767,2.3167,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.3647,15.3647,15.3647,2.2794,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.4588,15.5528,15.5528,2.2778,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.5528,15.5528,15.5528,2.2595,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.6468,15.7409,15.7409,2.2338,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.7409,15.7409,15.7409,2.2152,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.8349,15.8349,15.8349,2.1737,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,15.9289,15.9289,15.9289,2.1265,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.023,16.023,16.023,2.0947,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.0317,16.0317,16.0317,1.9649,0.1298,0.1298,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.117,16.117,16.117,2.0403,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.1257,16.2197,16.2197,1.8733,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.211,16.211,16.211,2.0076,0.1428,0.1428,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.2197,16.2197,16.2197,1.8648,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.305,16.305,16.305,1.9363,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.3137,16.2197,16.2197,1.8489,0.0874,0.0874,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
IceCube,EPOS-LHC,16.3991,16.3991,16.3991,1.891,0.0,0.0,False,10.22323/1.358.0214,"Figure 2 (main.pdf, arXiv:2001.07508)",vector_extraction_pymupdf_paths,digitised_from_vector_pdf
