Galaxy,Disk,Inner disk,Bulge,Bar,Nuclear bar,Lens_1,Lens_2,Ring_1,Ring_2,Spiral arms,Center
Label:,1,2,10,100,200,1000,2000,10000,20000,100000,1000000
NGC0628,1,0,1,0,0,0,0,0,0,1,0
NGC0685,1,0,0,1,0,0,0,0,0,0,0
NGC1087,1,0,0,1,0,0,0,0,0,0,0
NGC1097,1,0,1,1,0,1,0,1,0,1,0
NGC1300,1,0,1,1,0,1,1,1,0,1,0
NGC1317,1,0,1,1,1,0,0,1,1,0,1
NGC1365,1,0,1,1,0,0,0,1,0,1,1
NGC1385,1,0,0,0,0,0,0,0,0,1,0
NGC1433,1,0,1,1,1,1,0,1,1,0,0
NGC1511,1,0,0,0,0,0,0,0,0,0,1
NGC1512,1,0,1,1,0,1,0,1,1,1,0
NGC1546,1,1,0,0,0,0,0,1,0,0,1
NGC1559,1,0,0,1,0,0,0,0,0,0,0
NGC1566,1,1,0,1,0,0,0,0,0,1,1
NGC1637,1,0,0,1,0,0,0,0,0,1,1
NGC1672,1,0,1,1,0,0,0,1,0,1,0
NGC1792,1,0,1,0,0,0,0,0,0,0,0
NGC1809,1,0,0,0,0,0,0,0,0,0,1
NGC2090,1,0,1,0,0,0,0,0,0,1,0
NGC2283,1,0,0,1,0,0,0,0,0,1,1
NGC2566,1,0,1,1,0,1,0,0,0,1,0
NGC2775,1,1,1,0,0,1,0,0,0,0,0
NGC2835,1,0,0,1,0,0,0,0,0,1,1
NGC2903,1,0,1,1,0,0,0,1,0,0,0
NGC2997,1,0,0,0,0,0,0,1,0,1,1
NGC3059,1,0,0,1,0,0,0,0,0,0,0
NGC3137,1,0,0,0,0,0,0,0,0,0,1
NGC3239,1,0,0,0,0,0,0,0,0,0,0
NGC3351,1,0,1,1,0,1,0,1,1,0,0
NGC3507,1,0,1,1,0,0,0,0,0,1,0
NGC3511,1,0,0,1,0,0,0,0,0,0,1
NGC3521,1,1,1,0,0,0,0,0,0,0,0
NGC3596,1,0,1,0,0,0,0,0,0,0,0
NGC3621,1,0,0,0,0,0,0,0,0,0,1
NGC3626,1,0,1,1,0,1,0,1,0,0,0
NGC3627,1,0,1,1,0,0,0,0,0,1,0
NGC4207,1,0,1,0,0,0,0,0,0,0,0
NGC4254,1,1,1,0,0,0,0,0,0,1,0
NGC4293,1,0,1,1,0,0,0,0,0,0,1
NGC4298,1,0,1,0,0,0,0,0,0,0,0
NGC4303,1,0,1,1,0,1,0,0,0,1,0
NGC4321,1,0,1,1,1,0,0,1,0,1,0
NGC4424,1,0,0,0,0,0,0,0,0,0,0
NGC4457,1,0,1,1,0,1,0,1,0,0,0
NGC4496A,1,0,0,1,0,0,0,0,0,0,0
NGC4535,1,0,1,1,0,0,0,0,0,1,0
NGC4536,1,0,1,1,0,0,0,0,0,1,0
NGC4540,1,0,0,1,0,0,0,0,0,0,1
NGC4548,1,0,1,1,0,1,0,0,0,1,0
NGC4569,1,0,1,1,0,0,0,0,0,0,0
NGC4571,1,1,0,0,0,1,0,0,0,0,1
NGC4579,1,0,1,1,0,1,0,0,0,1,0
NGC4654,1,0,0,1,0,0,0,0,0,0,0
NGC4689,1,0,1,0,0,0,0,0,0,0,0
NGC4694,1,0,1,0,0,0,0,0,0,0,0
NGC4731,1,0,0,1,0,0,0,0,0,1,0
NGC4781,1,0,0,1,0,0,0,0,0,0,0
NGC4826,1,1,1,0,0,1,0,1,0,0,1
NGC4941,1,0,1,1,0,0,0,0,0,0,1
NGC4951,1,0,0,0,0,0,0,0,0,0,1
NGC5042,1,0,1,0,0,0,0,0,0,0,1
NGC5068,1,0,0,1,0,0,0,0,0,0,1
NGC5128,0,0,0,0,0,0,0,0,0,0,1
NGC5134,1,0,1,1,0,1,0,0,0,0,1
NGC5248,1,1,0,1,0,0,0,1,0,1,1
NGC5530,1,0,0,0,0,0,0,0,0,0,1
NGC5643,1,0,1,1,0,1,0,0,0,1,1
NGC6300,1,0,1,1,0,1,0,1,0,0,1
NGC6744,1,0,0,1,0,0,0,1,0,1,1
NGC7456,1,0,0,0,0,0,0,0,0,0,1
NGC7496,1,0,0,1,0,0,0,0,0,0,1
IC1954,1,0,0,1,0,0,0,0,0,1,1
IC5273,1,0,0,1,0,0,0,0,0,0,1
IC5332,1,0,1,0,0,0,0,0,0,0,1
