galaxy,--------------------------- disk (2*Re) ---------------------------,,,------------------------- 2nd disk (2*Re) -------------------------,,,---------------------------- bulge (2*Re) --------------------------,,,---------------------------------- bar ---------------------------------,,,,,--------------- nuclear bar ----------------,,,------------------------------------------------------------------------ lenses ------------------------------------------------------------------------,,,,,,------------------------------------------------------------------------------------------------------------------- rings -------------------------------------------------------------------------------------------------------------------,,,,,,,,------------------ center (edge) ------------------,,
,axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"Re[""]",axis_ratio,PA,"R[""]",Ref.,QFlag,axis_ratio,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]","halfwidth[""]",axis_rat,PA,"R[""]"
NGC0628,1.166,141.1,116.3,-999,-999,-999,1.093,39.3,12.2,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC0685,1.292,99.2,64.8,-999,-999,-999,-999,-999,-999,3.571,55,19.9,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC1087,1.572,1.4,44.3,-999,-999,-999,-999,-999,-999,2.222,128,16.8,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC1097,1.497,126.5,137.4,-999,-999,-999,1.143,144.3,9.3,2.857,141,94,1,1,-999,-999,-999,1.493,148,54,-999,-999,-999,1.163,169,10.1,2.5,-999,-999,-999,-999,-999,-999,-999
NGC1300,1.198,106.1,104.5,-999,-999,-999,1.185,102.5,3.3,4.545,99,80.7,1,1,-999,-999,-999,1.37,98,40.7,1.099,105,5.5,1.333,120,3.8,1.8,-999,-999,-999,-999,-999,-999,-999
NGC1317,1.12,64.5,44,-999,-999,-999,1,0,4.346,1.316,150,42,2,1,1.785,56,6.3,-999,-999,-999,-999,-999,-999,1,0,11.5,2.5,1,0,58,11,1.788,56.0,6.3
NGC1365,1.701,31.7,159.6,-999,-999,-999,1.733,33.3,9.5,2.703,86,90.4,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.266,17,8,3.4,-999,-999,-999,-999,1,0,4
NGC1385,1.524,172.3,48.2,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC1433,1.163,24.3,107.2,-999,-999,-999,1.314,30.1,5.0,2.857,95,65.9,1,1,1.493,30,7.1,1.149,27,9.9,-999,-999,-999,1.149,27,10.45,3.85,1.282,100,83.3,20,-999,-999,-999
NGC1511,2.545,124,34.9,-999,-999,-999,-999,-999,-999,-999.000,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.000,297.0,5.0
NGC1512,1.361,74.5,78.7,-999,-999,-999,1.192,70.5,5.8,2.941,42,71.4,1,1,-999,-999,-999,1.562,48,45.9,-999,-999,-999,1.235,84,8.2,2.5,1.299,51,69.6,18,-999,-999,-999
NGC1546,2.278,147.4,15.8,2.278,147.4,71.3,-999,-999,-999,-999.000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.857,148,15.8,3,-999,-999,-999,-999,2.000,147.8,3.0
NGC1559,1.653,65.1,40.8,-999,-999,-999,-999,-999,-999,3.543,82,11.1,3,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
NGC1566,1.282,156.7,28.7,1.182,85.9,220.8,-999,-999,-999,2.000,177,35.8,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.149,214.7,5.0
NGC1637,1.282,32.7,55.5,-999,-999,-999,-999,-999,-999,2.083,85,20.1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.168,20.6,5.0
NGC1672,1.119,148.5,100.8,-999,-999,-999,1.183,132.8,4.9,3.030,96,74.4,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.25,120,6.6,2.15,-999,-999,-999,-999,-999,-999,-999
